timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,44,1198979.235283,5
2023-04-13 12:00:00,44,1199607.834637,5
2023-04-13 00:00:00,44,1197252.157169,5
2023-04-12 12:00:00,44,1196851.163787,5
2023-04-12 00:00:00,44,1190251.606012,5
2023-04-11 12:00:00,44,1189633.941466,5
2023-04-11 08:00:00,44,1189370.846346,5
2023-04-11 07:00:00,44,1189369.238273,5
2023-04-11 06:00:00,44,1189324.354503,5
2023-04-11 05:00:00,44,1189324.455557,5
2023-04-11 04:00:00,44,1189331.942436,5
2023-04-11 03:00:00,44,1189329.514147,5
2023-04-11 02:00:00,44,1189682.182053,5
2023-04-11 01:00:00,44,1189876.480541,5
2023-04-11 00:00:00,44,1189875.920874,5
2023-04-10 23:00:00,44,1189895.981576,5
2023-04-10 22:00:00,44,1189177.611702,5
2023-04-10 21:00:00,44,1189197.374646,5
2023-04-10 20:00:00,44,1189208.471242,5
2023-04-10 19:00:00,44,1189221.731788,5
2023-04-10 18:00:00,44,1189089.115911,5
2023-04-10 17:00:00,44,1188982.810524,5
2023-04-10 16:00:00,44,1189028.670259,5
2023-04-10 15:00:00,44,1189105.054975,5
2023-04-10 14:00:00,44,1189105.054975,5
2023-04-10 13:00:00,44,1193379.029088,5
2023-04-10 12:00:00,44,1193364.497105,5
2023-04-10 11:00:00,44,1193275.371849,5
2023-04-10 10:00:00,44,1193274.371849,5
2023-04-10 09:00:00,44,1193269.578423,5
2023-04-10 08:00:00,44,1193603.96319,5
2023-04-10 07:00:00,44,1193600.095154,5
2023-04-10 06:00:00,44,1193600.095154,5
2023-04-10 05:00:00,44,1193567.271641,5
2023-04-10 04:00:00,44,1193567.054013,5
2023-04-10 03:00:00,44,1193551.400131,5
2023-04-10 02:00:00,44,1193334.28834,5
2023-04-10 01:00:00,44,1193271.225596,5
2023-04-10 00:00:00,44,1193236.328237,5
2023-04-09 23:00:00,44,1193136.140166,5
2023-04-09 22:00:00,44,1193122.44986,5
