timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,46,1006578.831225,10
2023-04-13 12:00:00,46,1006578.564571,10
2023-04-13 00:00:00,46,1006578.504714,10
2023-04-12 12:00:00,46,1006438.494066,10
2023-04-12 00:00:00,46,1006436.223672,10
2023-04-11 12:00:00,46,1006436.100066,10
2023-04-11 08:00:00,46,1006447.844769,10
2023-04-11 07:00:00,46,1006447.844769,10
2023-04-11 06:00:00,46,1006447.844769,10
2023-04-11 05:00:00,46,1006447.693768,10
2023-04-11 04:00:00,46,1006447.693768,10
2023-04-11 03:00:00,46,1006447.693768,10
2023-04-11 02:00:00,46,1006447.693768,10
2023-04-11 01:00:00,46,1006447.693768,10
2023-04-11 00:00:00,46,1006447.693768,10
2023-04-10 23:00:00,46,1006447.693768,10
2023-04-10 22:00:00,46,1006447.693768,10
2023-04-10 21:00:00,46,1006447.682112,10
2023-04-10 20:00:00,46,1006447.404589,10
2023-04-10 19:00:00,46,1006447.404589,10
2023-04-10 18:00:00,46,1006447.404589,10
2023-04-10 17:00:00,46,1006447.404589,10
2023-04-10 16:00:00,46,1006447.404534,10
2023-04-10 15:00:00,46,1006447.403983,10
2023-04-10 14:00:00,46,1006447.403983,10
2023-04-10 13:00:00,46,1006447.39566,10
2023-04-10 12:00:00,46,1006447.252809,10
2023-04-10 11:00:00,46,1006447.252809,10
2023-04-10 10:00:00,46,1006447.252809,10
2023-04-10 09:00:00,46,1006447.252809,10
2023-04-10 08:00:00,46,1006447.250034,10
2023-04-10 07:00:00,46,1006447.247555,10
2023-04-10 06:00:00,46,1006447.247555,10
2023-04-10 05:00:00,46,1006447.247555,10
2023-04-10 04:00:00,46,1006447.247555,10
2023-04-10 03:00:00,46,1006447.247555,10
2023-04-10 02:00:00,46,1006447.247555,10
2023-04-10 01:00:00,46,1006447.247555,10
2023-04-10 00:00:00,46,1006447.247555,10
2023-04-09 23:00:00,46,1006447.247555,10
2023-04-09 22:00:00,46,1006447.233679,10
2023-04-09 21:00:00,46,1006446.433274,10
2023-04-09 20:00:00,46,1006446.433274,10
2023-04-09 19:00:00,46,1006446.421905,10
2023-04-09 18:00:00,46,1006446.405254,10
2023-04-09 17:00:00,46,1006446.405254,10
2023-04-09 16:00:00,46,1006446.405254,10
2023-04-09 15:00:00,46,1006446.405144,10
2023-04-09 14:00:00,46,1006446.405139,10
2023-04-09 13:00:00,46,1006446.405139,10
2023-04-09 12:00:00,46,1006446.405139,10
2023-04-09 11:00:00,46,1006446.380573,10
2023-04-09 10:00:00,46,1006446.355184,10
2023-04-09 09:00:00,46,1006446.352984,10
2023-04-09 08:00:00,46,1006446.352984,10
2023-04-09 07:00:00,46,1006446.349172,10
2023-04-09 06:00:00,46,1006446.349172,10
2023-04-09 05:00:00,46,1006446.336748,10
2023-04-09 04:00:00,46,1006446.280947,10
2023-04-09 03:00:00,46,1006446.280947,10
2023-04-09 02:00:00,46,1006446.269787,10
2023-04-09 01:00:00,46,1006446.269787,10
2023-04-09 00:00:00,46,1006446.269787,10
2023-04-08 23:00:00,46,1006446.266997,10
2023-04-08 22:00:00,46,1006446.266997,10
2023-04-08 21:00:00,46,1006446.25749,10
2023-04-08 20:00:00,46,1006446.25749,10
2023-04-08 19:00:00,46,1006446.223964,10
2023-04-08 18:00:00,46,1006446.223618,10
2023-04-08 17:00:00,46,1006446.218038,10
2023-04-08 16:00:00,46,1006446.144875,10
2023-04-08 15:00:00,46,1006445.759871,10
2023-04-08 14:00:00,46,1006445.759871,10
2023-04-08 13:00:00,46,1006444.922993,10
2023-04-08 12:00:00,46,1006444.917414,10
2023-04-08 11:00:00,46,1006444.900677,10
2023-04-08 10:00:00,46,1006444.896534,10
2023-04-08 09:00:00,46,1006444.896534,10
2023-04-08 08:00:00,46,1006444.746332,10
2023-04-08 07:00:00,46,1006444.386643,10
2023-04-08 06:00:00,46,1006444.36432,10
2023-04-08 05:00:00,46,1006444.324762,10
2023-04-08 04:00:00,46,1006444.324762,10
2023-04-08 03:00:00,46,1006444.324762,10
2023-04-08 02:00:00,46,1006444.324762,10
2023-04-08 01:00:00,46,1006444.324762,10
2023-04-08 00:00:00,46,1006444.324762,10
2023-04-07 23:00:00,46,1006444.324762,10
2023-04-07 22:00:00,46,1006444.15339,10
2023-04-07 21:00:00,46,1006444.15339,10
2023-04-07 20:00:00,46,1006444.15339,10
2023-04-07 19:00:00,46,1006444.15339,10
2023-04-07 18:00:00,46,1006444.15339,10
2023-04-07 17:00:00,46,1006444.15339,10
2023-04-07 16:00:00,46,1006444.15339,10
2023-04-07 15:00:00,46,1006443.613067,10
2023-04-07 14:00:00,46,1006443.05069,10
2023-04-07 13:00:00,46,1006443.05069,10
2023-04-07 12:00:00,46,1006443.05069,10
2023-04-07 11:00:00,46,1006443.05069,10
2023-04-07 10:00:00,46,1006443.05069,10
2023-04-07 09:00:00,46,1006443.05069,10
2023-04-07 08:00:00,46,1006443.05069,10
2023-04-07 07:00:00,46,1006443.05069,10
2023-04-07 06:00:00,46,1006443.05069,10
2023-04-07 05:00:00,46,1006443.05069,10
2023-04-07 04:00:00,46,1006443.05069,10
2023-04-07 03:00:00,46,1006443.05069,10
2023-04-07 02:00:00,46,1006443.05069,10
2023-04-07 01:00:00,46,1006443.05069,10
2023-04-07 00:00:00,46,1006443.05069,10
2023-04-06 23:00:00,46,1006443.05069,10
2023-04-06 22:00:00,46,1006443.045113,10
2023-04-06 21:00:00,46,1006442.476218,10
2023-04-06 20:00:00,46,1006442.29591,10
2023-04-06 19:00:00,46,1006442.29591,10
2023-04-06 18:00:00,46,1006442.29591,10
2023-04-06 17:00:00,46,1006441.359924,10
2023-04-06 16:00:00,46,1006441.147578,10
2023-04-06 15:00:00,46,1006441.119376,10
2023-04-06 14:00:00,46,1006441.119376,10
2023-04-06 13:00:00,46,1006441.119376,10
2023-04-06 12:00:00,46,1006441.119376,10
2023-04-06 11:00:00,46,1006441.119376,10
2023-04-06 10:00:00,46,1006441.113586,10
2023-04-06 09:00:00,46,1006441.097114,10
2023-04-06 08:00:00,46,1006441.084706,10
2023-04-06 07:00:00,46,1006441.084706,10
2023-04-06 06:00:00,46,1006440.943697,10
2023-04-06 05:00:00,46,1006440.860914,10
2023-04-06 04:00:00,46,1006440.860914,10
2023-04-06 03:00:00,46,1006440.860914,10
2023-04-06 02:00:00,46,1006440.860914,10
2023-04-06 01:00:00,46,1006440.860914,10
2023-04-06 00:00:00,46,1006440.860914,10
2023-04-05 23:00:00,46,1006440.860914,10
2023-04-05 22:00:00,46,1006440.860914,10
2023-04-05 21:00:00,46,1006440.860914,10
2023-04-05 20:00:00,46,1006440.860914,10
2023-04-05 19:00:00,46,1006440.860914,10
2023-04-05 18:00:00,46,1006440.860914,10
2023-04-05 17:00:00,46,1006440.860914,10
2023-04-05 16:00:00,46,1006440.860914,10
2023-04-05 15:00:00,46,1006440.860914,10
2023-04-05 14:00:00,46,1006440.860914,10
2023-04-05 13:00:00,46,1006440.860914,10
2023-04-05 12:00:00,46,1006440.844925,10
2023-04-05 11:00:00,46,1006440.707772,10
2023-04-05 10:00:00,46,1006440.707772,10
2023-04-05 09:00:00,46,1006440.707772,10
2023-04-05 08:00:00,46,1006440.707772,10
2023-04-05 07:00:00,46,1006440.707772,10
2023-04-05 06:00:00,46,1006440.707772,10
2023-04-05 05:00:00,46,1006440.707772,10
2023-04-05 04:00:00,46,1006440.707772,10
2023-04-05 03:00:00,46,1006440.707772,10
2023-04-05 02:00:00,46,1006440.707772,10
2023-04-05 01:00:00,46,1006440.707772,10
2023-04-05 00:00:00,46,1006440.707772,10
2023-04-04 23:00:00,46,1006440.707772,10
2023-04-04 22:00:00,46,1006440.690851,10
2023-04-04 21:00:00,46,1006440.690851,10
2023-04-04 20:00:00,46,1006440.690851,10
2023-04-04 19:00:00,46,1006440.690851,10
2023-04-04 18:00:00,46,1006440.690851,10
2023-04-04 17:00:00,46,1006440.690851,10
2023-04-04 16:00:00,46,1006440.657001,10
2023-04-04 15:00:00,46,1006440.657001,10
2023-04-04 14:00:00,46,1006440.644414,10
2023-04-04 13:00:00,46,1006440.644414,10
2023-04-04 12:00:00,46,1006440.632567,10
2023-04-04 11:00:00,46,1006440.63111,10
2023-04-04 10:00:00,46,1006440.594553,10
2023-04-04 09:00:00,46,1006440.557149,10
2023-04-04 08:00:00,46,1006440.413545,10
2023-04-04 07:00:00,46,1006440.413545,10
2023-04-04 06:00:00,46,1006440.356811,10
2023-04-04 05:00:00,46,1006440.303961,10
2023-04-04 04:00:00,46,1006440.303961,10
2023-04-04 03:00:00,46,1006440.303961,10
2023-04-04 02:00:00,46,1006440.279623,10
2023-04-04 01:00:00,46,1006440.279623,10
2023-04-04 00:00:00,46,1006440.072204,10
2023-04-03 23:00:00,46,1006440.072204,10
2023-04-03 22:00:00,46,1006440.015793,10
2023-04-03 21:00:00,46,1006440.015793,10
2023-04-03 20:00:00,46,1006439.992963,10
