timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,47,955546.55888,9
2023-04-13 12:00:00,47,955545.815371,9
2023-04-13 00:00:00,47,955589.689272,9
2023-04-12 12:00:00,47,955449.599936,9
2023-04-12 00:00:00,47,955444.790404,9
2023-04-11 12:00:00,47,955512.020555,9
2023-04-11 08:00:00,47,955503.10942,9
2023-04-11 07:00:00,47,955503.10942,9
2023-04-11 06:00:00,47,955503.10942,9
2023-04-11 05:00:00,47,955502.958413,9
2023-04-11 04:00:00,47,955502.958413,9
2023-04-11 03:00:00,47,955502.958413,9
2023-04-11 02:00:00,47,955502.958413,9
2023-04-11 01:00:00,47,955502.958413,9
2023-04-11 00:00:00,47,955502.958413,9
2023-04-10 23:00:00,47,955502.958413,9
2023-04-10 22:00:00,47,955502.958413,9
2023-04-10 21:00:00,47,955502.946757,9
2023-04-10 20:00:00,47,955502.669223,9
2023-04-10 19:00:00,47,955502.069223,9
2023-04-10 18:00:00,47,955502.069223,9
2023-04-10 17:00:00,47,955501.993766,9
2023-04-10 16:00:00,47,955501.993711,9
2023-04-10 15:00:00,47,955501.99316,9
2023-04-10 14:00:00,47,955501.99316,9
2023-04-10 13:00:00,47,955495.013634,9
2023-04-10 12:00:00,47,955485.604024,9
2023-04-10 11:00:00,47,955485.604024,9
2023-04-10 10:00:00,47,955485.604024,9
2023-04-10 09:00:00,47,955485.604024,9
2023-04-10 08:00:00,47,955485.601249,9
2023-04-10 07:00:00,47,955485.59877,9
2023-04-10 06:00:00,47,955485.59877,9
2023-04-10 05:00:00,47,955485.59877,9
2023-04-10 04:00:00,47,955485.59877,9
2023-04-10 03:00:00,47,955485.59877,9
2023-04-10 02:00:00,47,955485.59877,9
2023-04-10 01:00:00,47,955485.59877,9
2023-04-10 00:00:00,47,955485.59877,9
2023-04-09 23:00:00,47,955485.59877,9
2023-04-09 22:00:00,47,955485.584894,9
2023-04-09 21:00:00,47,955484.784458,9
2023-04-09 20:00:00,47,955484.784458,9
2023-04-09 19:00:00,47,955484.773089,9
2023-04-09 18:00:00,47,955484.756438,9
2023-04-09 17:00:00,47,955484.682993,9
2023-04-09 16:00:00,47,955484.682993,9
2023-04-09 15:00:00,47,955481.215361,9
2023-04-09 14:00:00,47,955481.315355,9
2023-04-09 13:00:00,47,955481.315355,9
2023-04-09 12:00:00,47,955460.978424,9
2023-04-09 11:00:00,47,955460.953858,9
2023-04-09 10:00:00,47,955460.928468,9
2023-04-09 09:00:00,47,955460.926268,9
2023-04-09 08:00:00,47,955460.926268,9
2023-04-09 07:00:00,47,955460.922456,9
2023-04-09 06:00:00,47,955460.922456,9
2023-04-09 05:00:00,47,955460.910032,9
2023-04-09 04:00:00,47,955460.854229,9
2023-04-09 03:00:00,47,955460.854229,9
2023-04-09 02:00:00,47,955460.843069,9
2023-04-09 01:00:00,47,955460.843069,9
2023-04-09 00:00:00,47,955460.843069,9
2023-04-08 23:00:00,47,955460.840279,9
2023-04-08 22:00:00,47,955460.840279,9
2023-04-08 21:00:00,47,955460.830771,9
2023-04-08 20:00:00,47,955460.830771,9
2023-04-08 19:00:00,47,955460.797244,9
2023-04-08 18:00:00,47,955460.796898,9
2023-04-08 17:00:00,47,955460.697695,9
2023-04-08 16:00:00,47,955460.624529,9
2023-04-08 15:00:00,47,955460.23951,9
2023-04-08 14:00:00,47,955460.23951,9
2023-04-08 13:00:00,47,955459.402601,9
2023-04-08 12:00:00,47,955440.849153,9
2023-04-08 11:00:00,47,955440.579935,9
2023-04-08 10:00:00,47,955440.575792,9
2023-04-08 09:00:00,47,955440.575792,9
2023-04-08 08:00:00,47,955440.425586,9
2023-04-08 07:00:00,47,955440.065886,9
2023-04-08 06:00:00,47,955440.043562,9
2023-04-08 05:00:00,47,955440.004002,9
2023-04-08 04:00:00,47,955439.95989,9
2023-04-08 03:00:00,47,955439.51881,9
2023-04-08 02:00:00,47,955439.51881,9
2023-04-08 01:00:00,47,955439.51881,9
2023-04-08 00:00:00,47,955439.51881,9
2023-04-07 23:00:00,47,955439.51881,9
2023-04-07 22:00:00,47,955439.347432,9
2023-04-07 21:00:00,47,955439.347432,9
2023-04-07 20:00:00,47,955439.347432,9
2023-04-07 19:00:00,47,955439.347432,9
2023-04-07 18:00:00,47,955439.347432,9
2023-04-07 17:00:00,47,955439.347432,9
2023-04-07 16:00:00,47,955439.176498,9
2023-04-07 15:00:00,47,955438.61407,9
2023-04-07 14:00:00,47,955438.61407,9
2023-04-07 13:00:00,47,955438.61407,9
2023-04-07 12:00:00,47,955494.537973,9
2023-04-07 11:00:00,47,955494.537973,9
2023-04-07 10:00:00,47,955494.537973,9
2023-04-07 09:00:00,47,955494.537973,9
2023-04-07 08:00:00,47,955494.537973,9
2023-04-07 07:00:00,47,955494.537973,9
2023-04-07 06:00:00,47,955494.537973,9
2023-04-07 05:00:00,47,955494.537973,9
2023-04-07 04:00:00,47,955494.537973,9
2023-04-07 03:00:00,47,955494.537973,9
2023-04-07 02:00:00,47,955494.537973,9
2023-04-07 01:00:00,47,955494.537973,9
2023-04-07 00:00:00,47,955494.537973,9
2023-04-06 23:00:00,47,955494.537973,9
2023-04-06 22:00:00,47,955494.532396,9
2023-04-06 21:00:00,47,955493.963479,9
2023-04-06 20:00:00,47,955493.783163,9
2023-04-06 19:00:00,47,955493.783163,9
2023-04-06 18:00:00,47,955493.705631,9
2023-04-06 17:00:00,47,955492.769612,9
2023-04-06 16:00:00,47,955492.557266,9
2023-04-06 15:00:00,47,955492.529064,9
2023-04-06 14:00:00,47,955492.378463,9
2023-04-06 13:00:00,47,955492.378463,9
2023-04-06 12:00:00,47,955489.046919,9
2023-04-06 11:00:00,47,955489.046919,9
2023-04-06 10:00:00,47,955489.041129,9
2023-04-06 09:00:00,47,955489.024657,9
2023-04-06 08:00:00,47,955489.012249,9
2023-04-06 07:00:00,47,955489.012249,9
2023-04-06 06:00:00,47,955488.87124,9
2023-04-06 05:00:00,47,955488.788457,9
2023-04-06 04:00:00,47,955488.788457,9
2023-04-06 03:00:00,47,955488.788457,9
2023-04-06 02:00:00,47,955488.663637,9
2023-04-06 01:00:00,47,955488.663637,9
2023-04-06 00:00:00,47,955488.625363,9
2023-04-05 23:00:00,47,955488.625363,9
2023-04-05 22:00:00,47,955488.625363,9
2023-04-05 21:00:00,47,955488.625363,9
2023-04-05 20:00:00,47,955488.625363,9
2023-04-05 19:00:00,47,955488.625363,9
2023-04-05 18:00:00,47,955488.625363,9
2023-04-05 17:00:00,47,955488.533307,9
2023-04-05 16:00:00,47,955488.533307,9
2023-04-05 15:00:00,47,955488.533307,9
2023-04-05 14:00:00,47,955488.533307,9
2023-04-05 13:00:00,47,955488.515747,9
2023-04-05 12:00:00,47,955484.85054,9
2023-04-05 11:00:00,47,955484.713388,9
2023-04-05 10:00:00,47,955484.713388,9
2023-04-05 09:00:00,47,955484.713388,9
2023-04-05 08:00:00,47,955484.713292,9
2023-04-05 07:00:00,47,955484.713292,9
2023-04-05 06:00:00,47,955484.713292,9
2023-04-05 05:00:00,47,955484.713292,9
2023-04-05 04:00:00,47,955484.713292,9
2023-04-05 03:00:00,47,955484.713292,9
2023-04-05 02:00:00,47,955484.713292,9
2023-04-05 01:00:00,47,955484.713292,9
2023-04-05 00:00:00,47,955484.713292,9
2023-04-04 23:00:00,47,955484.713292,9
2023-04-04 22:00:00,47,955484.713292,9
2023-04-04 21:00:00,47,955484.713292,9
2023-04-04 20:00:00,47,955484.713292,9
2023-04-04 19:00:00,47,957484.713291,9
2023-04-04 18:00:00,47,957484.713291,9
2023-04-04 17:00:00,50,876621.639661,9
2023-04-04 16:00:00,50,876621.605811,9
2023-04-04 15:00:00,50,876621.605811,9
2023-04-04 14:00:00,50,876621.593224,9
2023-04-04 13:00:00,50,876621.593224,9
2023-04-04 12:00:00,50,876616.540289,9
2023-04-04 11:00:00,50,876616.538832,9
2023-04-04 10:00:00,50,876646.502275,9
2023-04-04 09:00:00,50,876646.464872,9
2023-04-04 08:00:00,50,876646.321268,9
2023-04-04 07:00:00,50,876646.321268,9
2023-04-04 06:00:00,50,876646.264534,9
2023-04-04 05:00:00,50,876646.211684,9
2023-04-04 04:00:00,50,876646.211684,9
2023-04-04 03:00:00,50,876646.211684,9
2023-04-04 02:00:00,50,876646.187346,9
2023-04-04 01:00:00,50,876646.187346,9
2023-04-04 00:00:00,50,876645.979927,9
