timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,48,918368.52208,10
2023-04-13 12:00:00,48,918333.550365,10
2023-04-13 00:00:00,48,915563.65847,10
2023-04-12 12:00:00,48,915014.540785,10
2023-04-12 00:00:00,48,912325.079238,10
2023-04-11 12:00:00,48,911882.617822,10
2023-04-11 08:00:00,48,911289.786986,10
2023-04-11 07:00:00,48,911279.304893,10
2023-04-11 06:00:00,48,911266.990589,10
2023-04-11 05:00:00,48,911264.779588,10
2023-04-11 04:00:00,48,911250.219278,10
2023-04-11 03:00:00,48,911238.417909,10
2023-04-11 02:00:00,48,911430.494798,10
2023-04-11 01:00:00,48,911378.885241,10
2023-04-11 00:00:00,48,911197.059257,10
2023-04-10 23:00:00,48,911188.059256,10
2023-04-10 22:00:00,48,911127.059455,10
2023-04-10 21:00:00,48,911395.864179,10
2023-04-10 20:00:00,48,910159.21311,10
2023-04-10 19:00:00,48,910126.225885,10
2023-04-10 18:00:00,48,910017.715444,10
2023-04-10 17:00:00,48,910008.714958,10
2023-04-10 16:00:00,48,909976.270904,10
2023-04-10 15:00:00,48,909837.033611,10
2023-04-10 14:00:00,48,909836.951715,10
2023-04-10 13:00:00,48,908909.35541,10
2023-04-10 12:00:00,48,908073.883764,10
2023-04-10 11:00:00,48,908046.452757,10
2023-04-10 10:00:00,48,908045.118182,10
2023-04-10 09:00:00,48,908079.626001,10
2023-04-10 08:00:00,48,907892.846677,10
2023-04-10 07:00:00,48,907860.944088,10
2023-04-10 06:00:00,48,907827.692453,10
2023-04-10 05:00:00,48,907443.390385,10
2023-04-10 04:00:00,48,907431.253321,10
2023-04-10 03:00:00,48,907353.305684,10
2023-04-10 02:00:00,48,907364.861058,10
2023-04-10 01:00:00,48,907102.577372,10
2023-04-10 00:00:00,48,906292.017569,10
2023-04-09 23:00:00,48,906163.364028,10
2023-04-09 22:00:00,48,906070.624155,10
2023-04-09 21:00:00,48,906001.034122,10
2023-04-09 20:00:00,48,905919.279356,10
