timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,49,896538.796256,8
2023-04-13 12:00:00,49,896538.529593,8
2023-04-13 00:00:00,49,896538.469734,8
2023-04-12 12:00:00,49,896398.45387,8
2023-04-12 00:00:00,49,896397.733447,8
2023-04-11 12:00:00,49,896397.609835,8
2023-04-11 08:00:00,49,896396.874413,8
2023-04-11 07:00:00,49,896396.874413,8
2023-04-11 06:00:00,49,896396.874413,8
2023-04-11 05:00:00,49,896396.723406,8
2023-04-11 04:00:00,49,896396.723406,8
2023-04-11 03:00:00,49,896396.723406,8
2023-04-11 02:00:00,49,896396.723406,8
2023-04-11 01:00:00,49,896396.723406,8
2023-04-11 00:00:00,49,896396.723406,8
2023-04-10 23:00:00,49,896396.723406,8
2023-04-10 22:00:00,49,896396.723406,8
2023-04-10 21:00:00,49,896396.71175,8
2023-04-10 20:00:00,49,896396.434216,8
2023-04-10 19:00:00,49,896396.434216,8
2023-04-10 18:00:00,49,896396.434216,8
2023-04-10 17:00:00,49,896396.434216,8
2023-04-10 16:00:00,49,896396.434161,8
2023-04-10 15:00:00,49,896396.43361,8
2023-04-10 14:00:00,49,896391.43361,8
2023-04-10 13:00:00,49,896391.425287,8
2023-04-10 12:00:00,49,896391.425287,8
2023-04-10 11:00:00,49,896391.425287,8
2023-04-10 10:00:00,49,896391.425287,8
2023-04-10 09:00:00,49,896391.425287,8
2023-04-10 08:00:00,49,896391.422512,8
2023-04-10 07:00:00,49,896391.420033,8
2023-04-10 06:00:00,49,896391.420033,8
2023-04-10 05:00:00,49,896391.420033,8
2023-04-10 04:00:00,49,896391.420033,8
2023-04-10 03:00:00,49,896391.420033,8
2023-04-10 02:00:00,49,896391.420033,8
2023-04-10 01:00:00,49,896391.420033,8
2023-04-10 00:00:00,49,896391.420033,8
2023-04-09 23:00:00,49,896391.420033,8
2023-04-09 22:00:00,49,896391.406157,8
2023-04-09 21:00:00,49,896390.605721,8
2023-04-09 20:00:00,49,896390.605721,8
2023-04-09 19:00:00,49,896390.594352,8
2023-04-09 18:00:00,49,896390.577701,8
2023-04-09 17:00:00,49,896390.577701,8
2023-04-09 16:00:00,49,896390.577701,8
2023-04-09 15:00:00,49,896390.577591,8
2023-04-09 14:00:00,49,896390.577586,8
2023-04-09 13:00:00,49,896390.577586,8
2023-04-09 12:00:00,49,896390.577586,8
2023-04-09 11:00:00,49,896390.55302,8
2023-04-09 10:00:00,49,896390.52763,8
2023-04-09 09:00:00,49,896390.52543,8
2023-04-09 08:00:00,49,896390.52543,8
2023-04-09 07:00:00,49,896390.521618,8
2023-04-09 06:00:00,49,896390.521618,8
2023-04-09 05:00:00,49,896390.509194,8
2023-04-09 04:00:00,49,896390.453391,8
2023-04-09 03:00:00,49,896390.453391,8
2023-04-09 02:00:00,49,896390.442231,8
2023-04-09 01:00:00,49,896390.442231,8
2023-04-09 00:00:00,49,896390.442231,8
2023-04-08 23:00:00,49,896390.439441,8
2023-04-08 22:00:00,49,896390.439441,8
2023-04-08 21:00:00,49,896390.429933,8
2023-04-08 20:00:00,49,896390.429933,8
2023-04-08 19:00:00,49,896390.396406,8
2023-04-08 18:00:00,49,896390.39606,8
2023-04-08 17:00:00,49,896390.39048,8
2023-04-08 16:00:00,49,896390.317314,8
2023-04-08 15:00:00,49,896389.932295,8
2023-04-08 14:00:00,49,896389.932295,8
2023-04-08 13:00:00,49,896389.095386,8
2023-04-08 12:00:00,49,896389.089807,8
2023-04-08 11:00:00,49,896389.073069,8
2023-04-08 10:00:00,49,896389.068926,8
2023-04-08 09:00:00,49,896389.068926,8
2023-04-08 08:00:00,49,896388.91872,8
2023-04-08 07:00:00,49,896388.55902,8
2023-04-08 06:00:00,49,896387.985246,8
2023-04-08 05:00:00,49,896387.394236,8
2023-04-08 04:00:00,49,896387.394236,8
2023-04-08 03:00:00,49,896387.394236,8
2023-04-08 02:00:00,49,896387.394236,8
2023-04-08 01:00:00,49,896387.394236,8
2023-04-08 00:00:00,49,896387.394236,8
2023-04-07 23:00:00,49,896387.394236,8
2023-04-07 22:00:00,49,896387.222858,8
2023-04-07 21:00:00,49,896387.222858,8
2023-04-07 20:00:00,49,896387.222858,8
2023-04-07 19:00:00,49,896387.222858,8
2023-04-07 18:00:00,49,896387.222858,8
2023-04-07 17:00:00,49,896387.222858,8
2023-04-07 16:00:00,49,896387.222858,8
2023-04-07 15:00:00,49,896387.222858,8
2023-04-07 14:00:00,49,896387.222858,8
2023-04-07 13:00:00,49,896387.222858,8
2023-04-07 12:00:00,49,896387.222858,8
2023-04-07 11:00:00,49,896387.222858,8
2023-04-07 10:00:00,49,896387.222858,8
2023-04-07 09:00:00,49,896387.222858,8
2023-04-07 08:00:00,49,896387.222858,8
2023-04-07 07:00:00,49,896387.222858,8
2023-04-07 06:00:00,49,896387.222858,8
2023-04-07 05:00:00,49,896387.222858,8
2023-04-07 04:00:00,49,896387.222858,8
2023-04-07 03:00:00,49,896387.222858,8
2023-04-07 02:00:00,49,896387.222858,8
2023-04-07 01:00:00,49,896387.222858,8
2023-04-07 00:00:00,49,896387.222858,8
2023-04-06 23:00:00,49,896387.222858,8
2023-04-06 22:00:00,49,896387.217281,8
2023-04-06 21:00:00,49,896386.648364,8
2023-04-06 20:00:00,49,896386.468048,8
2023-04-06 19:00:00,49,896386.468048,8
2023-04-06 18:00:00,49,896386.468048,8
2023-04-06 17:00:00,49,896385.532029,8
2023-04-06 16:00:00,49,896385.319683,8
2023-04-06 15:00:00,49,896385.291481,8
2023-04-06 14:00:00,49,896385.291481,8
2023-04-06 13:00:00,49,896385.291481,8
2023-04-06 12:00:00,49,896385.291481,8
2023-04-06 11:00:00,49,896385.291481,8
2023-04-06 10:00:00,49,896385.285691,8
2023-04-06 09:00:00,49,896385.269219,8
2023-04-06 08:00:00,49,896385.256811,8
2023-04-06 07:00:00,49,896385.256811,8
2023-04-06 06:00:00,49,896385.115802,8
2023-04-06 05:00:00,49,896385.033019,8
2023-04-06 04:00:00,49,896385.033019,8
2023-04-06 03:00:00,49,896385.033019,8
2023-04-06 02:00:00,49,896385.033019,8
2023-04-06 01:00:00,49,896385.033019,8
2023-04-06 00:00:00,49,896385.033019,8
2023-04-05 23:00:00,49,896385.033019,8
2023-04-05 22:00:00,49,896385.033019,8
2023-04-05 21:00:00,49,896385.033019,8
2023-04-05 20:00:00,49,896385.033019,8
2023-04-05 19:00:00,49,896385.033019,8
2023-04-05 18:00:00,49,896384.633019,8
2023-04-05 17:00:00,48,896384.633019,8
2023-04-05 16:00:00,48,896384.633019,8
2023-04-05 15:00:00,48,896384.633019,8
2023-04-05 14:00:00,48,896384.633019,8
2023-04-05 13:00:00,48,896384.633019,8
2023-04-05 12:00:00,48,896384.61703,8
2023-04-05 11:00:00,48,896384.479878,8
2023-04-05 10:00:00,48,896384.479878,8
2023-04-05 09:00:00,48,896384.479878,8
2023-04-05 08:00:00,48,896384.479878,8
2023-04-05 07:00:00,48,896384.479878,8
2023-04-05 06:00:00,48,896384.479878,8
2023-04-05 05:00:00,48,896384.479878,8
2023-04-05 04:00:00,48,896384.479878,8
2023-04-05 03:00:00,48,896384.479878,8
2023-04-05 02:00:00,48,896384.479878,8
2023-04-05 01:00:00,48,896384.479878,8
2023-04-05 00:00:00,48,896384.479878,8
2023-04-04 23:00:00,48,896384.479878,8
2023-04-04 22:00:00,48,896384.479878,8
2023-04-04 21:00:00,48,896384.479878,8
2023-04-04 20:00:00,48,896384.479878,8
2023-04-04 19:00:00,48,896384.479878,8
2023-04-04 18:00:00,48,896384.479878,8
2023-04-04 17:00:00,48,896384.479878,8
2023-04-04 16:00:00,48,896384.446028,8
2023-04-04 15:00:00,48,896384.446028,8
2023-04-04 14:00:00,48,896384.433441,8
2023-04-04 13:00:00,48,896384.433441,8
2023-04-04 12:00:00,48,896384.421594,8
2023-04-04 11:00:00,48,896384.420137,8
2023-04-04 10:00:00,48,896384.383581,8
2023-04-04 09:00:00,48,896384.346178,8
2023-04-04 08:00:00,48,896384.202574,8
2023-04-04 07:00:00,48,896384.202574,8
2023-04-04 06:00:00,48,896384.14584,8
2023-04-04 05:00:00,48,896384.09299,8
2023-04-04 04:00:00,48,896384.09299,8
2023-04-04 03:00:00,48,896384.09299,8
2023-04-04 02:00:00,48,896384.068652,8
2023-04-04 01:00:00,48,896384.068652,8
2023-04-04 00:00:00,48,896383.861233,8
2023-04-03 23:00:00,48,896383.861233,8
2023-04-03 22:00:00,48,896383.804822,8
2023-04-03 21:00:00,48,896383.804822,8
2023-04-03 20:00:00,48,896383.781992,8
2023-04-03 19:00:00,48,896383.781992,8
2023-04-03 18:00:00,48,896383.781992,8
2023-04-03 17:00:00,48,896383.781992,8
2023-04-03 16:00:00,48,896383.760141,8
2023-04-03 15:00:00,48,896383.21679,8
2023-04-03 14:00:00,48,896383.188253,8
2023-04-03 13:00:00,48,896383.098863,8
2023-04-03 12:00:00,48,896382.617742,8
2023-04-03 11:00:00,48,896382.612035,8
2023-04-03 10:00:00,48,896382.235372,8
2023-04-03 09:00:00,48,896382.206837,8
2023-04-03 08:00:00,48,896382.206837,8
2023-04-03 07:00:00,48,896382.195423,8
2023-04-03 06:00:00,48,896382.195423,8
2023-04-03 05:00:00,48,896382.157866,8
2023-04-03 04:00:00,48,896382.07151,8
2023-04-03 03:00:00,48,896382.044567,8
2023-04-03 02:00:00,48,896382.044567,8
2023-04-03 01:00:00,48,896382.025078,8
2023-04-03 00:00:00,48,896382.002521,8
2023-04-02 23:00:00,48,896382.002521,8
2023-04-02 22:00:00,48,896381.951159,8
2023-04-02 21:00:00,48,896381.938616,8
2023-04-02 20:00:00,48,896381.855999,8
2023-04-02 19:00:00,48,896381.368078,8
2023-04-02 18:00:00,48,896381.363398,8
2023-04-02 17:00:00,48,896381.207761,8
2023-04-02 16:00:00,48,896381.095269,8
2023-04-02 15:00:00,48,896381.095269,8
2023-04-02 14:00:00,48,896381.07815,8
2023-04-02 13:00:00,48,896381.077682,8
2023-04-02 12:00:00,48,896381.077682,8
2023-04-02 11:00:00,48,896381.075743,8
2023-04-02 10:00:00,48,896381.075743,8
2023-04-02 09:00:00,48,896381.067605,8
2023-04-02 08:00:00,48,896380.561321,8
2023-04-02 07:00:00,48,896380.523162,8
2023-04-02 06:00:00,48,896380.523162,8
2023-04-02 05:00:00,48,896380.520563,8
2023-04-02 04:00:00,48,896380.506298,8
2023-04-02 03:00:00,48,896380.366269,8
2023-04-02 02:00:00,48,896380.361705,8
2023-04-02 01:00:00,48,896380.356285,8
2023-04-02 00:00:00,48,896380.356285,8
2023-04-01 23:00:00,48,896380.174547,8
2023-04-01 22:00:00,48,896380.057573,8
2023-04-01 21:00:00,48,896380.026086,8
2023-04-01 20:00:00,48,896380.026086,8
2023-04-01 19:00:00,48,896380.001836,8
2023-04-01 18:00:00,48,896379.941942,8
2023-04-01 17:00:00,48,896379.941942,8
2023-04-01 16:00:00,48,896379.756499,8
2023-04-01 15:00:00,48,896379.749695,8
2023-04-01 14:00:00,48,896379.191473,8
2023-04-01 13:00:00,48,896379.191473,8
2023-04-01 12:00:00,48,896379.179493,8
2023-04-01 11:00:00,48,896379.153784,8
2023-04-01 10:00:00,48,896378.98106,8
2023-04-01 09:00:00,48,896378.963944,8
2023-04-01 08:00:00,48,896378.954866,8
2023-04-01 07:00:00,48,896378.954866,8
2023-04-01 06:00:00,48,896378.93718,8
2023-04-01 05:00:00,48,896378.934328,8
2023-04-01 04:00:00,48,896378.932245,8
2023-04-01 03:00:00,48,896378.905068,8
2023-04-01 02:00:00,48,896378.788836,8
2023-04-01 01:00:00,48,896378.776666,8
2023-04-01 00:00:00,48,896378.37929,8
2023-03-31 23:00:00,48,896378.37929,8
2023-03-31 22:00:00,48,896378.168196,8
2023-03-31 21:00:00,48,896378.033671,8
2023-03-31 20:00:00,48,896377.687518,8
2023-03-31 19:00:00,47,896377.449619,8
2023-03-31 18:00:00,47,896377.41476,8
2023-03-31 17:00:00,47,896376.677674,8
2023-03-31 16:00:00,47,896376.609791,8
2023-03-31 15:00:00,47,896376.561304,8
2023-03-31 14:00:00,47,896376.485477,8
2023-03-31 13:00:00,47,896376.476056,8
2023-03-31 12:00:00,47,896376.380638,8
2023-03-31 11:00:00,47,896376.094628,8
2023-03-31 10:00:00,47,896376.056411,8
2023-03-31 09:00:00,47,896375.883786,8
2023-03-31 08:00:00,47,896375.823892,8
2023-03-31 07:00:00,47,896375.439441,8
2023-03-31 06:00:00,47,896369.440907,8
2023-03-31 05:00:00,47,896369.272806,8
2023-03-31 04:00:00,47,896369.272806,8
2023-03-31 03:00:00,47,896369.258413,8
2023-03-31 02:00:00,47,896369.249853,8
2023-03-31 01:00:00,47,896369.220207,8
2023-03-31 00:00:00,47,896369.208805,8
2023-03-30 23:00:00,47,896369.208805,8
2023-03-30 22:00:00,47,896369.155545,8
2023-03-30 21:00:00,47,896369.086299,8
2023-03-30 20:00:00,47,896369.055514,8
2023-03-30 19:00:00,47,896369.018852,8
2023-03-30 18:00:00,47,896368.982116,8
2023-03-30 17:00:00,47,896368.935369,8
2023-03-30 16:00:00,47,896368.901726,8
2023-03-30 15:00:00,47,896368.892747,8
2023-03-30 14:00:00,47,896368.892747,8
2023-03-30 13:00:00,47,896368.642873,8
2023-03-30 12:00:00,47,896368.642873,8
2023-03-30 11:00:00,47,896368.621986,8
2023-03-30 10:00:00,47,896368.615032,8
2023-03-30 09:00:00,47,896368.598215,8
2023-03-30 08:00:00,48,896368.598215,8
2023-03-30 07:00:00,48,896368.43634,8
2023-03-30 06:00:00,48,896368.318569,8
2023-03-30 05:00:00,48,896368.318569,8
2023-03-30 04:00:00,48,896368.31157,8
2023-03-30 03:00:00,48,896368.301296,8
