timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,52,785148.46657,7.5
2023-04-13 12:00:00,52,784909.813729,7.5
2023-04-13 00:00:00,52,785140.110232,7.5
2023-04-12 12:00:00,52,783756.439469,7.5
2023-04-12 00:00:00,52,783804.198496,7.5
2023-04-11 12:00:00,52,783971.065578,7.5
2023-04-11 08:00:00,52,784172.759084,7.5
2023-04-11 07:00:00,52,784172.412918,7.5
2023-04-11 06:00:00,52,784162.731113,7.5
2023-04-11 05:00:00,52,784162.359125,7.5
2023-04-11 04:00:00,52,784105.759125,7.5
2023-04-11 03:00:00,52,784105.559125,7.5
2023-04-11 02:00:00,52,784112.259125,7.5
2023-04-11 01:00:00,52,784110.412581,7.5
2023-04-11 00:00:00,52,784109.109016,7.5
2023-04-10 23:00:00,52,784108.898981,7.5
2023-04-10 22:00:00,52,784102.468981,7.5
2023-04-10 21:00:00,52,784116.711147,7.5
2023-04-10 20:00:00,52,784105.617643,7.5
2023-04-10 19:00:00,52,784105.120139,7.5
2023-04-10 18:00:00,52,784104.326965,7.5
2023-04-10 17:00:00,52,784093.600208,7.5
2023-04-10 16:00:00,52,784049.817474,7.5
2023-04-10 15:00:00,52,784201.866102,7.5
2023-04-10 14:00:00,52,784181.906072,7.5
2023-04-10 13:00:00,52,784176.628062,7.5
2023-04-10 12:00:00,52,784102.982527,7.5
2023-04-10 11:00:00,52,783901.03502,7.5
2023-04-10 10:00:00,52,783900.548657,7.5
2023-04-10 09:00:00,52,783900.548657,7.5
2023-04-10 08:00:00,52,783883.45453,7.5
2023-04-10 07:00:00,52,783880.922166,7.5
2023-04-10 06:00:00,52,783880.922166,7.5
2023-04-10 05:00:00,52,783880.922166,7.5
2023-04-10 04:00:00,52,783870.017217,7.5
2023-04-10 03:00:00,52,783869.6071,7.5
2023-04-10 02:00:00,52,783868.4471,7.5
2023-04-10 01:00:00,52,783766.730217,7.5
2023-04-10 00:00:00,52,783766.680486,7.5
2023-04-09 23:00:00,52,783580.188796,7.5
2023-04-09 22:00:00,52,783577.560963,7.5
2023-04-09 21:00:00,52,783576.760558,7.5
2023-04-09 20:00:00,52,783573.075124,7.5
2023-04-09 19:00:00,52,783571.797903,7.5
2023-04-09 18:00:00,52,783554.531252,7.5
2023-04-09 17:00:00,52,783547.474455,7.5
2023-04-09 16:00:00,52,783546.470733,7.5
2023-04-09 15:00:00,52,783538.493558,7.5
2023-04-09 14:00:00,52,783536.892819,7.5
2023-04-09 13:00:00,52,783533.852819,7.5
2023-04-09 12:00:00,52,783533.703918,7.5
2023-04-09 11:00:00,52,783639.977237,7.5
2023-04-09 10:00:00,52,783473.626198,7.5
2023-04-09 09:00:00,52,786485.540537,7.5
2023-04-09 08:00:00,52,786484.025246,7.5
2023-04-09 07:00:00,52,786483.844739,7.5
2023-04-09 06:00:00,52,786482.654739,7.5
2023-04-09 05:00:00,52,786424.642315,7.5
2023-04-09 04:00:00,52,788049.320266,7.5
2023-04-09 03:00:00,52,788049.195671,7.5
2023-04-09 02:00:00,52,788048.777139,7.5
2023-04-09 01:00:00,52,788093.59506,7.5
2023-04-09 00:00:00,52,788092.382863,7.5
2023-04-08 23:00:00,52,787670.155247,7.5
2023-04-08 22:00:00,52,787645.955348,7.5
2023-04-08 21:00:00,52,787642.930354,7.5
2023-04-08 20:00:00,52,787641.530354,7.5
2023-04-08 19:00:00,52,787641.136828,7.5
2023-04-08 18:00:00,52,787641.006482,7.5
2023-04-08 17:00:00,52,787760.518409,7.5
2023-04-08 16:00:00,52,787760.265246,7.5
2023-04-08 15:00:00,52,787786.380242,7.5
2023-04-08 14:00:00,52,787786.380242,7.5
2023-04-08 13:00:00,52,787784.044794,7.5
2023-04-08 12:00:00,52,787712.252347,7.5
2023-04-08 11:00:00,52,788182.972494,7.5
2023-04-08 10:00:00,52,788176.870682,7.5
2023-04-08 09:00:00,52,788151.492437,7.5
2023-04-08 08:00:00,52,788151.342235,7.5
2023-04-08 07:00:00,52,788149.482546,7.5
2023-04-08 06:00:00,52,788149.460223,7.5
2023-04-08 05:00:00,52,788147.420665,7.5
2023-04-08 04:00:00,52,788153.920665,7.5
2023-04-08 03:00:00,52,788153.920665,7.5
2023-04-08 02:00:00,52,788149.586995,7.5
2023-04-08 01:00:00,52,788246.821032,7.5
2023-04-08 00:00:00,52,788218.443542,7.5
2023-04-07 23:00:00,52,788227.292762,7.5
2023-04-07 22:00:00,52,788226.337952,7.5
2023-04-07 21:00:00,52,788224.03503,7.5
2023-04-07 20:00:00,52,788184.488977,7.5
2023-04-07 19:00:00,52,788178.043774,7.5
2023-04-07 18:00:00,52,788178.043774,7.5
2023-04-07 17:00:00,52,788171.843774,7.5
2023-04-07 16:00:00,52,787796.900496,7.5
2023-04-07 15:00:00,52,787786.84934,7.5
2023-04-07 14:00:00,52,787768.37262,7.5
2023-04-07 13:00:00,52,787967.874709,7.5
2023-04-07 12:00:00,52,787998.983951,7.5
2023-04-07 11:00:00,52,787998.896818,7.5
2023-04-07 10:00:00,52,788029.309938,7.5
2023-04-07 09:00:00,52,788022.825202,7.5
2023-04-07 08:00:00,52,788018.317568,7.5
2023-04-07 07:00:00,52,788018.149366,7.5
2023-04-07 06:00:00,52,788018.149366,7.5
2023-04-07 05:00:00,52,788046.616869,7.5
2023-04-07 04:00:00,52,788041.077419,7.5
2023-04-07 03:00:00,52,788039.627646,7.5
2023-04-07 02:00:00,52,788041.646445,7.5
2023-04-07 01:00:00,52,788041.323292,7.5
2023-04-07 00:00:00,52,788041.093292,7.5
2023-04-06 23:00:00,52,788037.602346,7.5
2023-04-06 22:00:00,52,788017.030181,7.5
2023-04-06 21:00:00,52,788002.43436,7.5
2023-04-06 20:00:00,52,788002.236472,7.5
2023-04-06 19:00:00,52,790525.64895,7.5
2023-04-06 18:00:00,52,790522.520817,7.5
2023-04-06 17:00:00,52,790506.997325,7.5
2023-04-06 16:00:00,52,790409.045354,7.5
2023-04-06 15:00:00,52,790408.015198,7.5
2023-04-06 14:00:00,52,790397.975198,7.5
2023-04-06 13:00:00,52,790315.975099,7.5
2023-04-06 12:00:00,52,790315.714002,7.5
2023-04-06 11:00:00,52,790247.040589,7.5
2023-04-06 10:00:00,52,790247.034799,7.5
2023-04-06 09:00:00,52,790241.37409,7.5
2023-04-06 08:00:00,52,790104.091659,7.5
2023-04-06 07:00:00,52,790053.941181,7.5
2023-04-06 06:00:00,52,790047.348439,7.5
2023-04-06 05:00:00,52,790034.205656,7.5
2023-04-06 04:00:00,52,790023.672747,7.5
2023-04-06 03:00:00,52,790147.172747,7.5
2023-04-06 02:00:00,52,790316.852747,7.5
2023-04-06 01:00:00,52,790316.152747,7.5
2023-04-06 00:00:00,52,790125.840079,7.5
2023-04-05 23:00:00,52,790119.845343,7.5
2023-04-05 22:00:00,52,790119.810191,7.5
2023-04-05 21:00:00,52,790016.776581,7.5
2023-04-05 20:00:00,52,790016.068332,7.5
2023-04-05 19:00:00,52,790016.068332,7.5
2023-04-05 18:00:00,52,789975.411457,7.5
2023-04-05 17:00:00,52,789969.437192,7.5
2023-04-05 16:00:00,52,789762.18597,7.5
2023-04-05 15:00:00,52,791575.4381,7.5
2023-04-05 14:00:00,52,791632.615879,7.5
2023-04-05 13:00:00,52,791259.532149,7.5
2023-04-05 12:00:00,52,790842.18231,7.5
2023-04-05 11:00:00,52,790841.44973,7.5
2023-04-05 10:00:00,52,790839.735859,7.5
2023-04-05 09:00:00,52,790815.419597,7.5
2023-04-05 08:00:00,52,790743.598045,7.5
2023-04-05 07:00:00,52,790692.798045,7.5
2023-04-05 06:00:00,52,790724.136012,7.5
2023-04-05 05:00:00,52,790721.811519,7.5
2023-04-05 04:00:00,52,790718.684658,7.5
2023-04-05 03:00:00,52,790709.184658,7.5
2023-04-05 02:00:00,52,790696.083396,7.5
2023-04-05 01:00:00,52,790654.577182,7.5
2023-04-05 00:00:00,52,790628.150903,7.5
2023-04-04 23:00:00,52,790604.797685,7.5
2023-04-04 22:00:00,52,790602.169168,7.5
2023-04-04 21:00:00,52,790601.380611,7.5
2023-04-04 20:00:00,52,790589.045609,7.5
2023-04-04 19:00:00,52,790582.661173,7.5
2023-04-04 18:00:00,52,790536.067991,7.5
