timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,53,757512.311019,10
2023-04-13 12:00:00,53,757512.012476,10
2023-04-13 00:00:00,53,757505.937159,10
2023-04-12 12:00:00,53,757365.912042,10
2023-04-12 00:00:00,53,757347.312819,10
2023-04-11 12:00:00,53,757347.170782,10
2023-04-11 08:00:00,53,757337.518473,10
2023-04-11 07:00:00,53,757337.518473,10
2023-04-11 06:00:00,53,757337.518473,10
2023-04-11 05:00:00,53,757337.367466,10
2023-04-11 04:00:00,53,757337.367466,10
2023-04-11 03:00:00,53,757337.367466,10
2023-04-11 02:00:00,53,757337.367466,10
2023-04-11 01:00:00,53,757337.367466,10
2023-04-11 00:00:00,53,757337.367466,10
2023-04-10 23:00:00,53,757337.367466,10
2023-04-10 22:00:00,53,757337.367466,10
2023-04-10 21:00:00,53,757337.35581,10
2023-04-10 20:00:00,53,757337.078276,10
2023-04-10 19:00:00,53,757337.078276,10
2023-04-10 18:00:00,53,757337.078276,10
2023-04-10 17:00:00,53,757337.058825,10
2023-04-10 16:00:00,53,757337.05877,10
2023-04-10 15:00:00,53,757337.058219,10
2023-04-10 14:00:00,53,757337.058219,10
2023-04-10 13:00:00,53,757337.049896,10
2023-04-10 12:00:00,53,757324.854715,10
2023-04-10 11:00:00,53,757324.854715,10
2023-04-10 10:00:00,53,757324.854715,10
2023-04-10 09:00:00,53,757324.854715,10
2023-04-10 08:00:00,53,757324.85194,10
2023-04-10 07:00:00,53,757324.849461,10
2023-04-10 06:00:00,53,757324.849461,10
2023-04-10 05:00:00,53,757324.849461,10
2023-04-10 04:00:00,53,757324.849461,10
2023-04-10 03:00:00,53,757324.849461,10
2023-04-10 02:00:00,53,757324.849461,10
2023-04-10 01:00:00,53,757324.849461,10
2023-04-10 00:00:00,53,757324.849461,10
2023-04-09 23:00:00,53,757324.849461,10
2023-04-09 22:00:00,53,757324.835585,10
2023-04-09 21:00:00,53,757324.035149,10
2023-04-09 20:00:00,53,757324.035149,10
2023-04-09 19:00:00,53,757324.02378,10
2023-04-09 18:00:00,53,757324.007129,10
2023-04-09 17:00:00,53,757323.988617,10
2023-04-09 16:00:00,53,757323.988617,10
2023-04-09 15:00:00,53,757323.988507,10
2023-04-09 14:00:00,53,757323.988502,10
2023-04-09 13:00:00,53,757323.988502,10
2023-04-09 12:00:00,53,757300.867476,10
2023-04-09 11:00:00,53,757300.84291,10
2023-04-09 10:00:00,53,757300.81752,10
2023-04-09 09:00:00,53,757300.81532,10
2023-04-09 08:00:00,53,757300.81532,10
2023-04-09 07:00:00,53,757300.811508,10
2023-04-09 06:00:00,53,757300.811508,10
2023-04-09 05:00:00,53,757300.799084,10
2023-04-09 04:00:00,53,757300.743281,10
2023-04-09 03:00:00,53,757300.743281,10
2023-04-09 02:00:00,53,757300.732121,10
2023-04-09 01:00:00,53,757300.732121,10
2023-04-09 00:00:00,53,757300.732121,10
2023-04-08 23:00:00,53,757300.729331,10
2023-04-08 22:00:00,53,757300.729331,10
2023-04-08 21:00:00,53,757300.719823,10
2023-04-08 20:00:00,53,757300.719823,10
2023-04-08 19:00:00,53,757300.686296,10
2023-04-08 18:00:00,53,757300.68595,10
2023-04-08 17:00:00,53,757300.66153,10
2023-04-08 16:00:00,53,757300.588364,10
2023-04-08 15:00:00,53,757300.203345,10
2023-04-08 14:00:00,53,757300.203345,10
2023-04-08 13:00:00,53,757299.366436,10
2023-04-08 12:00:00,53,757278.033115,10
2023-04-08 11:00:00,53,757278.016377,10
2023-04-08 10:00:00,53,757278.012234,10
2023-04-08 09:00:00,53,757278.012234,10
2023-04-08 08:00:00,53,757277.862028,10
2023-04-08 07:00:00,53,757277.502328,10
2023-04-08 06:00:00,53,757277.480004,10
2023-04-08 05:00:00,53,757277.440444,10
2023-04-08 04:00:00,53,757277.440444,10
2023-04-08 03:00:00,53,757277.440444,10
2023-04-08 02:00:00,53,757277.440444,10
2023-04-08 01:00:00,53,757276.440444,10
2023-04-08 00:00:00,53,757276.440444,10
2023-04-07 23:00:00,53,757276.440444,10
2023-04-07 22:00:00,53,757276.269066,10
2023-04-07 21:00:00,53,757276.269066,10
2023-04-07 20:00:00,53,757276.269066,10
2023-04-07 19:00:00,53,757276.269066,10
2023-04-07 18:00:00,53,757276.269066,10
2023-04-07 17:00:00,53,757276.269066,10
2023-04-07 16:00:00,53,757276.25068,10
2023-04-07 15:00:00,53,757276.25068,10
2023-04-07 14:00:00,53,757276.25068,10
2023-04-07 13:00:00,53,757276.25068,10
2023-04-07 12:00:00,53,757329.388673,10
2023-04-07 11:00:00,53,757329.388673,10
2023-04-07 10:00:00,53,757329.388673,10
2023-04-07 09:00:00,53,757329.388673,10
2023-04-07 08:00:00,53,757329.388673,10
2023-04-07 07:00:00,53,757329.388673,10
2023-04-07 06:00:00,53,757329.388673,10
2023-04-07 05:00:00,53,757329.388673,10
2023-04-07 04:00:00,53,757329.388673,10
2023-04-07 03:00:00,53,757329.388673,10
2023-04-07 02:00:00,53,757329.388673,10
2023-04-07 01:00:00,53,757329.388673,10
2023-04-07 00:00:00,53,757329.388673,10
2023-04-06 23:00:00,53,757329.388673,10
2023-04-06 22:00:00,53,757329.383096,10
2023-04-06 21:00:00,53,757328.814179,10
2023-04-06 20:00:00,53,757328.633863,10
2023-04-06 19:00:00,53,757328.633863,10
2023-04-06 18:00:00,53,757328.613569,10
2023-04-06 17:00:00,53,757327.67755,10
2023-04-06 16:00:00,53,757327.465204,10
2023-04-06 15:00:00,53,757327.437002,10
2023-04-06 14:00:00,53,757327.437002,10
2023-04-06 13:00:00,53,757327.437002,10
2023-04-06 12:00:00,53,757321.307968,10
2023-04-06 11:00:00,53,757321.307968,10
2023-04-06 10:00:00,53,757321.302178,10
2023-04-06 09:00:00,53,757321.285706,10
2023-04-06 08:00:00,53,757321.273298,10
2023-04-06 07:00:00,53,757321.273298,10
2023-04-06 06:00:00,53,757321.132289,10
2023-04-06 05:00:00,53,757321.049506,10
2023-04-06 04:00:00,53,757321.049506,10
2023-04-06 03:00:00,53,757321.049506,10
2023-04-06 02:00:00,53,757321.049506,10
2023-04-06 01:00:00,53,757321.049506,10
2023-04-06 00:00:00,53,757321.049506,10
2023-04-05 23:00:00,53,757321.049506,10
2023-04-05 22:00:00,53,757321.049506,10
2023-04-05 21:00:00,53,757321.049506,10
2023-04-05 20:00:00,53,757321.049506,10
2023-04-05 19:00:00,53,757321.049506,10
2023-04-05 18:00:00,53,757321.049506,10
2023-04-05 17:00:00,53,757321.030948,10
2023-04-05 16:00:00,53,757321.030948,10
2023-04-05 15:00:00,53,757321.030948,10
2023-04-05 14:00:00,53,757321.030948,10
2023-04-05 13:00:00,53,757321.030948,10
2023-04-05 12:00:00,53,757314.553776,10
2023-04-05 11:00:00,53,757314.416624,10
2023-04-05 10:00:00,53,757314.416624,10
2023-04-05 09:00:00,53,757314.416624,10
2023-04-05 08:00:00,53,757314.416624,10
2023-04-05 07:00:00,53,757314.416624,10
2023-04-05 06:00:00,53,757314.416624,10
2023-04-05 05:00:00,53,757314.416624,10
2023-04-05 04:00:00,53,757314.416624,10
2023-04-05 03:00:00,53,757314.416624,10
2023-04-05 02:00:00,53,757314.416624,10
