timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,54,714399.675939,0
2023-04-13 12:00:00,55,712912.235477,0
2023-04-13 00:00:00,55,710870.295307,0
2023-04-12 12:00:00,55,710412.124241,0
2023-04-12 00:00:00,55,709554.086852,0
2023-04-11 12:00:00,55,709893.215367,0
2023-04-11 08:00:00,55,711031.404737,0
2023-04-11 07:00:00,55,711016.543252,0
2023-04-11 06:00:00,55,710782.249871,0
2023-04-11 05:00:00,55,710024.033299,0
2023-04-11 04:00:00,55,710023.290045,0
2023-04-11 03:00:00,55,709804.908214,0
2023-04-11 02:00:00,55,709653.604589,0
2023-04-11 01:00:00,55,709647.102049,0
2023-04-11 00:00:00,55,709579.817141,0
2023-04-10 23:00:00,55,709544.536452,0
2023-04-10 22:00:00,55,709509.728974,0
2023-04-10 21:00:00,55,709219.889851,0
2023-04-10 20:00:00,55,708709.508003,0
2023-04-10 19:00:00,55,707511.945755,0
2023-04-10 18:00:00,55,707497.026776,0
2023-04-10 17:00:00,55,707712.046272,0
2023-04-10 16:00:00,55,707631.866133,0
2023-04-10 15:00:00,55,707586.583205,0
2023-04-10 14:00:00,55,707488.056224,0
2023-04-10 13:00:00,55,707445.563052,0
2023-04-10 12:00:00,55,707280.418727,0
2023-04-10 11:00:00,55,707081.743136,0
2023-04-10 10:00:00,55,707051.800198,0
2023-04-10 09:00:00,55,707044.340006,0
2023-04-10 08:00:00,55,706845.59526,0
2023-04-10 07:00:00,55,707153.78278,0
2023-04-10 06:00:00,55,707153.78278,0
2023-04-10 05:00:00,55,707158.261498,0
2023-04-10 04:00:00,55,707189.751273,0
2023-04-10 03:00:00,55,707179.151772,0
2023-04-10 02:00:00,55,706960.394773,0
2023-04-10 01:00:00,55,706826.024953,0
2023-04-10 00:00:00,55,706834.555523,0
2023-04-09 23:00:00,55,705966.270564,0
2023-04-09 22:00:00,55,705947.571543,0
2023-04-09 21:00:00,55,705455.081933,0
2023-04-09 20:00:00,55,705448.466733,0
2023-04-09 19:00:00,55,705389.456457,0
2023-04-09 18:00:00,55,705224.742652,0
2023-04-09 17:00:00,55,705093.082402,0
2023-04-09 16:00:00,55,705037.261329,0
2023-04-09 15:00:00,55,705232.031932,0
2023-04-09 14:00:00,55,705138.715939,0
2023-04-09 13:00:00,55,705135.147056,0
2023-04-09 12:00:00,55,704538.619811,0
2023-04-09 11:00:00,55,704492.286072,0
2023-04-09 10:00:00,55,704159.359893,0
2023-04-09 09:00:00,55,704669.211011,0
2023-04-09 08:00:00,55,704502.687421,0
2023-04-09 07:00:00,55,704287.322751,0
2023-04-09 06:00:00,55,704220.692513,0
2023-04-09 05:00:00,55,704209.950939,0
2023-04-09 04:00:00,55,704195.846556,0
2023-04-09 03:00:00,55,704154.473621,0
2023-04-09 02:00:00,55,704250.368104,0
2023-04-09 01:00:00,55,704243.180071,0
2023-04-09 00:00:00,55,704172.375517,0
2023-04-08 23:00:00,55,704096.725137,0
2023-04-08 22:00:00,56,703004.681191,0
2023-04-08 21:00:00,55,704396.483435,0
2023-04-08 20:00:00,56,704017.537232,0
2023-04-08 19:00:00,56,703915.545177,0
2023-04-08 18:00:00,55,704815.594715,0
2023-04-08 17:00:00,55,704796.296252,0
2023-04-08 16:00:00,55,704778.467524,0
2023-04-08 15:00:00,55,704757.959427,0
2023-04-08 14:00:00,55,704701.38628,0
2023-04-08 13:00:00,55,704614.116521,0
2023-04-08 12:00:00,55,704328.595296,0
2023-04-08 11:00:00,55,704112.574135,0
2023-04-08 10:00:00,55,704064.625866,0
2023-04-08 09:00:00,56,703951.146724,0
2023-04-08 08:00:00,56,703926.508162,0
2023-04-08 07:00:00,56,703674.4437,0
2023-04-08 06:00:00,56,703646.349147,0
2023-04-08 05:00:00,56,703400.151082,0
2023-04-08 04:00:00,56,703377.712761,0
2023-04-08 03:00:00,56,703367.919415,0
2023-04-08 02:00:00,56,703377.459949,0
2023-04-08 01:00:00,56,703280.374599,0
2023-04-08 00:00:00,56,703255.834376,0
2023-04-07 23:00:00,56,703252.772346,0
2023-04-07 22:00:00,56,703086.664954,0
2023-04-07 21:00:00,56,703053.666175,0
2023-04-07 20:00:00,56,702798.754937,0
2023-04-07 19:00:00,56,702265.011313,0
2023-04-07 18:00:00,56,702244.837957,0
2023-04-07 17:00:00,56,702220.088018,0
2023-04-07 16:00:00,56,701822.649851,0
2023-04-07 15:00:00,56,701544.63292,0
2023-04-07 14:00:00,56,701477.27481,0
2023-04-07 13:00:00,56,701284.504754,0
