timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,5,8934204.481892,2.5
2023-04-13 12:00:00,5,8945949.867747,2.5
2023-04-13 00:00:00,5,8944032.249296,2.5
2023-04-12 12:00:00,5,8936484.087061,2.5
2023-04-12 00:00:00,5,8933290.203398,2.5
2023-04-11 12:00:00,5,8931602.169568,2.5
2023-04-11 08:00:00,5,8909246.781847,2.5
2023-04-11 07:00:00,5,8909246.781847,2.5
2023-04-11 06:00:00,5,8908819.742427,2.5
2023-04-11 05:00:00,5,8911069.924172,2.5
2023-04-11 04:00:00,5,8911048.324172,2.5
2023-04-11 03:00:00,5,8910996.324172,2.5
2023-04-11 02:00:00,5,8910987.324172,2.5
2023-04-11 01:00:00,5,8910937.216768,2.5
2023-04-11 00:00:00,5,8910937.216768,2.5
2023-04-10 23:00:00,5,8910935.412562,2.5
2023-04-10 22:00:00,5,8910664.162934,2.5
2023-04-10 21:00:00,5,8910662.070773,2.5
2023-04-10 20:00:00,5,8910650.247462,2.5
2023-04-10 19:00:00,5,8910689.560637,2.5
2023-04-10 18:00:00,5,8910722.976464,2.5
2023-04-10 17:00:00,5,8911859.73844,2.5
2023-04-10 16:00:00,5,8911835.582039,2.5
2023-04-10 15:00:00,5,8911915.687704,2.5
2023-04-10 14:00:00,5,8911910.687704,2.5
2023-04-10 13:00:00,5,8911889.076409,2.5
2023-04-10 12:00:00,5,8911732.090084,2.5
2023-04-10 11:00:00,5,8911711.499205,2.5
2023-04-10 10:00:00,5,8909000.857162,2.5
2023-04-10 09:00:00,5,8909000.857162,2.5
2023-04-10 08:00:00,5,8907563.981228,2.5
2023-04-10 07:00:00,5,8907563.978749,2.5
2023-04-10 06:00:00,5,8907563.978749,2.5
2023-04-10 05:00:00,5,8907479.388454,2.5
2023-04-10 04:00:00,5,8907476.348454,2.5
2023-04-10 03:00:00,5,8907476.348454,2.5
2023-04-10 02:00:00,5,8907473.953224,2.5
2023-04-10 01:00:00,5,8907473.953224,2.5
2023-04-10 00:00:00,5,8907468.353306,2.5
2023-04-09 23:00:00,5,8907464.353306,2.5
2023-04-09 22:00:00,5,8906538.116156,2.5
2023-04-09 21:00:00,5,8906462.438737,2.5
2023-04-09 20:00:00,5,8906423.176004,2.5
2023-04-09 19:00:00,5,8906410.864635,2.5
2023-04-09 18:00:00,5,8906423.467163,2.5
2023-04-09 17:00:00,5,8905913.34051,2.5
2023-04-09 16:00:00,5,8905921.24051,2.5
2023-04-09 15:00:00,5,8905921.2404,2.5
2023-04-09 14:00:00,5,8905920.085778,2.5
2023-04-09 13:00:00,5,8905914.712633,2.5
2023-04-09 12:00:00,5,8905894.712633,2.5
2023-04-09 11:00:00,5,8905890.597315,2.5
2023-04-09 10:00:00,5,8905888.931908,2.5
2023-04-09 09:00:00,5,8905886.725412,2.5
2023-04-09 08:00:00,5,8905811.50422,2.5
2023-04-09 07:00:00,5,8905705.588452,2.5
2023-04-09 06:00:00,5,8905704.888452,2.5
2023-04-09 05:00:00,5,8905704.076028,2.5
2023-04-09 04:00:00,5,8905414.520227,2.5
2023-04-09 03:00:00,5,8905414.520227,2.5
2023-04-09 02:00:00,5,8905412.809067,2.5
2023-04-09 01:00:00,5,8905398.100273,2.5
2023-04-09 00:00:00,5,8905395.047522,2.5
2023-04-08 23:00:00,5,8905394.962367,2.5
2023-04-08 22:00:00,5,8905387.682397,2.5
2023-04-08 21:00:00,5,8905285.734629,2.5
2023-04-08 20:00:00,5,8905277.463544,2.5
2023-04-08 19:00:00,5,8905277.430018,2.5
2023-04-08 18:00:00,5,8905247.485757,2.5
2023-04-08 17:00:00,5,8905247.469354,2.5
2023-04-08 16:00:00,5,8905232.446191,2.5
2023-04-08 15:00:00,5,8905141.212983,2.5
2023-04-08 14:00:00,5,8905140.049575,2.5
2023-04-08 13:00:00,5,8905002.237782,2.5
2023-04-08 12:00:00,5,8904998.466376,2.5
2023-04-08 11:00:00,5,8904990.704806,2.5
2023-04-08 10:00:00,5,8904881.558816,2.5
2023-04-08 09:00:00,5,8904869.152779,2.5
2023-04-08 08:00:00,5,8904331.268819,2.5
2023-04-08 07:00:00,5,8904330.80913,2.5
2023-04-08 06:00:00,5,8904329.755882,2.5
2023-04-08 05:00:00,5,8904303.197749,2.5
2023-04-08 04:00:00,5,8904302.708926,2.5
2023-04-08 03:00:00,5,8904300.708926,2.5
2023-04-08 02:00:00,5,8904166.708926,2.5
2023-04-08 01:00:00,5,8904168.958926,2.5
2023-04-08 00:00:00,5,8904155.367796,2.5
2023-04-07 23:00:00,5,8904155.367796,2.5
2023-04-07 22:00:00,5,8904153.875356,2.5
2023-04-07 21:00:00,5,8904097.935956,2.5
2023-04-07 20:00:00,5,8904096.976702,2.5
2023-04-07 19:00:00,5,8904088.084285,2.5
2023-04-07 18:00:00,5,8904086.085379,2.5
2023-04-07 17:00:00,5,8904081.058834,2.5
2023-04-07 16:00:00,5,8904050.911215,2.5
2023-04-07 15:00:00,5,8904051.400963,2.5
2023-04-07 14:00:00,5,8904017.394412,2.5
2023-04-07 13:00:00,5,8901895.645402,2.5
2023-04-07 12:00:00,5,8901797.089123,2.5
2023-04-07 11:00:00,5,8901797.089123,2.5
2023-04-07 10:00:00,5,8901976.951914,2.5
2023-04-07 09:00:00,5,8901975.534224,2.5
2023-04-07 08:00:00,5,8901974.126407,2.5
2023-04-07 07:00:00,5,8901967.534589,2.5
2023-04-07 06:00:00,5,8901965.410494,2.5
2023-04-07 05:00:00,5,8901965.410494,2.5
2023-04-07 04:00:00,5,8901959.610494,2.5
2023-04-07 03:00:00,5,8901759.610494,2.5
2023-04-07 02:00:00,5,8901625.610495,2.5
2023-04-07 01:00:00,5,8901625.310495,2.5
2023-04-07 00:00:00,5,8901628.310494,2.5
2023-04-06 23:00:00,5,8901633.537982,2.5
2023-04-06 22:00:00,5,8901633.043806,2.5
2023-04-06 21:00:00,5,8901632.645263,2.5
2023-04-06 20:00:00,5,8901623.464955,2.5
2023-04-06 19:00:00,5,8901623.479772,2.5
2023-04-06 18:00:00,5,8898613.469634,2.5
2023-04-06 17:00:00,5,8898612.533648,2.5
2023-04-06 16:00:00,5,8898593.821302,2.5
2023-04-06 15:00:00,5,8898560.451707,2.5
2023-04-06 14:00:00,5,8898501.317615,2.5
2023-04-06 13:00:00,5,8898591.117614,2.5
2023-04-06 12:00:00,5,8898589.992484,2.5
2023-04-06 11:00:00,5,8898559.489935,2.5
2023-04-06 10:00:00,5,8898545.820961,2.5
2023-04-06 09:00:00,5,8898544.304489,2.5
2023-04-06 08:00:00,5,8898520.100092,2.5
2023-04-06 07:00:00,5,8898520.100092,2.5
2023-04-06 06:00:00,5,8898518.272269,2.5
2023-04-06 05:00:00,5,8898500.99737,2.5
2023-04-06 04:00:00,5,8898497.987073,2.5
2023-04-06 03:00:00,5,8900748.915168,2.5
2023-04-06 02:00:00,5,8900751.193519,2.5
2023-04-06 01:00:00,5,8900678.058578,2.5
