timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,63,619175.393362,3
2023-04-13 12:00:00,64,620174.80413,3
2023-04-13 00:00:00,64,620105.976055,3
2023-04-12 12:00:00,64,620278.404369,3
2023-04-12 00:00:00,64,620322.20255,3
2023-04-11 12:00:00,64,620239.021295,3
2023-04-11 08:00:00,64,620034.269751,3
2023-04-11 07:00:00,64,620034.269751,3
2023-04-11 06:00:00,64,620498.944398,3
2023-04-11 05:00:00,64,620498.793391,3
2023-04-11 04:00:00,64,620498.793391,3
2023-04-11 03:00:00,64,620498.793391,3
2023-04-11 02:00:00,64,620897.258551,3
2023-04-11 01:00:00,64,620895.949776,3
2023-04-11 00:00:00,64,620895.949776,3
2023-04-10 23:00:00,64,620895.920091,3
2023-04-10 22:00:00,64,620894.240042,3
2023-04-10 21:00:00,64,620894.828386,3
2023-04-10 20:00:00,64,620894.058822,3
2023-04-10 19:00:00,64,620894.058822,3
2023-04-10 18:00:00,64,620893.881897,3
2023-04-10 17:00:00,64,620890.948621,3
2023-04-10 16:00:00,64,620884.148105,3
2023-04-10 15:00:00,64,620833.313265,3
2023-04-10 14:00:00,64,620833.313265,3
2023-04-10 13:00:00,64,626084.904942,3
2023-04-10 12:00:00,64,626073.495332,3
2023-04-10 11:00:00,64,626045.500173,3
2023-04-10 10:00:00,64,626044.771742,3
2023-04-10 09:00:00,64,626043.708727,3
2023-04-10 08:00:00,64,626065.031606,3
2023-04-10 07:00:00,64,626062.285963,3
2023-04-10 06:00:00,64,626062.285963,3
2023-04-10 05:00:00,64,626131.566306,3
2023-04-10 04:00:00,64,626131.566306,3
2023-04-10 03:00:00,64,626131.566306,3
2023-04-10 02:00:00,64,626131.566306,3
2023-04-10 01:00:00,64,626075.579248,3
2023-04-10 00:00:00,64,626075.579248,3
2023-04-09 23:00:00,64,626075.579248,3
2023-04-09 22:00:00,64,626053.519691,3
2023-04-09 21:00:00,64,626052.719254,3
2023-04-09 20:00:00,64,626052.556641,3
2023-04-09 19:00:00,64,626044.797801,3
2023-04-09 18:00:00,64,626044.78115,3
2023-04-09 17:00:00,64,626042.574329,3
2023-04-09 16:00:00,64,626056.574329,3
2023-04-09 15:00:00,64,626212.707639,3
2023-04-09 14:00:00,64,626212.707634,3
2023-04-09 13:00:00,64,626211.107634,3
2023-04-09 12:00:00,64,626190.770703,3
2023-04-09 11:00:00,64,626190.746136,3
2023-04-09 10:00:00,64,626190.720746,3
2023-04-09 09:00:00,64,626190.718546,3
2023-04-09 08:00:00,64,626190.718546,3
2023-04-09 07:00:00,64,626190.714734,3
2023-04-09 06:00:00,64,626190.641559,3
2023-04-09 05:00:00,64,626189.129135,3
2023-04-09 04:00:00,64,626189.073332,3
2023-04-09 03:00:00,64,626189.073332,3
2023-04-09 02:00:00,64,626189.062172,3
2023-04-09 01:00:00,64,626188.966561,3
2023-04-09 00:00:00,64,626063.523418,3
2023-04-08 23:00:00,64,626061.287568,3
2023-04-08 22:00:00,64,626001.502906,3
2023-04-08 21:00:00,64,626001.493398,3
2023-04-08 20:00:00,64,626001.493398,3
2023-04-08 19:00:00,64,625999.545464,3
2023-04-08 18:00:00,64,625989.745026,3
2023-04-08 17:00:00,64,625988.691276,3
2023-04-08 16:00:00,64,625818.693807,3
2023-04-08 15:00:00,64,625818.308788,3
2023-04-08 14:00:00,64,625815.696114,3
2023-04-08 13:00:00,64,625802.388591,3
2023-04-08 12:00:00,64,625782.335143,3
2023-04-08 11:00:00,64,625780.93974,3
2023-04-08 10:00:00,64,625753.935597,3
2023-04-08 09:00:00,64,625750.020198,3
2023-04-08 08:00:00,64,625747.869992,3
2023-04-08 07:00:00,64,625752.510292,3
2023-04-08 06:00:00,64,625751.112565,3
2023-04-08 05:00:00,64,625751.073005,3
2023-04-08 04:00:00,64,625736.173005,3
2023-04-08 03:00:00,64,625735.773005,3
2023-04-08 02:00:00,64,625735.773005,3
2023-04-08 01:00:00,64,625735.773005,3
2023-04-08 00:00:00,64,625734.497165,3
2023-04-07 23:00:00,64,625734.497165,3
2023-04-07 22:00:00,64,625739.625787,3
2023-04-07 21:00:00,64,626097.286622,3
2023-04-07 20:00:00,64,626097.220156,3
2023-04-07 19:00:00,64,626097.220156,3
2023-04-07 18:00:00,64,626097.220156,3
2023-04-07 17:00:00,64,626096.711152,3
2023-04-07 16:00:00,64,626051.394226,3
2023-04-07 15:00:00,64,626051.394226,3
2023-04-07 14:00:00,64,626051.394226,3
2023-04-07 13:00:00,64,626051.323931,3
2023-04-07 12:00:00,64,626107.247834,3
2023-04-07 11:00:00,64,626107.247834,3
2023-04-07 10:00:00,64,626107.209389,3
2023-04-07 09:00:00,64,626102.442295,3
2023-04-07 08:00:00,64,626099.992411,3
2023-04-07 07:00:00,64,626099.794659,3
2023-04-07 06:00:00,64,626105.733479,3
2023-04-07 05:00:00,64,626105.663848,3
2023-04-07 04:00:00,64,626105.663848,3
2023-04-07 03:00:00,64,626090.092848,3
2023-04-07 02:00:00,64,626090.092848,3
2023-04-07 01:00:00,64,626090.092848,3
2023-04-07 00:00:00,64,626090.092848,3
2023-04-06 23:00:00,64,626090.092848,3
2023-04-06 22:00:00,64,626151.858635,3
2023-04-06 21:00:00,64,626151.289717,3
2023-04-06 20:00:00,64,626150.859401,3
2023-04-06 19:00:00,63,626147.339147,3
2023-04-06 18:00:00,63,626146.705555,3
2023-04-06 17:00:00,63,626145.769534,3
2023-04-06 16:00:00,63,626145.557188,3
2023-04-06 15:00:00,63,625938.655787,3
2023-04-06 14:00:00,63,625955.11783,3
2023-04-06 13:00:00,63,625955.11783,3
2023-04-06 12:00:00,63,625400.816665,3
2023-04-06 11:00:00,63,625400.816665,3
2023-04-06 10:00:00,63,625400.810875,3
2023-04-06 09:00:00,63,625400.794403,3
2023-04-06 08:00:00,63,625400.303742,3
2023-04-06 07:00:00,63,625425.092763,3
2023-04-06 06:00:00,63,625424.551754,3
2023-04-06 05:00:00,63,625424.468971,3
2023-04-06 04:00:00,63,625424.468971,3
2023-04-06 03:00:00,63,625424.468971,3
2023-04-06 02:00:00,63,625424.468971,3
2023-04-06 01:00:00,63,625423.600301,3
2023-04-06 00:00:00,63,625422.853083,3
2023-04-05 23:00:00,63,625422.603083,3
2023-04-05 22:00:00,63,625422.603083,3
2023-04-05 21:00:00,63,625391.317144,3
2023-04-05 20:00:00,63,625391.317144,3
2023-04-05 19:00:00,63,625391.317144,3
2023-04-05 18:00:00,63,625367.123217,3
2023-04-05 17:00:00,63,625366.74425,3
2023-04-05 16:00:00,63,625366.25284,3
2023-04-05 15:00:00,63,625365.38562,3
2023-04-05 14:00:00,63,625365.38562,3
2023-04-05 13:00:00,63,624923.719167,3
2023-04-05 12:00:00,63,624925.80396,3
2023-04-05 11:00:00,63,624925.666808,3
2023-04-05 10:00:00,63,625043.177909,3
2023-04-05 09:00:00,63,625043.079253,3
2023-04-05 08:00:00,63,625040.393161,3
2023-04-05 07:00:00,63,625040.393161,3
2023-04-05 06:00:00,63,625040.393161,3
2023-04-05 05:00:00,63,625040.393161,3
2023-04-05 04:00:00,63,625038.903619,3
2023-04-05 03:00:00,63,625148.959692,3
2023-04-05 02:00:00,63,625147.30387,3
2023-04-05 01:00:00,63,625296.30387,3
2023-04-05 00:00:00,63,625296.30387,3
2023-04-04 23:00:00,63,625268.232451,3
2023-04-04 22:00:00,63,625268.232451,3
2023-04-04 21:00:00,63,625267.738413,3
2023-04-04 20:00:00,63,625262.612383,3
2023-04-04 19:00:00,63,625272.525961,3
2023-04-04 18:00:00,63,625272.145545,3
2023-04-04 17:00:00,63,625271.307201,3
2023-04-04 16:00:00,62,625269.129865,3
2023-04-04 15:00:00,62,625268.566754,3
2023-04-04 14:00:00,62,625139.554167,3
2023-04-04 13:00:00,62,625139.554167,3
2023-04-04 12:00:00,62,625109.501232,3
2023-04-04 11:00:00,62,625107.062667,3
2023-04-04 10:00:00,62,625016.243506,3
2023-04-04 09:00:00,62,625013.594887,3
2023-04-04 08:00:00,62,625012.381283,3
2023-04-04 07:00:00,62,625012.381283,3
2023-04-04 06:00:00,62,625007.080112,3
2023-04-04 05:00:00,62,625007.027262,3
2023-04-04 04:00:00,62,624990.560554,3
2023-04-04 03:00:00,62,624990.560554,3
2023-04-04 02:00:00,62,624987.214304,3
2023-04-04 01:00:00,62,624979.276447,3
2023-04-04 00:00:00,62,624978.952231,3
2023-04-03 23:00:00,62,624978.932708,3
2023-04-03 22:00:00,62,624978.876297,3
2023-04-03 21:00:00,62,624978.876297,3
2023-04-03 20:00:00,62,624966.731891,3
2023-04-03 19:00:00,62,624948.143555,3
2023-04-03 18:00:00,61,624947.409167,3
2023-04-03 17:00:00,61,624935.061472,3
2023-04-03 16:00:00,61,624935.039621,3
2023-04-03 15:00:00,61,624934.496269,3
2023-04-03 14:00:00,62,624931.586522,3
2023-04-03 13:00:00,62,624931.447132,3
2023-04-03 12:00:00,62,624907.54523,3
2023-04-03 11:00:00,62,624893.349523,3
2023-04-03 10:00:00,62,624890.555804,3
2023-04-03 09:00:00,62,624890.527269,3
2023-04-03 08:00:00,62,624876.795394,3
2023-04-03 07:00:00,62,624899.72198,3
2023-04-03 06:00:00,62,624899.72198,3
2023-04-03 05:00:00,62,624897.755941,3
2023-04-03 04:00:00,62,624896.428427,3
2023-04-03 03:00:00,62,624896.401483,3
2023-04-03 02:00:00,62,624253.401913,3
2023-04-03 01:00:00,62,624253.382424,3
2023-04-03 00:00:00,62,624252.798417,3
2023-04-02 23:00:00,62,624241.620121,3
2023-04-02 22:00:00,62,624241.568759,3
2023-04-02 21:00:00,62,624216.308704,3
2023-04-02 20:00:00,62,624228.2054,3
2023-04-02 19:00:00,62,624222.567479,3
2023-04-02 18:00:00,62,624222.551219,3
2023-04-02 17:00:00,62,624222.387493,3
2023-04-02 16:00:00,62,624221.939977,3
2023-04-02 15:00:00,62,624219.449977,3
2023-04-02 14:00:00,62,624212.961339,3
2023-04-02 13:00:00,62,624212.38198,3
2023-04-02 12:00:00,62,624138.318878,3
2023-04-02 11:00:00,62,624138.762935,3
2023-04-02 10:00:00,62,624129.697994,3
2023-04-02 09:00:00,62,624129.261491,3
2023-04-02 08:00:00,62,624127.836003,3
2023-04-02 07:00:00,62,624119.924851,3
2023-04-02 06:00:00,62,624119.924851,3
2023-04-02 05:00:00,62,624117.472023,3
2023-04-02 04:00:00,62,624113.521895,3
2023-04-02 03:00:00,62,624109.981866,3
2023-04-02 02:00:00,62,624109.977302,3
2023-04-02 01:00:00,62,624109.971882,3
2023-04-02 00:00:00,62,624095.851882,3
2023-04-01 23:00:00,62,624095.670144,3
2023-04-01 22:00:00,62,624095.55317,3
2023-04-01 21:00:00,62,624094.721683,3
2023-04-01 20:00:00,62,624094.721683,3
2023-04-01 19:00:00,62,624093.697433,3
2023-04-01 18:00:00,62,624078.452257,3
2023-04-01 17:00:00,62,624077.758535,3
2023-04-01 16:00:00,62,624077.216482,3
2023-04-01 15:00:00,62,624076.299277,3
2023-04-01 14:00:00,62,624073.981017,3
2023-04-01 13:00:00,62,624073.981017,3
2023-04-01 12:00:00,62,624065.325581,3
2023-04-01 11:00:00,62,624063.264924,3
2023-04-01 10:00:00,62,624062.663747,3
2023-04-01 09:00:00,62,624062.646631,3
2023-04-01 08:00:00,62,624057.637553,3
2023-04-01 07:00:00,62,624052.571547,3
2023-04-01 06:00:00,62,624026.994194,3
2023-04-01 05:00:00,62,624020.474811,3
2023-04-01 04:00:00,62,624019.853861,3
2023-04-01 03:00:00,62,624019.826684,3
2023-04-01 02:00:00,62,623009.071154,3
2023-04-01 01:00:00,62,623008.661858,3
2023-04-01 00:00:00,61,622948.692508,3
2023-03-31 23:00:00,62,622948.692508,3
2023-03-31 22:00:00,62,622948.248314,3
2023-03-31 21:00:00,62,622947.503788,3
2023-03-31 20:00:00,62,622933.187296,3
2023-03-31 19:00:00,61,622932.949397,3
2023-03-31 18:00:00,61,622936.144538,3
2023-03-31 17:00:00,61,622935.341527,3
2023-03-31 16:00:00,62,622822.08444,3
2023-03-31 15:00:00,61,622993.035953,3
2023-03-31 14:00:00,61,622977.717851,3
2023-03-31 13:00:00,61,622973.70843,3
2023-03-31 12:00:00,61,622970.70456,3
2023-03-31 11:00:00,61,622975.468088,3
2023-03-31 10:00:00,61,622975.429871,3
2023-03-31 09:00:00,61,622975.257246,3
2023-03-31 08:00:00,61,622967.488118,3
2023-03-31 07:00:00,61,622964.976402,3
2023-03-31 06:00:00,61,622958.103029,3
2023-03-31 05:00:00,61,622957.934928,3
2023-03-31 04:00:00,61,622957.934928,3
2023-03-31 03:00:00,61,622957.920535,3
2023-03-31 02:00:00,61,622957.911975,3
2023-03-31 01:00:00,61,622967.932925,3
2023-03-31 00:00:00,61,622967.921523,3
2023-03-30 23:00:00,61,622967.921523,3
2023-03-30 22:00:00,61,622965.450336,3
2023-03-30 21:00:00,61,622945.381091,3
2023-03-30 20:00:00,61,622945.350306,3
2023-03-30 19:00:00,61,622941.213644,3
2023-03-30 18:00:00,61,622941.176908,3
2023-03-30 17:00:00,61,622940.753918,3
2023-03-30 16:00:00,61,622921.268811,3
2023-03-30 15:00:00,61,622927.752621,3
2023-03-30 14:00:00,61,622926.952473,3
2023-03-30 13:00:00,61,622892.275499,3
2023-03-30 12:00:00,61,622978.342276,3
2023-03-30 11:00:00,61,622978.320542,3
2023-03-30 10:00:00,61,622978.104214,3
2023-03-30 09:00:00,61,622978.000939,3
2023-03-30 08:00:00,61,622976.000939,3
2023-03-30 07:00:00,61,622975.839064,3
2023-03-30 06:00:00,61,622974.719536,3
2023-03-30 05:00:00,61,622974.719536,3
2023-03-30 04:00:00,61,623027.230517,3
2023-03-30 03:00:00,61,623027.220243,3
2023-03-30 02:00:00,61,623026.951391,3
2023-03-30 01:00:00,61,623026.951391,3
2023-03-30 00:00:00,61,623041.07726,3
2023-03-29 23:00:00,61,623019.345216,3
2023-03-29 22:00:00,61,623018.820413,3
2023-03-29 21:00:00,61,623018.758375,3
2023-03-29 20:00:00,61,623017.164897,3
2023-03-29 19:00:00,60,623015.815357,3
2023-03-29 18:00:00,60,623030.024429,3
2023-03-29 17:00:00,60,623005.354874,3
2023-03-29 16:00:00,60,623003.40037,3
2023-03-29 15:00:00,60,622961.715636,3
2023-03-29 14:00:00,60,622896.352482,3
2023-03-29 13:00:00,60,622888.844569,3
2023-03-29 12:00:00,60,622883.577568,3
2023-03-29 11:00:00,60,622883.577568,3
2023-03-29 10:00:00,60,622895.560912,3
2023-03-29 09:00:00,60,622895.560912,3
2023-03-29 08:00:00,60,622890.773036,3
2023-03-29 07:00:00,60,622899.649549,3
2023-03-29 06:00:00,60,622899.649549,3
2023-03-29 05:00:00,60,622958.250992,3
2023-03-29 04:00:00,60,622958.034503,3
2023-03-29 03:00:00,60,622874.293236,3
2023-03-29 02:00:00,60,622874.252158,3
2023-03-29 01:00:00,60,622866.995838,3
2023-03-29 00:00:00,60,622866.851126,3
2023-03-28 23:00:00,60,622866.845429,3
2023-03-28 22:00:00,60,622866.845429,3
2023-03-28 21:00:00,60,622866.839732,3
2023-03-28 20:00:00,60,622858.332431,3
2023-03-28 19:00:00,60,622857.564876,3
2023-03-28 18:00:00,60,622854.728518,3
2023-03-28 17:00:00,60,623092.546939,3
2023-03-28 16:00:00,60,623217.31884,3
2023-03-28 15:00:00,60,623227.611322,3
2023-03-28 14:00:00,60,623227.549305,3
2023-03-28 13:00:00,60,623227.545034,3
2023-03-28 12:00:00,60,623224.593178,3
2023-03-28 11:00:00,60,623224.272423,3
2023-03-28 10:00:00,60,623221.515508,3
2023-03-28 09:00:00,60,623221.498899,3
2023-03-28 08:00:00,60,623216.897826,3
2023-03-28 07:00:00,60,623216.897826,3
2023-03-28 06:00:00,60,623212.291675,3
2023-03-28 05:00:00,60,623212.228586,3
2023-03-28 04:00:00,60,622969.334512,3
2023-03-28 03:00:00,60,622968.298702,3
2023-03-28 02:00:00,60,622968.298702,3
2023-03-28 01:00:00,60,622962.223758,3
2023-03-28 00:00:00,60,622962.223758,3
2023-03-27 23:00:00,60,622962.179251,3
2023-03-27 22:00:00,60,622970.640971,3
2023-03-27 21:00:00,60,622970.605244,3
2023-03-27 20:00:00,61,615970.567536,3
2023-03-27 19:00:00,61,615970.567536,3
2023-03-27 18:00:00,61,615970.567536,3
2023-03-27 17:00:00,61,615963.718584,3
2023-03-27 16:00:00,61,615963.445105,3
2023-03-27 15:00:00,61,615963.375381,3
2023-03-27 14:00:00,61,615963.180092,3
2023-03-27 13:00:00,61,615963.170072,3
2023-03-27 12:00:00,61,615960.201436,3
2023-03-27 11:00:00,61,615960.080255,3
2023-03-27 10:00:00,61,615980.062073,3
2023-03-27 09:00:00,61,615979.277268,3
2023-03-27 08:00:00,61,615935.561905,3
2023-03-27 07:00:00,61,615916.435336,3
2023-03-27 06:00:00,61,615916.045143,3
2023-03-27 05:00:00,61,615915.907697,3
2023-03-27 04:00:00,61,615915.907697,3
2023-03-27 03:00:00,61,615915.907697,3
2023-03-27 02:00:00,61,615911.399301,3
2023-03-27 01:00:00,61,615901.35855,3
2023-03-27 00:00:00,61,615897.061783,3
2023-03-26 23:00:00,61,615897.047467,3
2023-03-26 22:00:00,61,615896.513676,3
2023-03-26 21:00:00,61,615896.479316,3
2023-03-26 20:00:00,61,616170.203914,3
2023-03-26 19:00:00,61,616170.203914,3
2023-03-26 18:00:00,61,616189.506446,3
2023-03-26 17:00:00,61,616187.1346,3
2023-03-26 16:00:00,61,616187.041718,3
2023-03-26 15:00:00,61,616235.754572,3
2023-03-26 14:00:00,61,616235.754572,3
2023-03-26 13:00:00,61,616259.87926,3
2023-03-26 12:00:00,61,616281.428975,3
2023-03-26 11:00:00,61,616281.336915,3
2023-03-26 10:00:00,61,616252.525869,3
2023-03-26 09:00:00,61,616250.63572,3
2023-03-26 08:00:00,61,616248.510313,3
2023-03-26 07:00:00,61,616248.332313,3
2023-03-26 06:00:00,61,616248.332313,3
2023-03-26 05:00:00,61,616246.831666,3
2023-03-26 04:00:00,61,616246.309614,3
2023-03-26 03:00:00,61,616247.915824,3
2023-03-26 02:00:00,61,616247.915824,3
2023-03-26 01:00:00,61,616247.915824,3
2023-03-26 00:00:00,61,616237.690257,3
2023-03-25 23:00:00,61,616237.690257,3
2023-03-25 22:00:00,61,616227.290595,3
2023-03-25 21:00:00,61,616224.990595,3
2023-03-25 20:00:00,61,616224.688543,3
2023-03-25 19:00:00,61,616211.188543,3
2023-03-25 18:00:00,61,616210.73614,3
2023-03-25 17:00:00,61,616209.604024,3
2023-03-25 16:00:00,61,616198.002874,3
2023-03-25 15:00:00,61,616197.65763,3
2023-03-25 14:00:00,61,616197.555961,3
2023-03-25 13:00:00,61,616196.602689,3
2023-03-25 12:00:00,61,616193.521009,3
2023-03-25 11:00:00,61,616193.418809,3
2023-03-25 10:00:00,61,616191.82199,3
2023-03-25 09:00:00,61,616186.814504,3
2023-03-25 08:00:00,61,616180.443356,3
2023-03-25 07:00:00,60,616180.434281,3
2023-03-25 06:00:00,60,616179.434281,3
2023-03-25 05:00:00,60,616166.742409,3
2023-03-25 04:00:00,60,616164.473951,3
2023-03-25 03:00:00,60,616164.473951,3
2023-03-25 02:00:00,60,616164.473951,3
2023-03-25 01:00:00,60,616164.463829,3
2023-03-25 00:00:00,60,616163.373261,3
2023-03-24 23:00:00,60,616198.119726,3
2023-03-24 22:00:00,60,616196.630165,3
2023-03-24 21:00:00,60,616565.065864,3
2023-03-24 20:00:00,60,616565.065864,3
2023-03-24 19:00:00,60,616564.944023,3
2023-03-24 18:00:00,60,616564.20635,3
2023-03-24 17:00:00,60,616564.20635,3
2023-03-24 16:00:00,60,616554.050188,3
2023-03-24 15:00:00,60,616553.010488,3
2023-03-24 14:00:00,60,616537.397052,3
2023-03-24 13:00:00,60,616404.548288,3
2023-03-24 12:00:00,60,616395.564014,3
2023-03-24 11:00:00,60,616392.5573,3
2023-03-24 10:00:00,60,616392.383344,3
2023-03-24 09:00:00,60,616391.079425,3
2023-03-24 08:00:00,60,616391.079425,3
2023-03-24 07:00:00,60,616381.879323,3
2023-03-24 06:00:00,60,616381.822201,3
2023-03-24 05:00:00,60,616381.795104,3
2023-03-24 04:00:00,60,616050.824795,3
2023-03-24 03:00:00,60,616050.69813,3
2023-03-24 02:00:00,60,616046.697733,3
2023-03-24 01:00:00,60,616046.651674,3
2023-03-24 00:00:00,60,616017.592142,3
2023-03-23 23:00:00,60,616006.492142,3
2023-03-23 22:00:00,60,616006.492142,3
2023-03-23 21:00:00,60,615997.963289,3
2023-03-23 20:00:00,60,615972.467916,3
2023-03-23 19:00:00,60,615890.440307,3
2023-03-23 18:00:00,60,615890.157267,3
2023-03-23 17:00:00,60,615870.044772,3
2023-03-23 16:00:00,60,615869.565738,3
2023-03-23 15:00:00,60,615848.176198,3
2023-03-23 14:00:00,60,615846.52494,3
2023-03-23 13:00:00,60,615846.320165,3
2023-03-23 12:00:00,60,615830.341117,3
2023-03-23 11:00:00,60,615826.651192,3
2023-03-23 10:00:00,60,615826.651192,3
2023-03-23 09:00:00,60,615823.635424,3
2023-03-23 08:00:00,60,615823.635424,3
2023-03-23 07:00:00,60,615893.959569,3
2023-03-23 06:00:00,60,615893.959569,3
2023-03-23 05:00:00,60,615893.459569,3
2023-03-23 04:00:00,60,615893.435178,3
2023-03-23 03:00:00,60,615893.431726,3
2023-03-23 02:00:00,60,615893.431726,3
2023-03-23 01:00:00,60,615893.37451,3
2023-03-23 00:00:00,60,615890.945396,3
2023-03-22 23:00:00,60,615890.896771,3
2023-03-22 22:00:00,60,615890.896771,3
2023-03-22 21:00:00,60,615867.290177,3
2023-03-22 20:00:00,60,615876.489976,3
2023-03-22 19:00:00,60,615876.43809,3
2023-03-22 18:00:00,60,615896.906692,3
2023-03-22 17:00:00,60,615874.390573,3
2023-03-22 16:00:00,60,615932.253346,3
2023-03-22 15:00:00,60,615852.556995,3
2023-03-22 14:00:00,60,615851.630662,3
2023-03-22 13:00:00,60,615830.658435,3
2023-03-22 12:00:00,60,614827.858157,3
2023-03-22 11:00:00,60,614777.059747,3
2023-03-22 10:00:00,60,614776.757887,3
2023-03-22 09:00:00,60,614766.200225,3
2023-03-22 08:00:00,60,614766.200225,3
2023-03-22 07:00:00,60,614763.300225,3
2023-03-22 06:00:00,60,614763.205918,3
2023-03-22 05:00:00,60,614753.459334,3
2023-03-22 04:00:00,60,614692.759334,3
2023-03-22 03:00:00,60,614682.284471,3
2023-03-22 02:00:00,60,614682.232643,3
2023-03-22 01:00:00,60,614681.653088,3
2023-03-22 00:00:00,60,614681.651937,3
2023-03-21 23:00:00,60,614681.651937,3
2023-03-21 22:00:00,60,614707.406223,3
2023-03-21 21:00:00,60,614707.511966,3
2023-03-21 20:00:00,60,614706.517187,3
2023-03-21 19:00:00,60,614706.470576,3
2023-03-21 18:00:00,60,614725.005563,3
2023-03-21 17:00:00,60,614722.58536,3
2023-03-21 16:00:00,60,614719.531647,3
2023-03-21 15:00:00,60,614719.508615,3
2023-03-21 14:00:00,60,614191.483481,3
2023-03-21 13:00:00,60,614191.393275,3
2023-03-21 12:00:00,60,614188.37545,3
