timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,65,597170.251469,7.9
2023-04-13 12:00:00,67,597169.984815,7.9
2023-04-13 00:00:00,67,597165.595967,7.9
2023-04-12 12:00:00,67,597025.432634,7.9
2023-04-12 00:00:00,67,597024.71224,7.9
2023-04-11 12:00:00,67,597024.588634,7.9
2023-04-11 08:00:00,67,597023.853238,7.9
2023-04-11 07:00:00,67,597023.853238,7.9
2023-04-11 06:00:00,67,597023.853238,7.9
2023-04-11 05:00:00,67,597023.702237,7.9
2023-04-11 04:00:00,67,597023.702237,7.9
2023-04-11 03:00:00,67,597023.702237,7.9
2023-04-11 02:00:00,67,597023.702237,7.9
2023-04-11 01:00:00,67,597023.702237,7.9
2023-04-11 00:00:00,67,597023.702237,7.9
2023-04-10 23:00:00,67,597023.702237,7.9
2023-04-10 22:00:00,67,597023.702237,7.9
2023-04-10 21:00:00,67,597023.690581,7.9
2023-04-10 20:00:00,67,597023.413058,7.9
2023-04-10 19:00:00,67,597023.413058,7.9
2023-04-10 18:00:00,67,597023.413058,7.9
2023-04-10 17:00:00,67,597023.360084,7.9
2023-04-10 16:00:00,67,597023.360029,7.9
2023-04-10 15:00:00,67,597023.359478,7.9
2023-04-10 14:00:00,67,597023.359478,7.9
2023-04-10 13:00:00,67,597023.351155,7.9
2023-04-10 12:00:00,67,597023.351155,7.9
2023-04-10 11:00:00,67,597023.351155,7.9
2023-04-10 10:00:00,67,597023.351155,7.9
2023-04-10 09:00:00,67,597023.351155,7.9
2023-04-10 08:00:00,67,597022.84838,7.9
2023-04-10 07:00:00,67,597022.845901,7.9
2023-04-10 06:00:00,67,597022.845901,7.9
2023-04-10 05:00:00,67,597022.55986,7.9
2023-04-10 04:00:00,67,597022.55986,7.9
2023-04-10 03:00:00,67,597022.55986,7.9
2023-04-10 02:00:00,67,597022.55986,7.9
2023-04-10 01:00:00,67,597022.55986,7.9
2023-04-10 00:00:00,67,597022.55986,7.9
2023-04-09 23:00:00,67,597022.55986,7.9
2023-04-09 22:00:00,67,597022.545984,7.9
2023-04-09 21:00:00,67,597021.745579,7.9
2023-04-09 20:00:00,67,597021.745579,7.9
2023-04-09 19:00:00,67,597021.73421,7.9
2023-04-09 18:00:00,67,597021.717559,7.9
2023-04-09 17:00:00,67,597021.717559,7.9
2023-04-09 16:00:00,67,597021.137559,7.9
2023-04-09 15:00:00,67,597021.137449,7.9
2023-04-09 14:00:00,67,597021.137444,7.9
2023-04-09 13:00:00,67,597021.137444,7.9
2023-04-09 12:00:00,67,597021.137444,7.9
2023-04-09 11:00:00,67,597021.112878,7.9
2023-04-09 10:00:00,67,597021.087489,7.9
2023-04-09 09:00:00,67,597021.085289,7.9
2023-04-09 08:00:00,67,597021.085289,7.9
2023-04-09 07:00:00,67,597021.081477,7.9
2023-04-09 06:00:00,67,597021.081477,7.9
2023-04-09 05:00:00,67,597021.069053,7.9
2023-04-09 04:00:00,67,597021.013252,7.9
2023-04-09 03:00:00,67,597021.013252,7.9
2023-04-09 02:00:00,67,597021.002092,7.9
2023-04-09 01:00:00,67,597021.002092,7.9
2023-04-09 00:00:00,67,597021.002092,7.9
2023-04-08 23:00:00,67,597020.999302,7.9
2023-04-08 22:00:00,67,597020.999302,7.9
2023-04-08 21:00:00,67,597020.989795,7.9
2023-04-08 20:00:00,67,597020.989795,7.9
2023-04-08 19:00:00,67,597020.956269,7.9
2023-04-08 18:00:00,67,597020.955923,7.9
2023-04-08 17:00:00,67,597020.950343,7.9
2023-04-08 16:00:00,67,597020.87718,7.9
2023-04-08 15:00:00,67,597020.442577,7.9
2023-04-08 14:00:00,67,597020.442577,7.9
2023-04-08 13:00:00,67,597019.605699,7.9
2023-04-08 12:00:00,67,597019.60012,7.9
2023-04-08 11:00:00,67,597019.583383,7.9
2023-04-08 10:00:00,67,597019.57924,7.9
2023-04-08 09:00:00,67,597019.57924,7.9
2023-04-08 08:00:00,67,597019.429038,7.9
2023-04-08 07:00:00,67,597019.069349,7.9
2023-04-08 06:00:00,67,597019.047026,7.9
2023-04-08 05:00:00,67,597019.007468,7.9
2023-04-08 04:00:00,67,597019.007468,7.9
2023-04-08 03:00:00,67,597019.007468,7.9
2023-04-08 02:00:00,67,597019.007468,7.9
2023-04-08 01:00:00,67,597019.007468,7.9
2023-04-08 00:00:00,67,597019.007468,7.9
2023-04-07 23:00:00,67,596984.394545,7.9
2023-04-07 22:00:00,67,596984.223173,7.9
2023-04-07 21:00:00,67,596984.223173,7.9
2023-04-07 20:00:00,67,596984.223173,7.9
2023-04-07 19:00:00,67,596984.223173,7.9
2023-04-07 18:00:00,67,596984.223173,7.9
2023-04-07 17:00:00,67,596984.223173,7.9
2023-04-07 16:00:00,67,596984.223173,7.9
2023-04-07 15:00:00,67,596983.894211,7.9
2023-04-07 14:00:00,67,596983.894211,7.9
2023-04-07 13:00:00,67,596983.894211,7.9
2023-04-07 12:00:00,67,596983.894211,7.9
2023-04-07 11:00:00,67,596983.894211,7.9
2023-04-07 10:00:00,67,596983.894211,7.9
2023-04-07 09:00:00,67,596983.894211,7.9
2023-04-07 08:00:00,67,596983.894211,7.9
2023-04-07 07:00:00,67,596983.894211,7.9
2023-04-07 06:00:00,67,596973.802039,7.9
2023-04-07 05:00:00,67,596973.802039,7.9
2023-04-07 04:00:00,67,596973.802039,7.9
2023-04-07 03:00:00,67,596973.802039,7.9
2023-04-07 02:00:00,67,596973.802039,7.9
2023-04-07 01:00:00,67,596973.802039,7.9
2023-04-07 00:00:00,67,596973.802039,7.9
2023-04-06 23:00:00,67,596973.802039,7.9
2023-04-06 22:00:00,67,596973.796462,7.9
2023-04-06 21:00:00,67,596973.227567,7.9
2023-04-06 20:00:00,67,596973.047259,7.9
