timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,66,595533.453416,10
2023-04-13 12:00:00,68,595533.186762,10
2023-04-13 00:00:00,68,596179.893759,10
2023-04-12 12:00:00,68,596039.883113,10
2023-04-12 00:00:00,68,596036.181977,10
2023-04-11 12:00:00,68,596036.058371,10
2023-04-11 08:00:00,68,596029.103305,10
2023-04-11 07:00:00,68,596029.103305,10
2023-04-11 06:00:00,68,596029.103305,10
2023-04-11 05:00:00,68,596028.952304,10
2023-04-11 04:00:00,68,596028.952304,10
2023-04-11 03:00:00,68,596028.952304,10
2023-04-11 02:00:00,68,596028.952304,10
2023-04-11 01:00:00,68,596028.952304,10
2023-04-11 00:00:00,68,596028.952304,10
2023-04-10 23:00:00,68,596028.800732,10
2023-04-10 22:00:00,68,596028.800732,10
2023-04-10 21:00:00,68,596028.789076,10
2023-04-10 20:00:00,68,596028.511553,10
2023-04-10 19:00:00,68,596058.511553,10
2023-04-10 18:00:00,68,596058.511553,10
2023-04-10 17:00:00,68,596058.511553,10
2023-04-10 16:00:00,68,596058.511498,10
2023-04-10 15:00:00,68,596058.510947,10
2023-04-10 14:00:00,68,596053.510947,10
2023-04-10 13:00:00,68,596053.502624,10
2023-04-10 12:00:00,68,596044.093014,10
2023-04-10 11:00:00,68,596044.093014,10
2023-04-10 10:00:00,68,596044.093014,10
2023-04-10 09:00:00,68,596044.093014,10
2023-04-10 08:00:00,68,596044.090239,10
2023-04-10 07:00:00,68,596044.08776,10
2023-04-10 06:00:00,68,596040.08776,10
2023-04-10 05:00:00,68,596040.08776,10
2023-04-10 04:00:00,68,596040.08776,10
2023-04-10 03:00:00,68,596040.08776,10
2023-04-10 02:00:00,68,596040.08776,10
2023-04-10 01:00:00,68,596040.08776,10
2023-04-10 00:00:00,68,596040.08776,10
2023-04-09 23:00:00,68,596050.08776,10
2023-04-09 22:00:00,68,596050.073884,10
2023-04-09 21:00:00,68,596049.273479,10
2023-04-09 20:00:00,68,596049.273479,10
2023-04-09 19:00:00,68,596049.26211,10
2023-04-09 18:00:00,68,596049.245459,10
2023-04-09 17:00:00,68,596049.245459,10
2023-04-09 16:00:00,68,596049.245459,10
2023-04-09 15:00:00,68,596049.245349,10
2023-04-09 14:00:00,68,596049.245344,10
2023-04-09 13:00:00,68,596049.245344,10
2023-04-09 12:00:00,68,596028.908413,10
2023-04-09 11:00:00,68,596028.883847,10
2023-04-09 10:00:00,68,596028.858458,10
2023-04-09 09:00:00,68,596028.856258,10
2023-04-09 08:00:00,68,596028.856258,10
2023-04-09 07:00:00,68,596028.852446,10
2023-04-09 06:00:00,68,596028.852446,10
2023-04-09 05:00:00,68,596028.840022,10
2023-04-09 04:00:00,68,596028.784221,10
2023-04-09 03:00:00,68,596028.784221,10
2023-04-09 02:00:00,68,596028.773061,10
2023-04-09 01:00:00,68,596028.773061,10
2023-04-09 00:00:00,68,596028.773061,10
2023-04-08 23:00:00,68,596028.770271,10
2023-04-08 22:00:00,68,596028.770271,10
2023-04-08 21:00:00,68,596028.760764,10
2023-04-08 20:00:00,68,596028.760764,10
2023-04-08 19:00:00,68,596028.727238,10
2023-04-08 18:00:00,68,596028.726892,10
2023-04-08 17:00:00,68,596028.721312,10
2023-04-08 16:00:00,68,596028.648149,10
2023-04-08 15:00:00,68,596028.263145,10
2023-04-08 14:00:00,68,596028.263145,10
2023-04-08 13:00:00,68,596027.426267,10
2023-04-08 12:00:00,68,596008.872819,10
2023-04-08 11:00:00,68,596008.856082,10
2023-04-08 10:00:00,68,596008.851939,10
2023-04-08 09:00:00,68,596008.851939,10
2023-04-08 08:00:00,68,596008.701737,10
2023-04-08 07:00:00,68,596008.342048,10
2023-04-08 06:00:00,68,596008.319725,10
2023-04-08 05:00:00,68,596008.280167,10
2023-04-08 04:00:00,68,596008.280167,10
2023-04-08 03:00:00,68,596008.280167,10
2023-04-08 02:00:00,68,596008.280167,10
2023-04-08 01:00:00,68,596008.280167,10
2023-04-08 00:00:00,68,596008.280167,10
2023-04-07 23:00:00,68,596008.280167,10
2023-04-07 22:00:00,68,596008.108795,10
2023-04-07 21:00:00,68,596008.108795,10
2023-04-07 20:00:00,68,596008.108795,10
2023-04-07 19:00:00,68,596008.108795,10
2023-04-07 18:00:00,68,596008.108795,10
2023-04-07 17:00:00,68,596008.108795,10
2023-04-07 16:00:00,68,596008.108795,10
2023-04-07 15:00:00,68,596008.108795,10
2023-04-07 14:00:00,68,596008.108795,10
2023-04-07 13:00:00,68,596008.108795,10
2023-04-07 12:00:00,68,596064.032698,10
2023-04-07 11:00:00,68,596064.032698,10
2023-04-07 10:00:00,68,596064.032698,10
2023-04-07 09:00:00,68,596064.032698,10
2023-04-07 08:00:00,68,596064.032698,10
2023-04-07 07:00:00,68,596064.032698,10
2023-04-07 06:00:00,68,596064.032698,10
2023-04-07 05:00:00,68,596064.032698,10
2023-04-07 04:00:00,68,596064.032698,10
2023-04-07 03:00:00,68,596064.01737,10
2023-04-07 02:00:00,68,596064.01737,10
2023-04-07 01:00:00,68,596064.01737,10
2023-04-07 00:00:00,68,596064.01737,10
2023-04-06 23:00:00,68,596064.01737,10
2023-04-06 22:00:00,68,596064.011793,10
2023-04-06 21:00:00,68,596063.442898,10
2023-04-06 20:00:00,68,596063.26259,10
2023-04-06 19:00:00,67,596063.26259,10
2023-04-06 18:00:00,67,596063.26259,10
2023-04-06 17:00:00,67,596062.326604,10
2023-04-06 16:00:00,67,596062.114258,10
2023-04-06 15:00:00,67,596062.086056,10
2023-04-06 14:00:00,67,596062.086056,10
2023-04-06 13:00:00,67,596047.086056,10
2023-04-06 12:00:00,67,596043.754512,10
2023-04-06 11:00:00,67,596043.754512,10
2023-04-06 10:00:00,67,596043.748722,10
2023-04-06 09:00:00,67,596043.73225,10
2023-04-06 08:00:00,67,596043.719842,10
2023-04-06 07:00:00,67,596043.719842,10
2023-04-06 06:00:00,67,596043.578833,10
2023-04-06 05:00:00,67,596043.49605,10
2023-04-06 04:00:00,67,596043.49605,10
2023-04-06 03:00:00,67,596043.49605,10
2023-04-06 02:00:00,67,596043.49605,10
2023-04-06 01:00:00,67,596043.49605,10
2023-04-06 00:00:00,67,596043.49605,10
2023-04-05 23:00:00,67,596043.49605,10
2023-04-05 22:00:00,67,596043.49605,10
2023-04-05 21:00:00,67,596043.49605,10
2023-04-05 20:00:00,67,596043.49605,10
2023-04-05 19:00:00,67,596043.49605,10
2023-04-05 18:00:00,67,596043.49605,10
2023-04-05 17:00:00,67,596043.49605,10
2023-04-05 16:00:00,67,596043.49605,10
2023-04-05 15:00:00,67,596043.49605,10
2023-04-05 14:00:00,67,596043.49605,10
2023-04-05 13:00:00,67,596043.49605,10
2023-04-05 12:00:00,67,596039.830843,10
2023-04-05 11:00:00,67,596039.69369,10
2023-04-05 10:00:00,67,596039.69369,10
2023-04-05 09:00:00,67,596039.69369,10
2023-04-05 08:00:00,67,596039.69369,10
2023-04-05 07:00:00,67,596039.69369,10
2023-04-05 06:00:00,67,596039.69369,10
2023-04-05 05:00:00,67,596039.69369,10
2023-04-05 04:00:00,67,596039.69369,10
2023-04-05 03:00:00,67,596039.69369,10
2023-04-05 02:00:00,67,596039.69369,10
2023-04-05 01:00:00,67,596039.69369,10
2023-04-05 00:00:00,67,596039.69369,10
2023-04-04 23:00:00,67,596039.69369,10
2023-04-04 22:00:00,67,596039.676769,10
2023-04-04 21:00:00,67,596039.676769,10
2023-04-04 20:00:00,67,596039.676769,10
2023-04-04 19:00:00,67,596039.676769,10
2023-04-04 18:00:00,67,596039.676769,10
2023-04-04 17:00:00,67,596039.676769,10
2023-04-04 16:00:00,66,596039.642919,10
2023-04-04 15:00:00,66,596039.642919,10
2023-04-04 14:00:00,66,596039.630332,10
2023-04-04 13:00:00,66,596039.630332,10
2023-04-04 12:00:00,66,596034.577397,10
2023-04-04 11:00:00,66,596034.57594,10
2023-04-04 10:00:00,66,596034.539383,10
2023-04-04 09:00:00,66,596034.501979,10
2023-04-04 08:00:00,66,596034.358375,10
2023-04-04 07:00:00,66,596034.358375,10
2023-04-04 06:00:00,66,596034.301641,10
2023-04-04 05:00:00,66,596034.248791,10
2023-04-04 04:00:00,66,596034.248791,10
2023-04-04 03:00:00,66,596034.248791,10
2023-04-04 02:00:00,66,596034.224453,10
2023-04-04 01:00:00,66,596034.224453,10
2023-04-04 00:00:00,66,596034.017034,10
2023-04-03 23:00:00,66,596034.017034,10
2023-04-03 22:00:00,66,596033.960623,10
2023-04-03 21:00:00,66,596033.960623,10
2023-04-03 20:00:00,66,596033.937793,10
2023-04-03 19:00:00,66,596033.937793,10
2023-04-03 18:00:00,66,596033.937793,10
2023-04-03 17:00:00,66,596033.937793,10
2023-04-03 16:00:00,67,582556.915942,10
2023-04-03 15:00:00,67,582555.37259,10
2023-04-03 14:00:00,67,582555.344053,10
2023-04-03 13:00:00,67,582555.254663,10
2023-04-03 12:00:00,67,582541.271106,10
2023-04-03 11:00:00,67,582541.265399,10
2023-04-03 10:00:00,67,582540.888735,10
2023-04-03 09:00:00,67,582540.8602,10
2023-04-03 08:00:00,67,582540.8602,10
2023-04-03 07:00:00,67,582540.848786,10
2023-04-03 06:00:00,67,582540.848786,10
2023-04-03 05:00:00,67,582540.811229,10
2023-04-03 04:00:00,67,582540.724873,10
2023-04-03 03:00:00,67,582540.697929,10
2023-04-03 02:00:00,67,582540.697929,10
2023-04-03 01:00:00,67,582540.67844,10
2023-04-03 00:00:00,67,582540.655883,10
2023-04-02 23:00:00,67,582540.655883,10
2023-04-02 22:00:00,67,582540.604521,10
2023-04-02 21:00:00,67,582540.591978,10
2023-04-02 20:00:00,67,582540.509361,10
2023-04-02 19:00:00,67,582540.021439,10
2023-04-02 18:00:00,67,582540.016759,10
2023-04-02 17:00:00,67,582539.861122,10
2023-04-02 16:00:00,67,582539.74863,10
2023-04-02 15:00:00,67,582539.74863,10
2023-04-02 14:00:00,67,582539.731511,10
2023-04-02 13:00:00,67,582539.731043,10
2023-04-02 12:00:00,67,582485.121941,10
2023-04-02 11:00:00,67,582485.120002,10
2023-04-02 10:00:00,67,582485.120002,10
2023-04-02 09:00:00,67,582485.111864,10
2023-04-02 08:00:00,67,582484.605579,10
2023-04-02 07:00:00,67,582484.56742,10
2023-04-02 06:00:00,67,582484.56742,10
2023-04-02 05:00:00,67,582484.564821,10
2023-04-02 04:00:00,67,582484.550556,10
2023-04-02 03:00:00,67,582484.410526,10
2023-04-02 02:00:00,67,582484.405962,10
2023-04-02 01:00:00,67,582484.400542,10
2023-04-02 00:00:00,67,582484.400542,10
2023-04-01 23:00:00,67,582484.218804,10
2023-04-01 22:00:00,67,582484.10183,10
2023-04-01 21:00:00,67,582484.070343,10
2023-04-01 20:00:00,67,582484.070343,10
2023-04-01 19:00:00,67,582484.046093,10
2023-04-01 18:00:00,67,582483.986199,10
2023-04-01 17:00:00,67,582483.986199,10
2023-04-01 16:00:00,67,582483.800756,10
2023-04-01 15:00:00,67,582483.793952,10
2023-04-01 14:00:00,67,582483.235728,10
2023-04-01 13:00:00,67,582483.235728,10
2023-04-01 12:00:00,67,582480.295034,10
2023-04-01 11:00:00,67,582480.259323,10
2023-04-01 10:00:00,67,582480.086599,10
2023-04-01 09:00:00,67,582480.069483,10
2023-04-01 08:00:00,67,582480.060405,10
2023-04-01 07:00:00,67,582480.060405,10
2023-04-01 06:00:00,67,582476.042719,10
