timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,6,8548006.581369,6
2023-04-13 12:00:00,6,8541035.578063,6
2023-04-13 00:00:00,6,8534993.661047,6
2023-04-12 12:00:00,6,8522768.414143,6
2023-04-12 00:00:00,6,8520082.928384,6
2023-04-11 12:00:00,6,8508383.667562,6
2023-04-11 08:00:00,6,8507775.693576,6
2023-04-11 07:00:00,6,8507775.693576,6
2023-04-11 06:00:00,6,8506991.234873,6
2023-04-11 05:00:00,6,8506737.086226,6
2023-04-11 04:00:00,6,8506558.263647,6
2023-04-11 03:00:00,6,8506094.597244,6
2023-04-11 02:00:00,6,8505207.987407,6
2023-04-11 01:00:00,6,8505829.865037,6
2023-04-11 00:00:00,6,8507364.430613,6
2023-04-10 23:00:00,6,8506502.192275,6
2023-04-10 22:00:00,6,8506462.58498,6
2023-04-10 21:00:00,6,8505901.326902,6
2023-04-10 20:00:00,6,8505922.387412,6
2023-04-10 19:00:00,6,8506701.757344,6
2023-04-10 18:00:00,6,8503942.9618,6
2023-04-10 17:00:00,6,8503209.905583,6
2023-04-10 16:00:00,6,8503438.511727,6
2023-04-10 15:00:00,6,8502712.835475,6
2023-04-10 14:00:00,6,8502475.917326,6
2023-04-10 13:00:00,6,8502480.521245,6
2023-04-10 12:00:00,6,8498336.125832,6
2023-04-10 11:00:00,6,8498310.649229,6
2023-04-10 10:00:00,6,8498230.564782,6
2023-04-10 09:00:00,6,8498233.200616,6
2023-04-10 08:00:00,6,8497676.018511,6
2023-04-10 07:00:00,6,8497495.980906,6
2023-04-10 06:00:00,6,8497278.739676,6
2023-04-10 05:00:00,6,8497053.904098,6
2023-04-10 04:00:00,6,8496930.333754,6
2023-04-10 03:00:00,6,8496009.344145,6
2023-04-10 02:00:00,6,8490788.612805,6
2023-04-10 01:00:00,6,8490959.06457,6
2023-04-10 00:00:00,6,8490562.19865,6
2023-04-09 23:00:00,6,8490353.040189,6
2023-04-09 22:00:00,6,8484381.43317,6
2023-04-09 21:00:00,6,8483707.554517,6
2023-04-09 20:00:00,6,8483604.04355,6
2023-04-09 19:00:00,6,8482877.250353,6
2023-04-09 18:00:00,6,8481315.805669,6
2023-04-09 17:00:00,6,8481095.612415,6
2023-04-09 16:00:00,6,8480795.763693,6
2023-04-09 15:00:00,6,8480089.198806,6
2023-04-09 14:00:00,6,8479190.423889,6
2023-04-09 13:00:00,6,8478387.617586,6
2023-04-09 12:00:00,6,8478074.475995,6
2023-04-09 11:00:00,6,8477940.001998,6
2023-04-09 10:00:00,6,8477747.007944,6
2023-04-09 09:00:00,6,8478214.298158,6
2023-04-09 08:00:00,6,8478101.033741,6
2023-04-09 07:00:00,6,8477753.54947,6
2023-04-09 06:00:00,6,8477378.913505,6
2023-04-09 05:00:00,6,8477313.638808,6
2023-04-09 04:00:00,6,8477068.212177,6
2023-04-09 03:00:00,6,8476380.548884,6
2023-04-09 02:00:00,6,8476001.239014,6
2023-04-09 01:00:00,6,8475603.168706,6
2023-04-09 00:00:00,6,8475090.491125,6
2023-04-08 23:00:00,6,8474181.609116,6
2023-04-08 22:00:00,6,8473891.545228,6
2023-04-08 21:00:00,6,8473537.354828,6
2023-04-08 20:00:00,6,8473219.590516,6
2023-04-08 19:00:00,6,8472650.583278,6
2023-04-08 18:00:00,6,8471420.979377,6
2023-04-08 17:00:00,6,8470573.444105,6
2023-04-08 16:00:00,6,8468940.581348,6
2023-04-08 15:00:00,6,8468442.231677,6
2023-04-08 14:00:00,6,8470435.232176,6
2023-04-08 13:00:00,6,8468904.625769,6
2023-04-08 12:00:00,6,8468129.458935,6
2023-04-08 11:00:00,6,8467691.016843,6
2023-04-08 10:00:00,6,8463565.104474,6
2023-04-08 09:00:00,6,8458490.553711,6
2023-04-08 08:00:00,6,8458428.07941,6
2023-04-08 07:00:00,6,8458211.427327,6
2023-04-08 06:00:00,6,8457951.441998,6
2023-04-08 05:00:00,6,8457729.667017,6
2023-04-08 04:00:00,6,8457517.212685,6
2023-04-08 03:00:00,6,8457065.970202,6
2023-04-08 02:00:00,6,8457956.975542,6
2023-04-08 01:00:00,6,8457465.966055,6
2023-04-08 00:00:00,6,8456191.562245,6
2023-04-07 23:00:00,6,8454622.030249,6
2023-04-07 22:00:00,6,8454819.430488,6
2023-04-07 21:00:00,6,8454989.021229,6
2023-04-07 20:00:00,6,8454498.28502,6
2023-04-07 19:00:00,6,8453577.772868,6
2023-04-07 18:00:00,6,8454119.757441,6
2023-04-07 17:00:00,6,8453871.523653,6
2023-04-07 16:00:00,6,8449282.055537,6
2023-04-07 15:00:00,6,8449064.784306,6
2023-04-07 14:00:00,6,8447307.491007,6
2023-04-07 13:00:00,6,8447823.212344,6
2023-04-07 12:00:00,6,8447347.521766,6
2023-04-07 11:00:00,6,8447255.358353,6
2023-04-07 10:00:00,6,8445752.483865,6
2023-04-07 09:00:00,6,8445087.152157,6
2023-04-07 08:00:00,6,8444575.04318,6
2023-04-07 07:00:00,6,8444235.439382,6
2023-04-07 06:00:00,6,8443028.6705,6
2023-04-07 05:00:00,6,8440224.914326,6
2023-04-07 04:00:00,6,8439572.422522,6
2023-04-07 03:00:00,6,8439830.129341,6
2023-04-07 02:00:00,6,8439470.392749,6
2023-04-07 01:00:00,6,8439040.830726,6
2023-04-07 00:00:00,6,8438715.823866,6
2023-04-06 23:00:00,6,8437805.949428,6
2023-04-06 22:00:00,6,8437429.24804,6
2023-04-06 21:00:00,6,8436737.16602,6
2023-04-06 20:00:00,6,8434285.617051,6
2023-04-06 19:00:00,6,8433435.721067,6
2023-04-06 18:00:00,6,8432807.075453,6
2023-04-06 17:00:00,6,8432585.571259,6
2023-04-06 16:00:00,6,8444593.498564,6
2023-04-06 15:00:00,6,8444548.188028,6
2023-04-06 14:00:00,6,8443979.05628,6
2023-04-06 13:00:00,6,8444155.925511,6
2023-04-06 12:00:00,6,8444151.013333,6
2023-04-06 11:00:00,6,8445306.127972,6
2023-04-06 10:00:00,6,8445231.381473,6
2023-04-06 09:00:00,6,8444993.611498,6
2023-04-06 08:00:00,6,8444569.325757,6
2023-04-06 07:00:00,6,8444299.604546,6
2023-04-06 06:00:00,6,8443740.014678,6
2023-04-06 05:00:00,6,8443631.434256,6
2023-04-06 04:00:00,6,8443147.949816,6
2023-04-06 03:00:00,6,8440077.091572,6
2023-04-06 02:00:00,6,8439892.390225,6
2023-04-06 01:00:00,6,8439587.234409,6
2023-04-06 00:00:00,6,8438206.972547,6
2023-04-05 23:00:00,6,8437899.271707,6
