timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,70,562036.289578,5
2023-04-13 12:00:00,72,560607.524166,5
2023-04-13 00:00:00,72,559186.632551,5
2023-04-12 12:00:00,72,558059.072725,5
2023-04-12 00:00:00,72,557896.292796,5
2023-04-11 12:00:00,72,556938.962598,5
2023-04-11 08:00:00,72,556571.404446,5
2023-04-11 07:00:00,72,556571.404446,5
2023-04-11 06:00:00,72,556289.411136,5
2023-04-11 05:00:00,72,556274.885317,5
2023-04-11 04:00:00,72,556270.982941,5
2023-04-11 03:00:00,72,556265.842304,5
2023-04-11 02:00:00,72,556263.249994,5
2023-04-11 01:00:00,72,556185.672777,5
2023-04-11 00:00:00,72,556168.242645,5
2023-04-10 23:00:00,72,556161.58941,5
2023-04-10 22:00:00,72,556158.300121,5
2023-04-10 21:00:00,72,556154.434537,5
2023-04-10 20:00:00,72,556009.900668,5
2023-04-10 19:00:00,72,555957.146019,5
2023-04-10 18:00:00,72,555815.989906,5
2023-04-10 17:00:00,72,555797.035342,5
2023-04-10 16:00:00,72,555787.272639,5
2023-04-10 15:00:00,72,555755.905587,5
2023-04-10 14:00:00,72,555751.933097,5
2023-04-10 13:00:00,72,555764.096192,5
2023-04-10 12:00:00,72,555755.248222,5
2023-04-10 11:00:00,72,555738.638472,5
2023-04-10 10:00:00,72,555834.079337,5
2023-04-10 09:00:00,72,555818.387548,5
2023-04-10 08:00:00,72,555870.651648,5
2023-04-10 07:00:00,72,555828.280771,5
2023-04-10 06:00:00,72,555828.280771,5
2023-04-10 05:00:00,72,555817.52735,5
2023-04-10 04:00:00,72,555810.367625,5
2023-04-10 03:00:00,72,555801.870737,5
2023-04-10 02:00:00,72,555830.589238,5
2023-04-10 01:00:00,72,555812.055241,5
2023-04-10 00:00:00,72,555724.043491,5
2023-04-09 23:00:00,72,555694.129117,5
2023-04-09 22:00:00,72,555676.423805,5
2023-04-09 21:00:00,72,555671.661449,5
2023-04-09 20:00:00,72,555655.883575,5
2023-04-09 19:00:00,72,555581.456405,5
2023-04-09 18:00:00,72,555570.81029,5
2023-04-09 17:00:00,72,555556.111616,5
2023-04-09 16:00:00,72,555530.286607,5
2023-04-09 15:00:00,72,555568.884352,5
2023-04-09 14:00:00,72,555522.269603,5
2023-04-09 13:00:00,72,555455.42804,5
2023-04-09 12:00:00,72,555408.609806,5
2023-04-09 11:00:00,72,555364.165557,5
2023-04-09 10:00:00,72,555338.493442,5
2023-04-09 09:00:00,72,555334.048458,5
2023-04-09 08:00:00,72,555317.273889,5
2023-04-09 07:00:00,72,555374.35185,5
2023-04-09 06:00:00,72,555216.946249,5
2023-04-09 05:00:00,72,555211.331607,5
2023-04-09 04:00:00,72,555201.151114,5
2023-04-09 03:00:00,72,555190.298476,5
2023-04-09 02:00:00,72,555177.382953,5
2023-04-09 01:00:00,72,554968.165486,5
2023-04-09 00:00:00,72,554579.339907,5
2023-04-08 23:00:00,72,554582.807832,5
2023-04-08 22:00:00,72,554488.72743,5
2023-04-08 21:00:00,72,554483.438249,5
2023-04-08 20:00:00,72,554471.015322,5
2023-04-08 19:00:00,72,554363.703243,5
2023-04-08 18:00:00,72,554323.308619,5
2023-04-08 17:00:00,72,554306.949207,5
2023-04-08 16:00:00,72,554298.445726,5
2023-04-08 15:00:00,72,554273.269072,5
2023-04-08 14:00:00,72,554260.409459,5
2023-04-08 13:00:00,72,553946.310188,5
2023-04-08 12:00:00,72,553916.886039,5
2023-04-08 11:00:00,71,568446.594388,5
2023-04-08 10:00:00,71,568435.74673,5
2023-04-08 09:00:00,71,568433.75673,5
2023-04-08 08:00:00,71,568611.335328,5
2023-04-08 07:00:00,71,568576.512943,5
2023-04-08 06:00:00,71,568574.197451,5
2023-04-08 05:00:00,71,568572.65927,5
2023-04-08 04:00:00,71,568569.801039,5
2023-04-08 03:00:00,71,568570.302249,5
2023-04-08 02:00:00,71,568570.143238,5
2023-04-08 01:00:00,71,568616.960213,5
2023-04-08 00:00:00,71,567589.153807,5
2023-04-07 23:00:00,71,567600.762534,5
2023-04-07 22:00:00,71,567599.116959,5
2023-04-07 21:00:00,71,567645.383414,5
2023-04-07 20:00:00,71,567645.093488,5
2023-04-07 19:00:00,71,567590.792337,5
2023-04-07 18:00:00,71,568494.305345,5
2023-04-07 17:00:00,71,568509.87267,5
2023-04-07 16:00:00,71,568499.582011,5
2023-04-07 15:00:00,71,568489.582011,5
2023-04-07 14:00:00,71,568687.88848,5
2023-04-07 13:00:00,71,568676.648829,5
2023-04-07 12:00:00,71,568689.994387,5
2023-04-07 11:00:00,71,568682.560401,5
2023-04-07 10:00:00,71,568679.602175,5
2023-04-07 09:00:00,71,568690.344675,5
2023-04-07 08:00:00,71,568769.644004,5
2023-04-07 07:00:00,71,568753.731944,5
2023-04-07 06:00:00,71,568751.814579,5
2023-04-07 05:00:00,71,568751.189579,5
2023-04-07 04:00:00,71,568745.765139,5
2023-04-07 03:00:00,71,568867.465289,5
2023-04-07 02:00:00,71,568814.653421,5
2023-04-07 01:00:00,71,568696.207386,5
2023-04-07 00:00:00,71,568702.039605,5
2023-04-06 23:00:00,71,568701.896586,5
2023-04-06 22:00:00,71,568716.415873,5
2023-04-06 21:00:00,71,568702.421717,5
2023-04-06 20:00:00,71,568714.522893,5
2023-04-06 19:00:00,76,474321.802077,5
2023-04-06 18:00:00,76,474296.69059,5
2023-04-06 17:00:00,76,474367.130129,5
2023-04-06 16:00:00,76,474348.158457,5
2023-04-06 15:00:00,76,474105.315112,5
2023-04-06 14:00:00,76,474130.032737,5
2023-04-06 13:00:00,76,473720.346298,5
2023-04-06 12:00:00,76,473712.941086,5
2023-04-06 11:00:00,76,473715.410555,5
2023-04-06 10:00:00,76,473682.594765,5
2023-04-06 09:00:00,76,473652.378293,5
2023-04-06 08:00:00,76,473652.604437,5
2023-04-06 07:00:00,76,473496.818691,5
2023-04-06 06:00:00,76,473473.081167,5
2023-04-06 05:00:00,76,473442.576299,5
2023-04-06 04:00:00,76,473435.676011,5
2023-04-06 03:00:00,76,473428.835732,5
