timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,72,549188.888242,1
2023-04-13 12:00:00,74,547547.869484,1
2023-04-13 00:00:00,74,546762.140558,1
2023-04-12 12:00:00,74,544587.200844,1
2023-04-12 00:00:00,74,544106.250139,1
2023-04-11 12:00:00,74,542073.129506,1
2023-04-11 08:00:00,74,542097.072899,1
2023-04-11 07:00:00,74,542097.072899,1
2023-04-11 06:00:00,74,542049.6381,1
2023-04-11 05:00:00,74,543019.426751,1
2023-04-11 04:00:00,74,543014.792125,1
2023-04-11 03:00:00,74,543014.681987,1
2023-04-11 02:00:00,74,542893.034087,1
2023-04-11 01:00:00,74,542826.962235,1
2023-04-11 00:00:00,74,542823.503074,1
2023-04-10 23:00:00,74,542821.093074,1
2023-04-10 22:00:00,74,542804.820677,1
2023-04-10 21:00:00,74,542783.790815,1
2023-04-10 20:00:00,74,542763.513292,1
2023-04-10 19:00:00,74,542760.224635,1
2023-04-10 18:00:00,74,542672.28958,1
2023-04-10 17:00:00,74,542610.525317,1
2023-04-10 16:00:00,74,542588.037058,1
2023-04-10 15:00:00,74,542586.03897,1
2023-04-10 14:00:00,74,542562.766773,1
2023-04-10 13:00:00,74,542511.590271,1
2023-04-10 12:00:00,74,542493.758891,1
2023-04-10 11:00:00,74,542506.705961,1
2023-04-10 10:00:00,74,542506.705961,1
2023-04-10 09:00:00,74,542505.005961,1
2023-04-10 08:00:00,74,542289.268779,1
2023-04-10 07:00:00,74,542323.693302,1
2023-04-10 06:00:00,74,542323.693302,1
2023-04-10 05:00:00,74,542332.981561,1
2023-04-10 04:00:00,74,542233.988268,1
2023-04-10 03:00:00,74,542149.492628,1
2023-04-10 02:00:00,74,542149.318037,1
2023-04-10 01:00:00,74,542133.613563,1
2023-04-10 00:00:00,74,542046.958263,1
2023-04-09 23:00:00,74,542016.67893,1
2023-04-09 22:00:00,74,541996.774183,1
2023-04-09 21:00:00,74,541961.561038,1
2023-04-09 20:00:00,74,541923.93577,1
2023-04-09 19:00:00,74,541885.810492,1
2023-04-09 18:00:00,74,541883.731298,1
2023-04-09 17:00:00,74,541880.204668,1
2023-04-09 16:00:00,74,541280.204668,1
2023-04-09 15:00:00,74,541275.904134,1
2023-04-09 14:00:00,74,541254.328626,1
2023-04-09 13:00:00,74,541234.755174,1
2023-04-09 12:00:00,74,541201.674065,1
2023-04-09 11:00:00,74,541217.130623,1
2023-04-09 10:00:00,74,541215.605234,1
2023-04-09 09:00:00,74,541210.64938,1
2023-04-09 08:00:00,74,541210.427729,1
2023-04-09 07:00:00,74,541273.885024,1
2023-04-09 06:00:00,74,541275.860515,1
2023-04-09 05:00:00,74,541274.348091,1
2023-04-09 04:00:00,74,541274.29229,1
2023-04-09 03:00:00,74,541274.29229,1
2023-04-09 02:00:00,74,541264.592935,1
2023-04-09 01:00:00,74,541261.471471,1
2023-04-09 00:00:00,74,540976.511565,1
2023-04-08 23:00:00,74,540961.36651,1
2023-04-08 22:00:00,74,540950.333172,1
2023-04-08 21:00:00,74,540943.361218,1
2023-04-08 20:00:00,74,540843.361218,1
2023-04-08 19:00:00,74,540823.551423,1
2023-04-08 18:00:00,74,540948.603063,1
2023-04-08 17:00:00,74,540944.036437,1
2023-04-08 16:00:00,74,540941.680675,1
2023-04-08 15:00:00,74,540913.995671,1
2023-04-08 14:00:00,74,540922.251987,1
2023-04-08 13:00:00,74,540913.388396,1
2023-04-08 12:00:00,74,540871.457352,1
2023-04-08 11:00:00,74,540830.916345,1
2023-04-08 10:00:00,74,540954.803897,1
2023-04-08 09:00:00,74,540951.626022,1
2023-04-08 08:00:00,74,540889.625254,1
2023-04-08 07:00:00,74,540876.895472,1
2023-04-08 06:00:00,74,540738.968504,1
2023-04-08 05:00:00,74,540735.879396,1
2023-04-08 04:00:00,74,540698.879396,1
2023-04-08 03:00:00,74,540627.975806,1
2023-04-08 02:00:00,74,540126.600736,1
2023-04-08 01:00:00,74,539823.500736,1
2023-04-08 00:00:00,74,538571.749321,1
2023-04-07 23:00:00,74,538570.724108,1
2023-04-07 22:00:00,74,538490.450284,1
2023-04-07 21:00:00,74,538401.003734,1
2023-04-07 20:00:00,74,538397.473351,1
2023-04-07 19:00:00,74,538363.443498,1
2023-04-07 18:00:00,74,539136.080685,1
2023-04-07 17:00:00,74,539125.479276,1
2023-04-07 16:00:00,74,539071.79672,1
2023-04-07 15:00:00,74,539004.99341,1
2023-04-07 14:00:00,74,539003.858687,1
2023-04-07 13:00:00,74,539022.111672,1
2023-04-07 12:00:00,74,539027.436381,1
2023-04-07 11:00:00,74,538987.436381,1
2023-04-07 10:00:00,74,538975.775509,1
2023-04-07 09:00:00,74,538974.775509,1
2023-04-07 08:00:00,74,538971.898972,1
2023-04-07 07:00:00,74,538980.157012,1
2023-04-07 06:00:00,74,538966.859512,1
2023-04-07 05:00:00,74,538957.270068,1
2023-04-07 04:00:00,74,538950.770068,1
2023-04-07 03:00:00,74,538825.516449,1
2023-04-07 02:00:00,74,538812.350879,1
2023-04-07 01:00:00,74,538773.156387,1
2023-04-07 00:00:00,74,538762.09935,1
2023-04-06 23:00:00,74,538761.675396,1
2023-04-06 22:00:00,74,538745.138971,1
2023-04-06 21:00:00,74,538347.066364,1
2023-04-06 20:00:00,74,538041.743473,1
2023-04-06 19:00:00,88,389784.829548,1
2023-04-06 18:00:00,88,389784.242592,1
2023-04-06 17:00:00,88,389832.097624,1
2023-04-06 16:00:00,88,389831.885278,1
2023-04-06 15:00:00,88,389819.996489,1
2023-04-06 14:00:00,88,389817.966735,1
2023-04-06 13:00:00,88,389487.268469,1
2023-04-06 12:00:00,88,389461.13608,1
2023-04-06 11:00:00,88,389457.606575,1
2023-04-06 10:00:00,88,389453.999785,1
2023-04-06 09:00:00,88,389355.891394,1
2023-04-06 08:00:00,88,389355.102897,1
2023-04-06 07:00:00,88,389217.666858,1
2023-04-06 06:00:00,88,389217.38527,1
2023-04-06 05:00:00,88,389215.429123,1
2023-04-06 04:00:00,88,389423.348161,1
2023-04-06 03:00:00,88,389402.434622,1
2023-04-06 02:00:00,88,389397.743139,1
2023-04-06 01:00:00,88,389392.301551,1
2023-04-06 00:00:00,88,388891.008993,1
2023-04-05 23:00:00,88,388890.407172,1
2023-04-05 22:00:00,88,388870.223303,1
2023-04-05 21:00:00,88,388868.654619,1
2023-04-05 20:00:00,88,388858.826839,1
2023-04-05 19:00:00,88,388858.826839,1
2023-04-05 18:00:00,88,388819.872805,1
2023-04-05 17:00:00,88,388822.056177,1
2023-04-05 16:00:00,88,389321.256177,1
2023-04-05 15:00:00,88,389316.810864,1
2023-04-05 14:00:00,88,389313.774718,1
2023-04-05 13:00:00,88,388866.249437,1
2023-04-05 12:00:00,88,388859.296599,1
2023-04-05 11:00:00,88,388828.501976,1
2023-04-05 10:00:00,88,388833.292092,1
2023-04-05 09:00:00,88,388833.292092,1
2023-04-05 08:00:00,88,388796.865759,1
2023-04-05 07:00:00,88,388581.306115,1
2023-04-05 06:00:00,88,388577.556115,1
2023-04-05 05:00:00,88,388577.25645,1
2023-04-05 04:00:00,88,388577.2529,1
2023-04-05 03:00:00,88,388577.04855,1
2023-04-05 02:00:00,88,388565.733168,1
2023-04-05 01:00:00,88,388115.757875,1
2023-04-05 00:00:00,88,388087.609875,1
2023-04-04 23:00:00,88,388074.194591,1
2023-04-04 22:00:00,88,388050.009998,1
2023-04-04 21:00:00,88,388046.889604,1
2023-04-04 20:00:00,88,388046.889604,1
2023-04-04 19:00:00,88,388000.054852,1
2023-04-04 18:00:00,88,389133.647263,1
2023-04-04 17:00:00,87,389133.052469,1
2023-04-04 16:00:00,86,389131.998055,1
2023-04-04 15:00:00,86,389131.817968,1
2023-04-04 14:00:00,86,389131.077387,1
2023-04-04 13:00:00,86,389131.077387,1
2023-04-04 12:00:00,86,389096.890252,1
2023-04-04 11:00:00,86,389096.403,1
2023-04-04 10:00:00,86,389062.246583,1
2023-04-04 09:00:00,86,389055.548734,1
2023-04-04 08:00:00,86,389053.153957,1
2023-04-04 07:00:00,86,389053.153957,1
2023-04-04 06:00:00,86,388886.402942,1
2023-04-04 05:00:00,86,388877.998663,1
2023-04-04 04:00:00,86,388868.379738,1
2023-04-04 03:00:00,86,388868.180786,1
2023-04-04 02:00:00,86,388836.533742,1
2023-04-04 01:00:00,86,388711.36321,1
2023-04-04 00:00:00,86,388708.13176,1
2023-04-03 23:00:00,86,388688.433489,1
2023-04-03 22:00:00,86,388688.377078,1
2023-04-03 21:00:00,86,388688.374738,1
2023-04-03 20:00:00,86,388673.293384,1
