timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,73,547706.208789,10
2023-04-13 12:00:00,73,547704.865451,10
2023-04-13 00:00:00,73,547704.783445,10
2023-04-12 12:00:00,73,547564.674112,10
2023-04-12 00:00:00,73,547546.553689,10
2023-04-11 12:00:00,73,547635.886853,10
2023-04-11 08:00:00,73,547634.881654,10
2023-04-11 07:00:00,73,547634.881654,10
2023-04-11 06:00:00,73,547634.881654,10
2023-04-11 05:00:00,73,547634.730647,10
2023-04-11 04:00:00,73,547634.730647,10
2023-04-11 03:00:00,73,547634.730647,10
2023-04-11 02:00:00,73,547634.730647,10
2023-04-11 01:00:00,73,547634.730647,10
2023-04-11 00:00:00,73,547634.730647,10
2023-04-10 23:00:00,73,547634.730647,10
2023-04-10 22:00:00,73,547634.730647,10
2023-04-10 21:00:00,73,547634.718991,10
2023-04-10 20:00:00,73,547634.441457,10
2023-04-10 19:00:00,73,547634.441457,10
2023-04-10 18:00:00,73,547634.441457,10
2023-04-10 17:00:00,73,547634.4384,10
2023-04-10 16:00:00,73,547634.438345,10
2023-04-10 15:00:00,73,547634.437794,10
2023-04-10 14:00:00,73,547629.2511,10
2023-04-10 13:00:00,73,547629.242777,10
2023-04-10 12:00:00,73,547629.242777,10
2023-04-10 11:00:00,73,547629.242777,10
2023-04-10 10:00:00,73,547629.242777,10
2023-04-10 09:00:00,73,547629.242777,10
2023-04-10 08:00:00,73,547629.240002,10
2023-04-10 07:00:00,73,547629.224081,10
2023-04-10 06:00:00,73,547629.224081,10
2023-04-10 05:00:00,73,547629.224081,10
2023-04-10 04:00:00,73,547629.224081,10
2023-04-10 03:00:00,73,547629.463051,10
2023-04-10 02:00:00,73,547629.463051,10
2023-04-10 01:00:00,73,547629.463051,10
2023-04-10 00:00:00,73,547629.463051,10
2023-04-09 23:00:00,73,547629.463051,10
2023-04-09 22:00:00,73,547629.449175,10
2023-04-09 21:00:00,73,547628.648739,10
2023-04-09 20:00:00,73,547622.578739,10
2023-04-09 19:00:00,73,547622.56737,10
2023-04-09 18:00:00,73,547622.550719,10
2023-04-09 17:00:00,73,547622.547728,10
2023-04-09 16:00:00,73,547622.547728,10
2023-04-09 15:00:00,73,547622.547618,10
2023-04-09 14:00:00,73,547622.547613,10
2023-04-09 13:00:00,73,547622.547613,10
2023-04-09 12:00:00,73,547622.52606,10
2023-04-09 11:00:00,73,547622.501494,10
2023-04-09 10:00:00,73,547622.476104,10
2023-04-09 09:00:00,73,547622.473904,10
2023-04-09 08:00:00,73,547622.473904,10
2023-04-09 07:00:00,73,547622.470092,10
2023-04-09 06:00:00,73,547622.470092,10
2023-04-09 05:00:00,73,547622.457668,10
2023-04-09 04:00:00,73,547622.401865,10
2023-04-09 03:00:00,73,547622.401865,10
2023-04-09 02:00:00,73,547622.390705,10
2023-04-09 01:00:00,73,547622.390705,10
2023-04-09 00:00:00,73,547622.390705,10
2023-04-08 23:00:00,73,547622.387915,10
2023-04-08 22:00:00,73,547622.387915,10
2023-04-08 21:00:00,73,547622.378407,10
2023-04-08 20:00:00,73,547622.378407,10
2023-04-08 19:00:00,73,547622.34488,10
2023-04-08 18:00:00,73,547622.344534,10
2023-04-08 17:00:00,73,547622.335943,10
2023-04-08 16:00:00,73,547622.262777,10
2023-04-08 15:00:00,73,547621.877758,10
2023-04-08 14:00:00,73,547621.877758,10
2023-04-08 13:00:00,73,547621.040849,10
2023-04-08 12:00:00,73,547621.03527,10
2023-04-08 11:00:00,73,547621.018532,10
2023-04-08 10:00:00,73,547621.014389,10
2023-04-08 09:00:00,73,547621.014389,10
2023-04-08 08:00:00,73,547620.864183,10
2023-04-08 07:00:00,73,547620.504483,10
2023-04-08 06:00:00,73,547620.482159,10
2023-04-08 05:00:00,73,547620.442599,10
2023-04-08 04:00:00,73,547620.442599,10
2023-04-08 03:00:00,73,547620.442599,10
2023-04-08 02:00:00,73,547618.645457,10
2023-04-08 01:00:00,73,547618.645457,10
2023-04-08 00:00:00,73,547618.645457,10
2023-04-07 23:00:00,73,547618.645457,10
2023-04-07 22:00:00,73,547618.474079,10
2023-04-07 21:00:00,73,547618.099396,10
2023-04-07 20:00:00,73,547618.099396,10
2023-04-07 19:00:00,73,547617.997545,10
2023-04-07 18:00:00,73,547617.997545,10
2023-04-07 17:00:00,73,547617.997545,10
2023-04-07 16:00:00,73,547617.994634,10
2023-04-07 15:00:00,73,547617.975761,10
2023-04-07 14:00:00,73,547617.975761,10
2023-04-07 13:00:00,73,547617.975761,10
2023-04-07 12:00:00,73,547617.975761,10
2023-04-07 11:00:00,73,547617.975761,10
2023-04-07 10:00:00,73,547617.975761,10
2023-04-07 09:00:00,73,547617.975761,10
2023-04-07 08:00:00,73,547617.962669,10
2023-04-07 07:00:00,73,547617.962669,10
2023-04-07 06:00:00,73,547617.745007,10
2023-04-07 05:00:00,73,547617.745007,10
2023-04-07 04:00:00,73,547617.745007,10
2023-04-07 03:00:00,73,547617.745007,10
2023-04-07 02:00:00,73,547617.745007,10
2023-04-07 01:00:00,73,547617.745007,10
2023-04-07 00:00:00,73,547617.745007,10
2023-04-06 23:00:00,73,547617.745007,10
2023-04-06 22:00:00,73,547617.73943,10
2023-04-06 21:00:00,73,547617.170513,10
2023-04-06 20:00:00,73,547616.990197,10
2023-04-06 19:00:00,72,547616.990197,10
2023-04-06 18:00:00,72,547616.987052,10
2023-04-06 17:00:00,72,547616.051033,10
2023-04-06 16:00:00,72,547615.838687,10
2023-04-06 15:00:00,72,547615.810485,10
2023-04-06 14:00:00,72,547615.810485,10
2023-04-06 13:00:00,72,547615.810485,10
2023-04-06 12:00:00,72,547615.810485,10
2023-04-06 11:00:00,72,547615.810485,10
2023-04-06 10:00:00,72,547614.804695,10
2023-04-06 09:00:00,72,547614.788223,10
2023-04-06 08:00:00,72,547614.775815,10
2023-04-06 07:00:00,72,547614.638368,10
2023-04-06 06:00:00,72,547614.497358,10
2023-04-06 05:00:00,72,547614.414575,10
2023-04-06 04:00:00,72,547614.414575,10
2023-04-06 03:00:00,72,547614.414575,10
2023-04-06 02:00:00,72,547614.414575,10
2023-04-06 01:00:00,72,547614.414575,10
2023-04-06 00:00:00,72,547614.414575,10
2023-04-05 23:00:00,72,547614.414575,10
2023-04-05 22:00:00,72,547614.414575,10
2023-04-05 21:00:00,72,547614.414575,10
2023-04-05 20:00:00,72,547614.414575,10
2023-04-05 19:00:00,72,547614.414575,10
2023-04-05 18:00:00,72,547614.395062,10
2023-04-05 17:00:00,72,547614.392049,10
2023-04-05 16:00:00,72,547614.392049,10
2023-04-05 15:00:00,72,547614.392049,10
2023-04-05 14:00:00,72,547614.392049,10
2023-04-05 13:00:00,72,547620.392049,10
2023-04-05 12:00:00,72,547620.37606,10
2023-04-05 11:00:00,72,547620.238908,10
2023-04-05 10:00:00,72,547620.238908,10
2023-04-05 09:00:00,72,547620.238908,10
2023-04-05 08:00:00,72,547620.238908,10
2023-04-05 07:00:00,72,547620.238908,10
2023-04-05 06:00:00,72,547620.238908,10
2023-04-05 05:00:00,72,547620.238908,10
2023-04-05 04:00:00,72,547620.238908,10
2023-04-05 03:00:00,72,547620.167588,10
2023-04-05 02:00:00,72,547620.167588,10
2023-04-05 01:00:00,72,547620.167588,10
2023-04-05 00:00:00,72,547620.167588,10
2023-04-04 23:00:00,72,547620.167588,10
2023-04-04 22:00:00,72,547620.167588,10
2023-04-04 21:00:00,72,547620.167588,10
2023-04-04 20:00:00,72,547594.593528,10
2023-04-04 19:00:00,72,547599.593527,10
2023-04-04 18:00:00,72,547599.593527,10
2023-04-04 17:00:00,72,547599.590536,10
2023-04-04 16:00:00,72,547599.556686,10
2023-04-04 15:00:00,72,547599.556686,10
2023-04-04 14:00:00,72,547599.544099,10
2023-04-04 13:00:00,72,547599.544099,10
2023-04-04 12:00:00,72,547599.532252,10
2023-04-04 11:00:00,72,547599.502569,10
2023-04-04 10:00:00,72,547599.466013,10
2023-04-04 09:00:00,72,547599.42861,10
2023-04-04 08:00:00,72,547598.944568,10
2023-04-04 07:00:00,72,547598.944568,10
2023-04-04 06:00:00,72,547598.887834,10
2023-04-04 05:00:00,72,547598.834984,10
2023-04-04 04:00:00,72,547598.834984,10
2023-04-04 03:00:00,72,547598.811027,10
2023-04-04 02:00:00,72,547598.786689,10
2023-04-04 01:00:00,72,547598.786689,10
2023-04-04 00:00:00,72,547598.57927,10
2023-04-03 23:00:00,72,547598.57927,10
2023-04-03 22:00:00,72,547598.522859,10
2023-04-03 21:00:00,72,547598.522859,10
2023-04-03 20:00:00,72,547598.500029,10
2023-04-03 19:00:00,72,547598.500029,10
2023-04-03 18:00:00,72,547598.493907,10
2023-04-03 17:00:00,72,547597.23415,10
2023-04-03 16:00:00,72,547597.212299,10
2023-04-03 15:00:00,72,547596.668949,10
2023-04-03 14:00:00,72,547596.640412,10
2023-04-03 13:00:00,72,547596.551022,10
2023-04-03 12:00:00,72,547596.069901,10
2023-04-03 11:00:00,72,547596.064194,10
2023-04-03 10:00:00,72,547595.218836,10
2023-04-03 09:00:00,72,547595.190301,10
2023-04-03 08:00:00,72,547595.190301,10
2023-04-03 07:00:00,72,547595.178887,10
2023-04-03 06:00:00,72,547595.178887,10
2023-04-03 05:00:00,72,547595.133061,10
2023-04-03 04:00:00,72,547595.046705,10
2023-04-03 03:00:00,72,547595.019762,10
2023-04-03 02:00:00,72,547595.019762,10
2023-04-03 01:00:00,72,547595.000273,10
2023-04-03 00:00:00,72,547594.977716,10
2023-04-02 23:00:00,72,547594.977716,10
2023-04-02 22:00:00,72,547594.926354,10
2023-04-02 21:00:00,72,547594.913811,10
2023-04-02 20:00:00,72,547594.831194,10
2023-04-02 19:00:00,72,547594.343273,10
2023-04-02 18:00:00,72,547594.338593,10
2023-04-02 17:00:00,72,547594.182956,10
2023-04-02 16:00:00,72,547594.070464,10
2023-04-02 15:00:00,72,547594.070464,10
2023-04-02 14:00:00,72,547593.587574,10
2023-04-02 13:00:00,72,547593.587106,10
2023-04-02 12:00:00,72,547593.587106,10
2023-04-02 11:00:00,72,547593.585167,10
2023-04-02 10:00:00,72,547593.562989,10
2023-04-02 09:00:00,72,547593.554851,10
2023-04-02 08:00:00,72,547593.048567,10
2023-04-02 07:00:00,72,547593.010408,10
2023-04-02 06:00:00,72,547593.010408,10
2023-04-02 05:00:00,72,547593.007809,10
2023-04-02 04:00:00,72,547592.993544,10
2023-04-02 03:00:00,72,547592.853515,10
2023-04-02 02:00:00,72,547592.848951,10
2023-04-02 01:00:00,72,547592.843531,10
2023-04-02 00:00:00,72,547592.843531,10
2023-04-01 23:00:00,72,547592.661793,10
2023-04-01 22:00:00,72,547592.544819,10
2023-04-01 21:00:00,72,547592.513332,10
2023-04-01 20:00:00,72,547592.513332,10
2023-04-01 19:00:00,72,547592.489082,10
2023-04-01 18:00:00,72,547592.429188,10
2023-04-01 17:00:00,72,547592.429188,10
2023-04-01 16:00:00,72,547592.24068,10
2023-04-01 15:00:00,72,547585.835648,10
2023-04-01 14:00:00,72,547585.277426,10
2023-04-01 13:00:00,72,547585.277426,10
2023-04-01 12:00:00,72,547585.265446,10
