timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,74,537568.467197,8
2023-04-13 12:00:00,75,537568.210184,8
2023-04-13 00:00:00,75,537567.152491,8
2023-04-12 12:00:00,75,537432.2025,8
2023-04-12 00:00:00,75,535407.114551,8
2023-04-11 12:00:00,75,535406.995429,8
2023-04-11 08:00:00,75,535406.286756,8
2023-04-11 07:00:00,75,535406.286756,8
2023-04-11 06:00:00,75,535406.286756,8
2023-04-11 05:00:00,75,535406.141247,8
2023-04-11 04:00:00,75,535406.141247,8
2023-04-11 03:00:00,75,535406.141247,8
2023-04-11 02:00:00,75,535406.141247,8
2023-04-11 01:00:00,75,535406.141247,8
2023-04-11 00:00:00,75,535406.141247,8
2023-04-10 23:00:00,75,535406.141247,8
2023-04-10 22:00:00,75,535406.141247,8
2023-04-10 21:00:00,75,535406.130015,8
2023-04-10 20:00:00,75,535405.862594,8
2023-04-10 19:00:00,75,535405.862594,8
2023-04-10 18:00:00,75,535405.862594,8
2023-04-10 17:00:00,75,535405.862594,8
2023-04-10 16:00:00,75,535405.862541,8
2023-04-10 15:00:00,75,535405.86201,8
2023-04-10 14:00:00,75,535400.86201,8
2023-04-10 13:00:00,75,535400.85399,8
2023-04-10 12:00:00,75,535400.85399,8
2023-04-10 11:00:00,75,535400.85399,8
2023-04-10 10:00:00,75,535400.85399,8
2023-04-10 09:00:00,75,535400.85399,8
2023-04-10 08:00:00,75,535400.851316,8
2023-04-10 07:00:00,75,535400.848927,8
2023-04-10 06:00:00,75,535400.848927,8
2023-04-10 05:00:00,75,535400.848927,8
2023-04-10 04:00:00,75,535400.848927,8
2023-04-10 03:00:00,75,535400.848927,8
2023-04-10 02:00:00,75,535400.848927,8
2023-04-10 01:00:00,75,535400.848927,8
2023-04-10 00:00:00,75,535400.848927,8
2023-04-09 23:00:00,75,535400.848927,8
2023-04-09 22:00:00,75,535400.835556,8
2023-04-09 21:00:00,75,535400.064287,8
2023-04-09 20:00:00,75,535400.064287,8
2023-04-09 19:00:00,75,535400.053332,8
2023-04-09 18:00:00,75,535400.037287,8
2023-04-09 17:00:00,75,535400.037287,8
2023-04-09 16:00:00,75,535400.037287,8
2023-04-09 15:00:00,75,535400.037181,8
2023-04-09 14:00:00,75,535400.037176,8
2023-04-09 13:00:00,75,535400.037176,8
2023-04-09 12:00:00,75,535400.037176,8
2023-04-09 11:00:00,75,535400.013511,8
2023-04-09 10:00:00,75,535399.989053,8
2023-04-09 09:00:00,75,535399.986933,8
2023-04-09 08:00:00,75,535399.986933,8
2023-04-09 07:00:00,75,535399.983262,8
2023-04-09 06:00:00,75,535399.983262,8
2023-04-09 05:00:00,75,535399.971294,8
2023-04-09 04:00:00,75,535399.917538,8
2023-04-09 03:00:00,75,535399.917538,8
2023-04-09 02:00:00,75,535399.906787,8
2023-04-09 01:00:00,75,535399.906787,8
2023-04-09 00:00:00,75,535399.906787,8
2023-04-08 23:00:00,75,535399.9041,8
2023-04-08 22:00:00,75,535399.9041,8
2023-04-08 21:00:00,75,535399.894942,8
2023-04-08 20:00:00,75,535399.894942,8
2023-04-08 19:00:00,75,535399.862645,8
2023-04-08 18:00:00,75,535399.862312,8
2023-04-08 17:00:00,75,535399.856937,8
2023-04-08 16:00:00,75,535399.786456,8
2023-04-08 15:00:00,75,535399.41558,8
2023-04-08 14:00:00,75,535399.41558,8
2023-04-08 13:00:00,75,535398.609476,8
2023-04-08 12:00:00,75,535398.604102,8
2023-04-08 11:00:00,75,535398.58798,8
2023-04-08 10:00:00,75,535398.58399,8
2023-04-08 09:00:00,75,535398.58399,8
2023-04-08 08:00:00,75,535398.437694,8
2023-04-08 07:00:00,75,535398.087364,8
2023-04-08 06:00:00,75,535398.065622,8
2023-04-08 05:00:00,75,535398.027413,8
2023-04-08 04:00:00,75,535398.027413,8
2023-04-08 03:00:00,75,535398.027413,8
2023-04-08 02:00:00,75,535398.027413,8
2023-04-08 01:00:00,75,535398.027413,8
2023-04-08 00:00:00,75,535398.027413,8
2023-04-07 23:00:00,75,535398.027413,8
2023-04-07 22:00:00,75,535397.862391,8
2023-04-07 21:00:00,75,535397.862391,8
2023-04-07 20:00:00,75,535397.862391,8
2023-04-07 19:00:00,75,535397.862391,8
2023-04-07 18:00:00,75,535397.862391,8
2023-04-07 17:00:00,75,535397.862391,8
2023-04-07 16:00:00,75,535397.862391,8
2023-04-07 15:00:00,75,535397.862391,8
2023-04-07 14:00:00,75,535397.862391,8
2023-04-07 13:00:00,75,535397.862391,8
2023-04-07 12:00:00,75,535397.862391,8
2023-04-07 11:00:00,75,535397.862391,8
2023-04-07 10:00:00,75,535397.862391,8
2023-04-07 09:00:00,75,535397.862391,8
2023-04-07 08:00:00,75,535397.862391,8
2023-04-07 07:00:00,75,535397.862391,8
2023-04-07 06:00:00,75,535397.862391,8
2023-04-07 05:00:00,75,535397.862391,8
2023-04-07 04:00:00,75,535397.862391,8
2023-04-07 03:00:00,75,535397.862391,8
2023-04-07 02:00:00,75,535397.862391,8
2023-04-07 01:00:00,75,535397.862391,8
2023-04-07 00:00:00,75,535397.862391,8
2023-04-06 23:00:00,75,535397.862391,8
2023-04-06 22:00:00,75,535397.857021,8
2023-04-06 21:00:00,75,535397.309084,8
2023-04-06 20:00:00,75,535397.135572,8
2023-04-06 19:00:00,73,535397.135572,8
2023-04-06 18:00:00,73,535397.135572,8
2023-04-06 17:00:00,73,535396.234116,8
2023-04-06 16:00:00,73,535396.029645,8
2023-04-06 15:00:00,73,535396.002489,8
2023-04-06 14:00:00,73,535396.002489,8
2023-04-06 13:00:00,73,535396.002489,8
2023-04-06 12:00:00,73,535396.002489,8
2023-04-06 11:00:00,74,490396.002489,8
2023-04-06 10:00:00,74,490395.996913,8
2023-04-06 09:00:00,74,490395.981053,8
2023-04-06 08:00:00,74,490395.969105,8
2023-04-06 07:00:00,74,490314.151284,8
2023-04-06 06:00:00,74,490314.015508,8
2023-04-06 05:00:00,74,490313.935796,8
2023-04-06 04:00:00,74,490313.935796,8
2023-04-06 03:00:00,74,490313.935796,8
2023-04-06 02:00:00,74,490313.935796,8
2023-04-06 01:00:00,74,490313.935796,8
2023-04-06 00:00:00,74,490313.935796,8
2023-04-05 23:00:00,74,490313.935796,8
2023-04-05 22:00:00,74,490313.935796,8
2023-04-05 21:00:00,73,490313.935796,8
2023-04-05 20:00:00,73,490313.935796,8
2023-04-05 19:00:00,73,490313.935796,8
2023-04-05 18:00:00,73,490313.935796,8
2023-04-05 17:00:00,73,490313.935796,8
2023-04-05 16:00:00,73,490313.935796,8
2023-04-05 15:00:00,73,490313.935796,8
2023-04-05 14:00:00,73,490313.935796,8
2023-04-05 13:00:00,73,490313.935796,8
2023-04-05 12:00:00,73,490313.920401,8
2023-04-05 11:00:00,73,490313.788339,8
2023-04-05 10:00:00,73,490313.788339,8
2023-04-05 09:00:00,73,490313.788339,8
2023-04-05 08:00:00,73,490313.788339,8
2023-04-05 07:00:00,73,490313.788339,8
2023-04-05 06:00:00,73,490313.788339,8
2023-04-05 05:00:00,73,490313.788339,8
2023-04-05 04:00:00,73,490313.788339,8
2023-04-05 03:00:00,73,490313.788339,8
2023-04-05 02:00:00,73,490313.788339,8
2023-04-05 01:00:00,73,490313.788339,8
2023-04-05 00:00:00,73,490313.788339,8
2023-04-04 23:00:00,73,490313.788339,8
2023-04-04 22:00:00,73,490313.788339,8
2023-04-04 21:00:00,73,490313.788339,8
2023-04-04 20:00:00,73,490312.214653,8
2023-04-04 19:00:00,73,490312.214653,8
2023-04-04 18:00:00,73,490312.214653,8
2023-04-04 17:00:00,73,490312.214653,8
2023-04-04 16:00:00,73,490312.18209,8
2023-04-04 15:00:00,73,490312.18209,8
2023-04-04 14:00:00,73,490312.169981,8
2023-04-04 13:00:00,73,490312.169981,8
2023-04-04 12:00:00,73,490312.158584,8
2023-04-04 11:00:00,73,490312.157183,8
2023-04-04 10:00:00,73,490312.122016,8
2023-04-04 09:00:00,73,490312.086034,8
2023-04-04 08:00:00,73,490311.94792,8
2023-04-04 07:00:00,73,490311.94792,8
2023-04-04 06:00:00,73,490311.893342,8
2023-04-04 05:00:00,73,490311.842501,8
2023-04-04 04:00:00,73,490311.842501,8
2023-04-04 03:00:00,73,490311.842501,8
2023-04-04 02:00:00,73,490311.819088,8
2023-04-04 01:00:00,73,490311.819088,8
2023-04-04 00:00:00,73,490311.619551,8
2023-04-03 23:00:00,73,490311.619551,8
2023-04-03 22:00:00,73,490311.565382,8
2023-04-03 21:00:00,73,490311.565382,8
2023-04-03 20:00:00,73,490311.543453,8
2023-04-03 19:00:00,73,490311.543453,8
2023-04-03 18:00:00,73,490311.543453,8
2023-04-03 17:00:00,73,490311.543453,8
2023-04-03 16:00:00,73,490311.522465,8
2023-04-03 15:00:00,73,490311.000601,8
2023-04-03 14:00:00,73,490310.973193,8
2023-04-03 13:00:00,73,490310.887341,8
2023-04-03 12:00:00,73,490310.425271,8
2023-04-03 11:00:00,73,490310.41979,8
2023-04-03 10:00:00,73,490310.058062,8
2023-04-03 09:00:00,73,490310.030659,8
2023-04-03 08:00:00,73,490310.030659,8
2023-04-03 07:00:00,73,490310.019698,8
2023-04-03 06:00:00,73,490310.019698,8
2023-04-03 05:00:00,73,490309.983631,8
2023-04-03 04:00:00,73,490309.9007,8
2023-04-03 03:00:00,73,490309.874825,8
2023-04-03 02:00:00,73,490309.874825,8
2023-04-03 01:00:00,73,490309.856108,8
2023-04-03 00:00:00,73,490309.834446,8
2023-04-02 23:00:00,73,490309.834446,8
2023-04-02 22:00:00,73,490309.785123,8
2023-04-02 21:00:00,73,490309.773078,8
2023-04-02 20:00:00,73,490309.693742,8
2023-04-02 19:00:00,73,490309.225209,8
2023-04-02 18:00:00,73,490309.220715,8
2023-04-02 17:00:00,73,490309.071266,8
2023-04-02 16:00:00,73,490308.963248,8
