timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,76,513613.572606,2
2023-04-13 12:00:00,77,511960.057143,2
2023-04-13 00:00:00,77,510762.01839,2
2023-04-12 12:00:00,77,509578.404399,2
2023-04-12 00:00:00,77,508868.465844,2
2023-04-11 12:00:00,77,508322.057132,2
2023-04-11 08:00:00,77,506076.939079,2
2023-04-11 07:00:00,77,506076.939079,2
2023-04-11 06:00:00,77,506015.470044,2
2023-04-11 05:00:00,77,505900.910631,2
2023-04-11 04:00:00,77,505863.515745,2
2023-04-11 03:00:00,77,505863.515745,2
2023-04-11 02:00:00,77,505763.515745,2
2023-04-11 01:00:00,77,505723.544642,2
2023-04-11 00:00:00,77,505650.244642,2
2023-04-10 23:00:00,77,505680.244642,2
2023-04-10 22:00:00,77,505670.761996,2
2023-04-10 21:00:00,77,505464.890003,2
2023-04-10 20:00:00,77,505409.710812,2
2023-04-10 19:00:00,77,505388.494132,2
2023-04-10 18:00:00,77,505303.750263,2
2023-04-10 17:00:00,77,505300.946047,2
2023-04-10 16:00:00,77,505262.52287,2
2023-04-10 15:00:00,77,505802.522319,2
2023-04-10 14:00:00,77,505800.47532,2
2023-04-10 13:00:00,77,505753.008207,2
2023-04-10 12:00:00,77,505743.598597,2
2023-04-10 11:00:00,77,505743.598597,2
2023-04-10 10:00:00,77,505743.598597,2
2023-04-10 09:00:00,77,505743.598597,2
2023-04-10 08:00:00,77,505743.549288,2
2023-04-10 07:00:00,77,505732.375685,2
2023-04-10 06:00:00,77,505732.375685,2
2023-04-10 05:00:00,77,505724.105543,2
2023-04-10 04:00:00,77,505594.472915,2
2023-04-10 03:00:00,77,505594.472915,2
2023-04-10 02:00:00,77,505594.344528,2
2023-04-10 01:00:00,77,505579.146313,2
2023-04-10 00:00:00,77,505492.818987,2
2023-04-09 23:00:00,77,505477.818987,2
2023-04-09 22:00:00,77,506477.685111,2
2023-04-09 21:00:00,77,506438.890141,2
2023-04-09 20:00:00,77,506437.449503,2
2023-04-09 19:00:00,77,506411.492522,2
2023-04-09 18:00:00,77,506407.475871,2
2023-04-09 17:00:00,77,506405.824631,2
2023-04-09 16:00:00,77,506368.503123,2
2023-04-09 15:00:00,77,506346.503013,2
2023-04-09 14:00:00,77,506346.435024,2
2023-04-09 13:00:00,77,506367.110267,2
2023-04-09 12:00:00,77,506333.447993,2
2023-04-09 11:00:00,77,506297.388378,2
2023-04-09 10:00:00,77,506297.342989,2
2023-04-09 09:00:00,77,506297.340789,2
2023-04-09 08:00:00,77,506297.340789,2
2023-04-09 07:00:00,77,506297.336977,2
2023-04-09 06:00:00,77,506146.795408,2
2023-04-09 05:00:00,77,506146.682984,2
2023-04-09 04:00:00,77,506108.85633,2
2023-04-09 03:00:00,77,506808.85633,2
2023-04-09 02:00:00,77,506808.84517,2
2023-04-09 01:00:00,77,506808.711279,2
2023-04-09 00:00:00,77,506506.051767,2
2023-04-08 23:00:00,77,506506.048977,2
2023-04-08 22:00:00,77,506506.048977,2
2023-04-08 21:00:00,77,506506.03947,2
2023-04-08 20:00:00,77,506582.577685,2
2023-04-08 19:00:00,77,506547.058987,2
2023-04-08 18:00:00,77,506545.133641,2
2023-04-08 17:00:00,77,506544.357086,2
2023-04-08 16:00:00,77,506493.217281,2
2023-04-08 15:00:00,77,506407.832,2
2023-04-08 14:00:00,77,506406.866725,2
2023-04-08 13:00:00,77,506404.420745,2
2023-04-08 12:00:00,77,506360.501151,2
2023-04-08 11:00:00,77,506360.484414,2
2023-04-08 10:00:00,77,506364.111063,2
2023-04-08 09:00:00,77,506363.706063,2
2023-04-08 08:00:00,77,506363.298184,2
2023-04-08 07:00:00,77,506349.422017,2
2023-04-08 06:00:00,77,506340.519047,2
2023-04-08 05:00:00,77,506331.479489,2
2023-04-08 04:00:00,77,506295.050898,2
2023-04-08 03:00:00,77,506294.651871,2
2023-04-08 02:00:00,77,506274.601871,2
2023-04-08 01:00:00,77,506274.601871,2
2023-04-08 00:00:00,77,505225.907391,2
2023-04-07 23:00:00,77,505225.907391,2
2023-04-07 22:00:00,77,505225.736019,2
2023-04-07 21:00:00,77,505225.736019,2
2023-04-07 20:00:00,77,505225.332841,2
2023-04-07 19:00:00,77,505224.092212,2
2023-04-07 18:00:00,77,506061.049365,2
2023-04-07 17:00:00,77,505997.925551,2
2023-04-07 16:00:00,77,505908.546633,2
2023-04-07 15:00:00,77,505904.018162,2
2023-04-07 14:00:00,77,505903.999578,2
2023-04-07 13:00:00,77,505873.632964,2
2023-04-07 12:00:00,77,505929.556867,2
2023-04-07 11:00:00,77,505919.556867,2
2023-04-07 10:00:00,77,505914.028626,2
2023-04-07 09:00:00,77,505913.828626,2
2023-04-07 08:00:00,77,505913.541976,2
2023-04-07 07:00:00,77,505900.881618,2
2023-04-07 06:00:00,77,505909.106997,2
2023-04-07 05:00:00,77,505908.986889,2
2023-04-07 04:00:00,77,505918.46259,2
2023-04-07 03:00:00,77,505918.450061,2
2023-04-07 02:00:00,77,505918.450061,2
2023-04-07 01:00:00,77,505798.306736,2
2023-04-07 00:00:00,77,505798.273394,2
2023-04-06 23:00:00,77,507798.255755,2
2023-04-06 22:00:00,77,507790.750178,2
2023-04-06 21:00:00,77,507734.837918,2
2023-04-06 20:00:00,77,507733.333442,2
