timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,78,472788.730729,5
2023-04-13 12:00:00,78,472604.704527,5
2023-04-13 00:00:00,78,472430.833186,5
2023-04-12 12:00:00,78,472369.015802,5
2023-04-12 00:00:00,78,472719.429502,5
2023-04-11 12:00:00,78,472655.81218,5
2023-04-11 08:00:00,78,472546.100536,5
2023-04-11 07:00:00,78,472546.100536,5
2023-04-11 06:00:00,78,472546.100536,5
2023-04-11 05:00:00,78,472535.449535,5
2023-04-11 04:00:00,78,472274.767983,5
2023-04-11 03:00:00,78,472274.767983,5
2023-04-11 02:00:00,78,472274.767983,5
2023-04-11 01:00:00,78,472274.767983,5
2023-04-11 00:00:00,78,472270.867983,5
2023-04-10 23:00:00,78,472270.867983,5
2023-04-10 22:00:00,78,472270.867983,5
2023-04-10 21:00:00,78,472270.56446,5
2023-04-10 20:00:00,78,472270.008114,5
2023-04-10 19:00:00,78,472244.008114,5
2023-04-10 18:00:00,78,472244.008114,5
2023-04-10 17:00:00,78,472243.964242,5
2023-04-10 16:00:00,78,472242.834187,5
2023-04-10 15:00:00,78,472216.773583,5
2023-04-10 14:00:00,78,472216.773583,5
2023-04-10 13:00:00,78,476666.147354,5
2023-04-10 12:00:00,78,476655.737744,5
2023-04-10 11:00:00,78,476653.231609,5
2023-04-10 10:00:00,78,476653.231609,5
2023-04-10 09:00:00,78,476653.231609,5
2023-04-10 08:00:00,78,476653.228834,5
2023-04-10 07:00:00,78,476646.226355,5
2023-04-10 06:00:00,78,476646.226355,5
2023-04-10 05:00:00,78,476646.226355,5
2023-04-10 04:00:00,78,476643.226355,5
2023-04-10 03:00:00,78,476643.226355,5
2023-04-10 02:00:00,78,476642.346355,5
2023-04-10 01:00:00,78,476642.239242,5
2023-04-10 00:00:00,78,476641.329171,5
2023-04-09 23:00:00,78,476641.229171,5
2023-04-09 22:00:00,78,476640.59994,5
2023-04-09 21:00:00,78,476639.799535,5
2023-04-09 20:00:00,78,476639.595748,5
2023-04-09 19:00:00,78,476554.584379,5
2023-04-09 18:00:00,78,476554.567728,5
2023-04-09 17:00:00,78,476553.161348,5
2023-04-09 16:00:00,78,476553.159149,5
2023-04-09 15:00:00,78,476553.159039,5
2023-04-09 14:00:00,78,476539.853356,5
2023-04-09 13:00:00,78,476537.563941,5
2023-04-09 12:00:00,78,476515.69701,5
2023-04-09 11:00:00,78,476515.672444,5
2023-04-09 10:00:00,78,476515.647055,5
2023-04-09 09:00:00,78,476508.844855,5
2023-04-09 08:00:00,78,476508.344855,5
2023-04-09 07:00:00,78,476502.711461,5
2023-04-09 06:00:00,78,476499.87663,5
2023-04-09 05:00:00,78,476499.864206,5
2023-04-09 04:00:00,78,476497.008405,5
2023-04-09 03:00:00,78,476496.78892,5
2023-04-09 02:00:00,78,476495.638316,5
2023-04-09 01:00:00,78,476495.638316,5
2023-04-09 00:00:00,78,476495.638316,5
2023-04-08 23:00:00,78,476492.635526,5
2023-04-08 22:00:00,78,476492.519275,5
2023-04-08 21:00:00,78,476492.509768,5
2023-04-08 20:00:00,78,476492.509768,5
2023-04-08 19:00:00,78,476490.576242,5
2023-04-08 18:00:00,78,476478.575896,5
2023-04-08 17:00:00,78,476478.527204,5
2023-04-08 16:00:00,78,476478.454041,5
2023-04-08 15:00:00,78,476471.684037,5
2023-04-08 14:00:00,78,476466.087402,5
2023-04-08 13:00:00,78,476454.150958,5
2023-04-08 12:00:00,78,476429.59751,5
2023-04-08 11:00:00,78,476429.580773,5
2023-04-08 10:00:00,78,476429.57663,5
2023-04-08 09:00:00,78,476429.57663,5
2023-04-08 08:00:00,78,476429.426428,5
2023-04-08 07:00:00,78,476425.066739,5
2023-04-08 06:00:00,78,476419.444416,5
2023-04-08 05:00:00,78,476400.404858,5
2023-04-08 04:00:00,78,476399.404858,5
2023-04-08 03:00:00,78,476399.404858,5
2023-04-08 02:00:00,78,476398.910832,5
2023-04-08 01:00:00,78,476398.910832,5
2023-04-08 00:00:00,78,476398.133585,5
2023-04-07 23:00:00,78,476397.507977,5
2023-04-07 22:00:00,78,476394.69633,5
2023-04-07 21:00:00,78,476394.69633,5
2023-04-07 20:00:00,78,476394.69633,5
2023-04-07 19:00:00,78,476394.69633,5
2023-04-07 18:00:00,78,476394.69633,5
2023-04-07 17:00:00,78,476392.95693,5
2023-04-07 16:00:00,78,476388.665388,5
2023-04-07 15:00:00,78,476418.665388,5
2023-04-07 14:00:00,78,476408.625506,5
2023-04-07 13:00:00,78,476406.525506,5
2023-04-07 12:00:00,78,476439.449409,5
2023-04-07 11:00:00,78,476424.449409,5
2023-04-07 10:00:00,78,476419.449409,5
2023-04-07 09:00:00,78,476404.185871,5
2023-04-07 08:00:00,78,476404.185871,5
2023-04-07 07:00:00,78,476404.185871,5
2023-04-07 06:00:00,78,476403.185871,5
2023-04-07 05:00:00,78,476370.128367,5
2023-04-07 04:00:00,78,476369.958348,5
2023-04-07 03:00:00,78,476367.497663,5
2023-04-07 02:00:00,78,476357.497663,5
2023-04-07 01:00:00,78,476352.47081,5
2023-04-07 00:00:00,78,476350.04081,5
2023-04-06 23:00:00,78,476350.04081,5
2023-04-06 22:00:00,78,476350.035233,5
2023-04-06 21:00:00,78,476349.466338,5
2023-04-06 20:00:00,78,476360.800636,5
2023-04-06 19:00:00,75,476359.300636,5
2023-04-06 18:00:00,75,476359.255652,5
2023-04-06 17:00:00,75,476358.319666,5
2023-04-06 16:00:00,75,476344.163265,5
2023-04-06 15:00:00,75,476344.135063,5
2023-04-06 14:00:00,75,476333.506766,5
2023-04-06 13:00:00,75,476331.906766,5
2023-04-06 12:00:00,75,476217.475222,5
2023-04-06 11:00:00,75,476217.446481,5
2023-04-06 10:00:00,75,476187.440691,5
2023-04-06 09:00:00,75,476187.424219,5
2023-04-06 08:00:00,75,476183.931811,5
2023-04-06 07:00:00,75,476183.931811,5
2023-04-06 06:00:00,75,476183.790636,5
