timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,79,471410.006593,1
2023-04-13 12:00:00,79,470212.665667,1
2023-04-13 00:00:00,79,469261.098332,1
2023-04-12 12:00:00,80,468213.705399,1
2023-04-12 00:00:00,80,468153.789574,1
2023-04-11 12:00:00,80,467701.231479,1
2023-04-11 08:00:00,80,467669.559353,1
2023-04-11 07:00:00,80,467669.559353,1
2023-04-11 06:00:00,80,467623.648256,1
2023-04-11 05:00:00,80,467623.497249,1
2023-04-11 04:00:00,80,467623.497249,1
2023-04-11 03:00:00,80,467623.497249,1
2023-04-11 02:00:00,80,467623.497249,1
2023-04-11 01:00:00,80,467572.705646,1
2023-04-11 00:00:00,80,467566.67967,1
2023-04-10 23:00:00,80,467566.67967,1
2023-04-10 22:00:00,80,467566.458635,1
2023-04-10 21:00:00,80,467551.016331,1
2023-04-10 20:00:00,80,467550.738797,1
2023-04-10 19:00:00,80,467549.943446,1
2023-04-10 18:00:00,80,467478.657229,1
2023-04-10 17:00:00,81,466833.400565,1
2023-04-10 16:00:00,80,466806.770929,1
2023-04-10 15:00:00,80,466798.718373,1
2023-04-10 14:00:00,80,466798.718373,1
2023-04-10 13:00:00,80,466765.380842,1
2023-04-10 12:00:00,80,466765.380842,1
2023-04-10 11:00:00,80,466774.35951,1
2023-04-10 10:00:00,80,466774.35951,1
2023-04-10 09:00:00,80,466774.137528,1
2023-04-10 08:00:00,80,466774.134753,1
2023-04-10 07:00:00,80,466764.712645,1
2023-04-10 06:00:00,80,466764.712645,1
2023-04-10 05:00:00,80,466764.110747,1
2023-04-10 04:00:00,80,466738.05725,1
2023-04-10 03:00:00,80,466734.55725,1
2023-04-10 02:00:00,80,466730.310975,1
2023-04-10 01:00:00,80,466725.000243,1
2023-04-10 00:00:00,80,466656.177802,1
2023-04-09 23:00:00,80,466656.177802,1
2023-04-09 22:00:00,80,466656.163926,1
2023-04-09 21:00:00,80,466654.66349,1
2023-04-09 20:00:00,80,466654.66349,1
2023-04-09 19:00:00,80,466610.270219,1
2023-04-09 18:00:00,80,466604.253568,1
2023-04-09 17:00:00,80,466604.07503,1
2023-04-09 16:00:00,80,466604.07503,1
2023-04-09 15:00:00,80,466604.07492,1
2023-04-09 14:00:00,80,466503.06048,1
2023-04-09 13:00:00,80,466483.06048,1
2023-04-09 12:00:00,80,466471.843466,1
2023-04-09 11:00:00,80,466471.8189,1
2023-04-09 10:00:00,80,466471.69351,1
2023-04-09 09:00:00,80,466471.633134,1
2023-04-09 08:00:00,80,466471.612091,1
2023-04-09 07:00:00,80,466471.504685,1
2023-04-09 06:00:00,80,466366.338012,1
2023-04-09 05:00:00,80,466366.325588,1
2023-04-09 04:00:00,80,466366.269785,1
2023-04-09 03:00:00,80,466366.269785,1
2023-04-09 02:00:00,80,466372.258625,1
2023-04-09 01:00:00,80,466372.258625,1
