timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,7,8408582.719859,4
2023-04-13 12:00:00,7,8412655.442475,4
2023-04-13 00:00:00,7,8394848.83277,4
2023-04-12 12:00:00,7,8398847.248936,4
2023-04-12 00:00:00,7,8393880.888174,4
2023-04-11 12:00:00,7,8395001.96305,4
2023-04-11 08:00:00,7,8387646.825802,4
2023-04-11 07:00:00,7,8387556.825802,4
2023-04-11 06:00:00,7,8387623.411251,4
2023-04-11 05:00:00,7,8389332.673932,4
2023-04-11 04:00:00,7,8389226.256498,4
2023-04-11 03:00:00,7,8379302.16292,4
2023-04-11 02:00:00,7,8378832.063403,4
2023-04-11 01:00:00,7,8378896.082632,4
2023-04-11 00:00:00,7,8378967.073135,4
2023-04-10 23:00:00,7,8378921.315288,4
2023-04-10 22:00:00,7,8378944.457968,4
2023-04-10 21:00:00,7,8378956.846224,4
2023-04-10 20:00:00,7,8379016.942414,4
2023-04-10 19:00:00,7,8379015.59489,4
2023-04-10 18:00:00,7,8362646.516518,4
2023-04-10 17:00:00,7,8362681.642726,4
2023-04-10 16:00:00,7,8359121.597918,4
2023-04-10 15:00:00,7,8359024.404259,4
2023-04-10 14:00:00,7,8358663.852333,4
2023-04-10 13:00:00,7,8359683.352589,4
2023-04-10 12:00:00,7,8359785.979775,4
2023-04-10 11:00:00,7,8359890.504347,4
2023-04-10 10:00:00,7,8359870.173521,4
2023-04-10 09:00:00,7,8359919.810563,4
2023-04-10 08:00:00,7,8351803.88882,4
2023-04-10 07:00:00,7,8351692.12303,4
2023-04-10 06:00:00,7,8351686.72303,4
2023-04-10 05:00:00,7,8350839.76652,4
2023-04-10 04:00:00,7,8350797.53026,4
2023-04-10 03:00:00,7,8350738.885974,4
2023-04-10 02:00:00,7,8350696.642391,4
2023-04-10 01:00:00,7,8350695.118231,4
2023-04-10 00:00:00,7,8350817.676201,4
2023-04-09 23:00:00,7,8350809.298685,4
2023-04-09 22:00:00,7,8350813.722244,4
2023-04-09 21:00:00,7,8350801.788587,4
2023-04-09 20:00:00,7,8350495.178898,4
2023-04-09 19:00:00,7,8349189.56907,4
2023-04-09 18:00:00,7,8349327.788626,4
2023-04-09 17:00:00,7,8348249.677791,4
2023-04-09 16:00:00,7,8347480.906779,4
2023-04-09 15:00:00,7,8347698.610298,4
2023-04-09 14:00:00,7,8347674.488122,4
2023-04-09 13:00:00,7,8347539.749874,4
2023-04-09 12:00:00,7,8347393.423958,4
2023-04-09 11:00:00,7,8347330.503981,4
2023-04-09 10:00:00,7,8347286.097611,4
2023-04-09 09:00:00,7,8347122.533823,4
2023-04-09 08:00:00,7,8347072.083578,4
2023-04-09 07:00:00,7,8347220.895683,4
2023-04-09 06:00:00,7,8347236.794611,4
2023-04-09 05:00:00,7,8347198.392974,4
2023-04-09 04:00:00,7,8347039.036389,4
2023-04-09 03:00:00,7,8347087.625098,4
2023-04-09 02:00:00,7,8347172.601873,4
2023-04-09 01:00:00,7,8347137.162223,4
2023-04-09 00:00:00,7,8347132.613598,4
2023-04-08 23:00:00,7,8347901.452658,4
2023-04-08 22:00:00,7,8349619.904181,4
2023-04-08 21:00:00,7,8349600.671745,4
2023-04-08 20:00:00,7,8349836.121548,4
2023-04-08 19:00:00,7,8350077.149565,4
2023-04-08 18:00:00,7,8350078.643422,4
2023-04-08 17:00:00,7,8349968.855114,4
2023-04-08 16:00:00,7,8350190.234146,4
2023-04-08 15:00:00,7,8349508.905577,4
2023-04-08 14:00:00,7,8349382.389745,4
2023-04-08 13:00:00,7,8349283.589443,4
2023-04-08 12:00:00,7,8349255.938349,4
2023-04-08 11:00:00,7,8349271.303461,4
2023-04-08 10:00:00,7,8349272.357724,4
2023-04-08 09:00:00,7,8348976.118546,4
2023-04-08 08:00:00,7,8348926.000551,4
2023-04-08 07:00:00,7,8349016.786915,4
2023-04-08 06:00:00,7,8348891.368721,4
2023-04-08 05:00:00,7,8348885.659994,4
2023-04-08 04:00:00,7,8348287.415783,4
2023-04-08 03:00:00,7,8348250.776666,4
2023-04-08 02:00:00,7,8348265.305444,4
2023-04-08 01:00:00,7,8348222.649478,4
2023-04-08 00:00:00,7,8348170.946083,4
2023-04-07 23:00:00,7,8348127.301406,4
2023-04-07 22:00:00,7,8348027.789542,4
2023-04-07 21:00:00,7,8347976.216359,4
2023-04-07 20:00:00,7,8347873.080491,4
2023-04-07 19:00:00,7,8347685.44956,4
2023-04-07 18:00:00,7,8347684.492664,4
2023-04-07 17:00:00,7,8347503.087307,4
2023-04-07 16:00:00,7,8332297.167868,4
2023-04-07 15:00:00,7,8332208.983379,4
2023-04-07 14:00:00,7,8332396.041063,4
2023-04-07 13:00:00,7,8332390.072495,4
2023-04-07 12:00:00,7,8332279.744494,4
2023-04-07 11:00:00,7,8332276.282145,4
2023-04-07 10:00:00,7,8331177.9597,4
2023-04-07 09:00:00,7,8330725.761622,4
2023-04-07 08:00:00,7,8330311.53106,4
2023-04-07 07:00:00,7,8330515.605543,4
2023-04-07 06:00:00,7,8330976.162343,4
2023-04-07 05:00:00,7,8330886.116457,4
2023-04-07 04:00:00,7,8330838.816486,4
2023-04-07 03:00:00,7,8330673.430097,4
2023-04-07 02:00:00,7,8330987.505725,4
2023-04-07 01:00:00,7,8330869.483573,4
2023-04-07 00:00:00,7,8330764.077722,4
2023-04-06 23:00:00,7,8330736.150682,4
2023-04-06 22:00:00,7,8282726.925762,4
2023-04-06 21:00:00,7,8282695.022622,4
2023-04-06 20:00:00,7,8299351.03863,4
2023-04-06 19:00:00,7,8300074.074108,4
2023-04-06 18:00:00,7,8300263.850902,4
2023-04-06 17:00:00,7,8300204.71923,4
2023-04-06 16:00:00,7,8300250.018028,4
2023-04-06 15:00:00,7,8298445.792661,4
2023-04-06 14:00:00,7,8298347.260587,4
2023-04-06 13:00:00,7,8298394.09827,4
2023-04-06 12:00:00,7,8298306.493941,4
2023-04-06 11:00:00,7,8298149.051743,4
2023-04-06 10:00:00,7,8266137.964658,4
