timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,80,469142.810845,5
2023-04-13 12:00:00,81,469078.165949,5
2023-04-13 00:00:00,80,469055.967929,5
2023-04-12 12:00:00,79,468736.308459,5
2023-04-12 00:00:00,79,468855.080057,5
2023-04-11 12:00:00,79,468832.24875,5
2023-04-11 08:00:00,79,468707.092546,5
2023-04-11 07:00:00,79,468707.092546,5
2023-04-11 06:00:00,79,468705.744672,5
2023-04-11 05:00:00,79,468704.212981,5
2023-04-11 04:00:00,79,468675.872981,5
2023-04-11 03:00:00,79,468663.772353,5
2023-04-11 02:00:00,79,468663.672353,5
2023-04-11 01:00:00,79,468658.895177,5
2023-04-11 00:00:00,79,468658.167893,5
2023-04-10 23:00:00,79,468658.090098,5
2023-04-10 22:00:00,79,468655.894308,5
2023-04-10 21:00:00,79,468655.882652,5
2023-04-10 20:00:00,79,468653.940027,5
2023-04-10 19:00:00,79,468651.346559,5
2023-04-10 18:00:00,79,468553.764016,5
2023-04-10 17:00:00,79,469076.746983,5
2023-04-10 16:00:00,79,469094.747144,5
2023-04-10 15:00:00,79,469094.746593,5
2023-04-10 14:00:00,79,469088.116593,5
2023-04-10 13:00:00,79,469068.151634,5
2023-04-10 12:00:00,79,469048.947076,5
2023-04-10 11:00:00,79,469052.081249,5
2023-04-10 10:00:00,79,469051.821249,5
2023-04-10 09:00:00,79,469050.119267,5
2023-04-10 08:00:00,79,469039.644816,5
2023-04-10 07:00:00,79,469039.339061,5
2023-04-10 06:00:00,79,469038.492548,5
2023-04-10 05:00:00,79,469036.396701,5
2023-04-10 04:00:00,79,469018.343318,5
2023-04-10 03:00:00,79,468937.843318,5
2023-04-10 02:00:00,79,468937.777318,5
2023-04-10 01:00:00,79,468935.680661,5
2023-04-10 00:00:00,79,468918.913417,5
2023-04-09 23:00:00,79,468908.254988,5
2023-04-09 22:00:00,79,468905.957605,5
2023-04-09 21:00:00,79,468904.1572,5
2023-04-09 20:00:00,79,468903.32036,5
2023-04-09 19:00:00,79,468855.673916,5
2023-04-09 18:00:00,79,468852.657266,5
2023-04-09 17:00:00,79,468675.051739,5
2023-04-09 16:00:00,79,468674.52482,5
2023-04-09 15:00:00,79,468718.865089,5
2023-04-09 14:00:00,79,468718.815053,5
2023-04-09 13:00:00,79,468693.71224,5
2023-04-09 12:00:00,79,468664.579305,5
2023-04-09 11:00:00,79,468643.013511,5
2023-04-09 10:00:00,79,468642.06419,5
2023-04-09 09:00:00,79,468639.660938,5
2023-04-09 08:00:00,79,468639.660938,5
2023-04-09 07:00:00,79,468513.501377,5
2023-04-09 06:00:00,79,468513.152725,5
2023-04-09 05:00:00,79,468513.140301,5
2023-04-09 04:00:00,79,468511.222148,5
2023-04-09 03:00:00,79,468505.077242,5
2023-04-09 02:00:00,79,468490.780175,5
2023-04-09 01:00:00,79,468496.160682,5
2023-04-09 00:00:00,79,468495.801342,5
2023-04-08 23:00:00,79,468493.798552,5
2023-04-08 22:00:00,79,468473.643566,5
2023-04-08 21:00:00,79,468470.984059,5
2023-04-08 20:00:00,79,468461.189066,5
2023-04-08 19:00:00,79,468455.816386,5
2023-04-08 18:00:00,79,468454.308952,5
2023-04-08 17:00:00,79,468457.232284,5
2023-04-08 16:00:00,79,468545.94274,5
2023-04-08 15:00:00,79,468523.371617,5
2023-04-08 14:00:00,79,468311.361136,5
2023-04-08 13:00:00,79,468309.024258,5
2023-04-08 12:00:00,79,468196.15021,5
2023-04-08 11:00:00,79,468446.033471,5
2023-04-08 10:00:00,79,468416.029328,5
2023-04-08 09:00:00,79,468489.633558,5
2023-04-08 08:00:00,79,468485.749279,5
2023-04-08 07:00:00,79,468284.635122,5
2023-04-08 06:00:00,79,468278.612799,5
2023-04-08 05:00:00,79,468278.573241,5
2023-04-08 04:00:00,79,468267.133241,5
2023-04-08 03:00:00,79,468266.010241,5
2023-04-08 02:00:00,79,468263.383523,5
2023-04-08 01:00:00,79,468263.274757,5
2023-04-08 00:00:00,79,468262.478314,5
2023-04-07 23:00:00,79,468262.478314,5
2023-04-07 22:00:00,79,468262.096045,5
2023-04-07 21:00:00,79,468257.496045,5
2023-04-07 20:00:00,79,468256.562167,5
2023-04-07 19:00:00,79,468244.571594,5
2023-04-07 18:00:00,79,468243.977352,5
2023-04-07 17:00:00,79,468242.986502,5
2023-04-07 16:00:00,79,468237.029865,5
2023-04-07 15:00:00,79,468236.771541,5
2023-04-07 14:00:00,79,468248.149242,5
2023-04-07 13:00:00,79,468245.516226,5
2023-04-07 12:00:00,79,468301.251197,5
2023-04-07 11:00:00,79,468301.251197,5
2023-04-07 10:00:00,79,468303.440426,5
2023-04-07 09:00:00,79,468303.440426,5
2023-04-07 08:00:00,79,468303.011132,5
2023-04-07 07:00:00,79,468300.605828,5
2023-04-07 06:00:00,79,468295.405828,5
2023-04-07 05:00:00,79,468290.994768,5
2023-04-07 04:00:00,79,468286.888779,5
2023-04-07 03:00:00,79,468257.953112,5
2023-04-07 02:00:00,79,468255.705797,5
2023-04-07 01:00:00,79,468225.335516,5
2023-04-07 00:00:00,79,468219.535516,5
2023-04-06 23:00:00,79,468219.460716,5
2023-04-06 22:00:00,79,468223.315262,5
2023-04-06 21:00:00,79,468109.526367,5
2023-04-06 20:00:00,80,468101.027169,5
2023-04-06 19:00:00,77,467888.367169,5
2023-04-06 18:00:00,77,467886.053694,5
2023-04-06 17:00:00,77,467884.132182,5
2023-04-06 16:00:00,77,467883.74443,5
2023-04-06 15:00:00,77,467879.655342,5
2023-04-06 14:00:00,77,467846.941255,5
2023-04-06 13:00:00,77,467945.565619,5
2023-04-06 12:00:00,77,467932.254695,5
2023-04-06 11:00:00,77,467930.554695,5
2023-04-06 10:00:00,77,467912.548905,5
2023-04-06 09:00:00,77,467899.642445,5
2023-04-06 08:00:00,77,467898.836522,5
2023-04-06 07:00:00,77,467889.633107,5
2023-04-06 06:00:00,77,467889.110286,5
2023-04-06 05:00:00,77,467888.941812,5
2023-04-06 04:00:00,77,467888.941812,5
2023-04-06 03:00:00,77,467888.941812,5
2023-04-06 02:00:00,77,467888.941812,5
2023-04-06 01:00:00,77,467879.426722,5
2023-04-06 00:00:00,77,467879.13214,5
2023-04-05 23:00:00,77,467879.13214,5
2023-04-05 22:00:00,77,467866.965501,5
2023-04-05 21:00:00,77,467855.292879,5
2023-04-05 20:00:00,77,467847.441919,5
2023-04-05 19:00:00,77,467849.691918,5
2023-04-05 18:00:00,77,467845.791342,5
2023-04-05 17:00:00,77,467840.81983,5
2023-04-05 16:00:00,77,467836.468879,5
2023-04-05 15:00:00,77,467868.256847,5
2023-04-05 14:00:00,77,467675.165896,5
2023-04-05 13:00:00,77,467664.606577,5
2023-04-05 12:00:00,77,467660.664436,5
2023-04-05 11:00:00,77,467660.199208,5
2023-04-05 10:00:00,77,467659.959208,5
2023-04-05 09:00:00,77,467659.509208,5
2023-04-05 08:00:00,77,467654.903628,5
2023-04-05 07:00:00,77,467647.518075,5
2023-04-05 06:00:00,77,467597.518075,5
2023-04-05 05:00:00,77,467597.518075,5
2023-04-05 04:00:00,77,467596.854161,5
2023-04-05 03:00:00,77,467596.323559,5
2023-04-05 02:00:00,77,467596.213559,5
2023-04-05 01:00:00,77,467596.192807,5
2023-04-05 00:00:00,77,467741.55895,5
2023-04-04 23:00:00,77,467741.16895,5
2023-04-04 22:00:00,77,467697.244838,5
2023-04-04 21:00:00,77,467694.668647,5
2023-04-04 20:00:00,77,467676.377156,5
2023-04-04 19:00:00,77,467672.409993,5
2023-04-04 18:00:00,77,467670.950387,5
2023-04-04 17:00:00,77,467660.229662,5
2023-04-04 16:00:00,77,467659.826875,5
2023-04-04 15:00:00,77,468097.810893,5
2023-04-04 14:00:00,77,468096.496885,5
2023-04-04 13:00:00,77,468096.496885,5
2023-04-04 12:00:00,77,468515.161806,5
2023-04-04 11:00:00,77,468511.578679,5
2023-04-04 10:00:00,77,468409.969399,5
2023-04-04 09:00:00,77,468409.638305,5
2023-04-04 08:00:00,77,468406.0277,5
2023-04-04 07:00:00,77,468405.686096,5
2023-04-04 06:00:00,77,468354.530356,5
2023-04-04 05:00:00,77,468354.477506,5
2023-04-04 04:00:00,77,468350.936206,5
2023-04-04 03:00:00,77,468347.296206,5
2023-04-04 02:00:00,77,468347.161868,5
2023-04-04 01:00:00,77,468326.977327,5
2023-04-04 00:00:00,77,468324.797317,5
2023-04-03 23:00:00,77,468336.816114,5
2023-04-03 22:00:00,77,468329.759703,5
2023-04-03 21:00:00,77,468322.980164,5
2023-04-03 20:00:00,77,468301.537334,5
2023-04-03 19:00:00,77,468303.674052,5
2023-04-03 18:00:00,78,454814.712414,5
2023-04-03 17:00:00,78,454807.947046,5
2023-04-03 16:00:00,78,454805.541278,5
2023-04-03 15:00:00,78,454778.107809,5
2023-04-03 14:00:00,78,454764.718353,5
2023-04-03 13:00:00,78,454755.726244,5
2023-04-03 12:00:00,78,454723.742787,5
2023-04-03 11:00:00,78,454642.29708,5
2023-04-03 10:00:00,78,454641.920416,5
2023-04-03 09:00:00,78,454641.891881,5
2023-04-03 08:00:00,78,454613.553643,5
2023-04-03 07:00:00,78,454600.965741,5
2023-04-03 06:00:00,78,454649.658232,5
2023-04-03 05:00:00,78,454593.410675,5
2023-04-03 04:00:00,78,454584.202076,5
2023-04-03 03:00:00,78,454609.850347,5
2023-04-03 02:00:00,78,454609.850347,5
2023-04-03 01:00:00,78,454607.218985,5
2023-04-03 00:00:00,78,454605.891178,5
2023-04-02 23:00:00,78,454589.613354,5
2023-04-02 22:00:00,78,454589.561992,5
2023-04-02 21:00:00,78,454489.349449,5
2023-04-02 20:00:00,78,454485.619015,5
2023-04-02 19:00:00,78,454477.741093,5
2023-04-02 18:00:00,78,454467.696372,5
2023-04-02 17:00:00,78,454500.783063,5
2023-04-02 16:00:00,78,454496.920983,5
2023-04-02 15:00:00,78,454494.220983,5
2023-04-02 14:00:00,78,454491.175069,5
2023-04-02 13:00:00,78,454490.909272,5
2023-04-02 12:00:00,78,454446.300169,5
2023-04-02 11:00:00,78,454456.166975,5
2023-04-02 10:00:00,78,454453.918825,5
2023-04-02 09:00:00,78,454378.470246,5
2023-04-02 08:00:00,78,454339.664929,5
2023-04-02 07:00:00,78,454337.464778,5
2023-04-02 06:00:00,78,454708.35269,5
2023-04-02 05:00:00,78,454707.492552,5
2023-04-02 04:00:00,78,454707.208266,5
2023-04-02 03:00:00,78,454684.265736,5
2023-04-02 02:00:00,78,454682.549656,5
2023-04-02 01:00:00,78,454682.143918,5
2023-04-02 00:00:00,78,454675.302723,5
2023-04-01 23:00:00,78,454669.115982,5
2023-04-01 22:00:00,78,454668.649008,5
2023-04-01 21:00:00,78,454666.025315,5
2023-04-01 20:00:00,78,454468.383661,5
2023-04-01 19:00:00,78,454467.972425,5
2023-04-01 18:00:00,78,454467.769367,5
2023-04-01 17:00:00,78,454465.845406,5
2023-04-01 16:00:00,78,454719.90571,5
2023-04-01 15:00:00,78,454706.871911,5
2023-04-01 14:00:00,78,454666.142009,5
2023-04-01 13:00:00,78,454662.849948,5
2023-04-01 12:00:00,78,454587.641027,5
2023-04-01 11:00:00,78,454584.466137,5
2023-04-01 10:00:00,78,454583.228875,5
2023-04-01 09:00:00,78,454576.716106,5
2023-04-01 08:00:00,78,454564.772135,5
2023-04-01 07:00:00,78,454562.772135,5
2023-04-01 06:00:00,78,454553.000008,5
2023-04-01 05:00:00,78,454544.32053,5
2023-04-01 04:00:00,78,454543.859877,5
2023-04-01 03:00:00,78,454543.634598,5
2023-04-01 02:00:00,78,454542.727868,5
2023-04-01 01:00:00,78,454542.505698,5
2023-04-01 00:00:00,78,454541.634003,5
