timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,81,464470.799202,10
2023-04-13 12:00:00,82,464470.514422,10
2023-04-13 00:00:00,82,464470.455566,10
2023-04-12 12:00:00,82,464332.783851,10
2023-04-12 00:00:00,82,464332.075526,10
2023-04-11 12:00:00,82,464331.953994,10
2023-04-11 08:00:00,82,464331.165362,10
2023-04-11 07:00:00,82,464331.165362,10
2023-04-11 06:00:00,82,464331.165362,10
2023-04-11 05:00:00,82,464331.0169,10
2023-04-11 04:00:00,82,464331.0169,10
2023-04-11 03:00:00,82,464331.0169,10
2023-04-11 02:00:00,82,464331.0169,10
2023-04-11 01:00:00,82,464331.0169,10
2023-04-11 00:00:00,82,464331.0169,10
2023-04-10 23:00:00,82,464331.0169,10
2023-04-10 22:00:00,82,464331.0169,10
2023-04-10 21:00:00,82,464331.00544,10
2023-04-10 20:00:00,82,464330.732586,10
2023-04-10 19:00:00,82,464330.732586,10
2023-04-10 18:00:00,82,464330.732586,10
2023-04-10 17:00:00,82,464330.732586,10
2023-04-10 16:00:00,82,464330.732532,10
2023-04-10 15:00:00,82,464330.73199,10
2023-04-10 14:00:00,82,464330.73199,10
2023-04-10 13:00:00,82,464330.723807,10
2023-04-10 12:00:00,82,464330.723807,10
2023-04-10 11:00:00,82,464330.723807,10
2023-04-10 10:00:00,82,464330.723807,10
2023-04-10 09:00:00,82,464330.723807,10
2023-04-10 08:00:00,82,464330.721079,10
2023-04-10 07:00:00,82,464330.718642,10
2023-04-10 06:00:00,82,464330.718642,10
2023-04-10 05:00:00,82,464330.718642,10
2023-04-10 04:00:00,82,464330.718642,10
2023-04-10 03:00:00,82,464330.718642,10
2023-04-10 02:00:00,82,464330.718642,10
2023-04-10 01:00:00,82,464330.718642,10
2023-04-10 00:00:00,82,464330.718642,10
2023-04-09 23:00:00,82,464330.718642,10
2023-04-09 22:00:00,82,464330.705,10
2023-04-09 21:00:00,82,464329.91806,10
2023-04-09 20:00:00,82,464329.91806,10
2023-04-09 19:00:00,82,464329.906882,10
2023-04-09 18:00:00,82,464329.890512,10
2023-04-09 17:00:00,82,464329.890512,10
2023-04-09 16:00:00,82,464329.890512,10
2023-04-09 15:00:00,82,464329.890404,10
2023-04-09 14:00:00,82,464329.890399,10
2023-04-09 13:00:00,82,464329.890399,10
2023-04-09 12:00:00,82,464329.890399,10
2023-04-09 11:00:00,82,464329.866249,10
2023-04-09 10:00:00,82,464329.84129,10
2023-04-09 09:00:00,82,464329.839127,10
2023-04-09 08:00:00,82,464329.839127,10
2023-04-09 07:00:00,82,464329.83538,10
2023-04-09 06:00:00,82,464329.83538,10
2023-04-09 05:00:00,82,464329.823167,10
2023-04-09 04:00:00,82,464329.768311,10
2023-04-09 03:00:00,82,464329.768311,10
2023-04-09 02:00:00,82,464329.75734,10
2023-04-09 01:00:00,82,464329.75734,10
2023-04-09 00:00:00,82,464329.75734,10
2023-04-08 23:00:00,82,464329.754598,10
2023-04-08 22:00:00,82,464329.754598,10
2023-04-08 21:00:00,82,464329.745252,10
2023-04-08 20:00:00,82,464329.745252,10
2023-04-08 19:00:00,82,464329.712294,10
2023-04-08 18:00:00,82,464329.711954,10
2023-04-08 17:00:00,82,464329.706469,10
2023-04-08 16:00:00,82,464329.634546,10
2023-04-08 15:00:00,82,464329.256072,10
2023-04-08 14:00:00,82,464329.256072,10
2023-04-08 13:00:00,82,464328.433417,10
2023-04-08 12:00:00,82,464328.427933,10
2023-04-08 11:00:00,82,464328.41148,10
2023-04-08 10:00:00,82,464328.407408,10
2023-04-08 09:00:00,82,464328.407408,10
2023-04-08 08:00:00,82,464328.259011,10
2023-04-08 07:00:00,82,464327.903647,10
2023-04-08 06:00:00,82,464327.881593,10
2023-04-08 05:00:00,82,464327.842658,10
2023-04-08 04:00:00,82,464327.842658,10
2023-04-08 03:00:00,82,464327.842658,10
2023-04-08 02:00:00,82,464327.842658,10
2023-04-08 01:00:00,82,464327.842658,10
2023-04-08 00:00:00,82,464327.842658,10
2023-04-07 23:00:00,82,464327.842658,10
2023-04-07 22:00:00,82,464327.674224,10
2023-04-07 21:00:00,82,464327.674224,10
2023-04-07 20:00:00,82,464327.674224,10
2023-04-07 19:00:00,82,464327.674224,10
2023-04-07 18:00:00,82,464327.674224,10
2023-04-07 17:00:00,82,464327.674224,10
2023-04-07 16:00:00,82,464327.674224,10
2023-04-07 15:00:00,82,464327.674224,10
2023-04-07 14:00:00,82,464327.674224,10
2023-04-07 13:00:00,82,464327.674224,10
2023-04-07 12:00:00,82,464327.674224,10
2023-04-07 11:00:00,82,464327.674224,10
2023-04-07 10:00:00,82,464327.674224,10
2023-04-07 09:00:00,82,464327.674224,10
2023-04-07 08:00:00,82,464327.674224,10
2023-04-07 07:00:00,82,464327.674224,10
2023-04-07 06:00:00,82,464327.674224,10
2023-04-07 05:00:00,82,464327.674224,10
2023-04-07 04:00:00,82,464327.674224,10
2023-04-07 03:00:00,82,464327.674224,10
2023-04-07 02:00:00,82,464327.674224,10
2023-04-07 01:00:00,82,464327.674224,10
2023-04-07 00:00:00,82,464327.674224,10
2023-04-06 23:00:00,82,464327.674224,10
2023-04-06 22:00:00,82,464327.668742,10
2023-04-06 21:00:00,82,464327.109533,10
2023-04-06 20:00:00,82,464326.932366,10
2023-04-06 19:00:00,79,464326.932366,10
2023-04-06 18:00:00,79,464326.932366,10
2023-04-06 17:00:00,79,464326.01234,10
2023-04-06 16:00:00,79,464325.803638,10
2023-04-06 15:00:00,79,464325.77592,10
2023-04-06 14:00:00,79,464325.77592,10
2023-04-06 13:00:00,79,464325.77592,10
2023-04-06 12:00:00,79,464325.77592,10
2023-04-06 11:00:00,79,464325.77592,10
2023-04-06 10:00:00,79,464325.770229,10
2023-04-06 09:00:00,79,464325.75404,10
2023-04-06 08:00:00,79,464325.741845,10
2023-04-06 07:00:00,79,464325.741845,10
2023-04-06 06:00:00,79,464325.603258,10
2023-04-06 05:00:00,79,464325.521896,10
2023-04-06 04:00:00,79,464325.521896,10
2023-04-06 03:00:00,79,464325.521896,10
2023-04-06 02:00:00,79,464325.521896,10
2023-04-06 01:00:00,79,464325.521896,10
2023-04-06 00:00:00,78,464325.521896,10
2023-04-05 23:00:00,78,464325.521896,10
2023-04-05 22:00:00,78,464325.521896,10
2023-04-05 21:00:00,78,464325.521896,10
2023-04-05 20:00:00,78,464325.521896,10
2023-04-05 19:00:00,78,464325.521896,10
2023-04-05 18:00:00,78,464325.521896,10
2023-04-05 17:00:00,78,464325.521896,10
2023-04-05 16:00:00,78,464325.521896,10
2023-04-05 15:00:00,78,464325.521896,10
