timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,84,424190.013957,10
2023-04-13 12:00:00,85,424189.747303,10
2023-04-13 00:00:00,85,424189.687446,10
2023-04-12 12:00:00,85,424049.676783,10
2023-04-12 00:00:00,85,424048.956389,10
2023-04-11 12:00:00,85,424048.808311,10
2023-04-11 08:00:00,85,424047.072915,10
2023-04-11 07:00:00,85,424047.072915,10
2023-04-11 06:00:00,85,424047.072915,10
2023-04-11 05:00:00,85,424046.921914,10
2023-04-11 04:00:00,85,424046.921914,10
2023-04-11 03:00:00,85,424046.921914,10
2023-04-11 02:00:00,85,424046.921914,10
2023-04-11 01:00:00,85,424046.921914,10
2023-04-11 00:00:00,85,424046.921914,10
2023-04-10 23:00:00,85,424046.921914,10
2023-04-10 22:00:00,85,424046.921914,10
2023-04-10 21:00:00,85,424046.910258,10
2023-04-10 20:00:00,85,424046.632735,10
2023-04-10 19:00:00,85,424046.632735,10
2023-04-10 18:00:00,85,424046.632735,10
2023-04-10 17:00:00,85,424046.632735,10
2023-04-10 16:00:00,85,424046.63268,10
2023-04-10 15:00:00,85,424046.632129,10
2023-04-10 14:00:00,85,424046.632129,10
2023-04-10 13:00:00,85,424046.623806,10
2023-04-10 12:00:00,85,424046.623806,10
2023-04-10 11:00:00,85,424046.623806,10
2023-04-10 10:00:00,85,424046.623806,10
2023-04-10 09:00:00,85,424046.623806,10
2023-04-10 08:00:00,85,424046.621031,10
2023-04-10 07:00:00,85,424045.618552,10
2023-04-10 06:00:00,85,424045.618552,10
2023-04-10 05:00:00,85,424045.618552,10
2023-04-10 04:00:00,85,424045.618552,10
2023-04-10 03:00:00,85,424045.618552,10
2023-04-10 02:00:00,85,424045.618552,10
2023-04-10 01:00:00,85,424045.618552,10
2023-04-10 00:00:00,85,424045.618552,10
2023-04-09 23:00:00,85,424045.618552,10
2023-04-09 22:00:00,85,424045.604676,10
2023-04-09 21:00:00,85,424044.80427,10
2023-04-09 20:00:00,85,424044.80427,10
2023-04-09 19:00:00,85,424044.792901,10
2023-04-09 18:00:00,85,424044.77625,10
2023-04-09 17:00:00,85,424044.77625,10
2023-04-09 16:00:00,85,424044.77625,10
2023-04-09 15:00:00,85,424044.77614,10
2023-04-09 14:00:00,85,424044.776135,10
2023-04-09 13:00:00,85,424044.776135,10
2023-04-09 12:00:00,85,424044.776135,10
2023-04-09 11:00:00,85,424044.751569,10
2023-04-09 10:00:00,85,424044.72618,10
2023-04-09 09:00:00,85,424044.72398,10
2023-04-09 08:00:00,85,424044.72398,10
2023-04-09 07:00:00,85,424044.720168,10
2023-04-09 06:00:00,85,424044.720168,10
2023-04-09 05:00:00,85,424044.707744,10
2023-04-09 04:00:00,85,424044.651943,10
2023-04-09 03:00:00,85,424044.651943,10
2023-04-09 02:00:00,85,424044.640783,10
2023-04-09 01:00:00,85,424044.640783,10
2023-04-09 00:00:00,85,424044.640783,10
2023-04-08 23:00:00,85,424044.637993,10
2023-04-08 22:00:00,85,424044.637993,10
2023-04-08 21:00:00,85,424044.628486,10
2023-04-08 20:00:00,85,424044.628486,10
2023-04-08 19:00:00,85,424044.59496,10
2023-04-08 18:00:00,85,424044.594614,10
2023-04-08 17:00:00,85,424044.589034,10
2023-04-08 16:00:00,85,424044.515871,10
2023-04-08 15:00:00,85,424044.130867,10
2023-04-08 14:00:00,85,424044.130867,10
2023-04-08 13:00:00,85,424043.293989,10
2023-04-08 12:00:00,85,424043.28841,10
2023-04-08 11:00:00,85,424043.271673,10
2023-04-08 10:00:00,85,424043.26753,10
2023-04-08 09:00:00,85,424043.26753,10
2023-04-08 08:00:00,85,424043.117328,10
2023-04-08 07:00:00,85,424042.757639,10
2023-04-08 06:00:00,85,424042.735316,10
2023-04-08 05:00:00,85,424042.695758,10
2023-04-08 04:00:00,85,424042.695758,10
2023-04-08 03:00:00,85,424042.695758,10
2023-04-08 02:00:00,85,424020.695758,10
2023-04-08 01:00:00,85,424020.695758,10
2023-04-08 00:00:00,85,424020.695758,10
2023-04-07 23:00:00,85,424020.695758,10
2023-04-07 22:00:00,85,424020.524386,10
2023-04-07 21:00:00,85,424020.524386,10
2023-04-07 20:00:00,85,424020.524386,10
2023-04-07 19:00:00,85,424020.524386,10
2023-04-07 18:00:00,85,424020.524386,10
2023-04-07 17:00:00,85,424020.524386,10
2023-04-07 16:00:00,85,424020.524386,10
2023-04-07 15:00:00,85,424020.524386,10
2023-04-07 14:00:00,85,424020.524386,10
2023-04-07 13:00:00,85,424020.421897,10
2023-04-07 12:00:00,85,424019.891897,10
2023-04-07 11:00:00,85,424019.891897,10
2023-04-07 10:00:00,85,424019.891897,10
2023-04-07 09:00:00,85,424019.891897,10
2023-04-07 08:00:00,85,424019.891897,10
2023-04-07 07:00:00,85,424019.891897,10
2023-04-07 06:00:00,85,424019.891897,10
2023-04-07 05:00:00,85,424019.891897,10
2023-04-07 04:00:00,85,424019.891897,10
2023-04-07 03:00:00,85,424019.891897,10
2023-04-07 02:00:00,85,424019.891897,10
2023-04-07 01:00:00,85,424019.891897,10
2023-04-07 00:00:00,85,424019.891897,10
2023-04-06 23:00:00,85,424019.891897,10
2023-04-06 22:00:00,85,424019.88632,10
2023-04-06 21:00:00,85,424019.317425,10
2023-04-06 20:00:00,85,424019.137117,10
2023-04-06 19:00:00,83,424019.137117,10
2023-04-06 18:00:00,83,424019.137117,10
2023-04-06 17:00:00,83,424018.201131,10
2023-04-06 16:00:00,83,424017.988785,10
2023-04-06 15:00:00,83,424017.960583,10
2023-04-06 14:00:00,83,424017.960583,10
2023-04-06 13:00:00,83,424017.960583,10
2023-04-06 12:00:00,83,424017.960583,10
2023-04-06 11:00:00,83,424017.960583,10
2023-04-06 10:00:00,83,424017.954793,10
2023-04-06 09:00:00,83,424017.938321,10
2023-04-06 08:00:00,83,424017.925913,10
2023-04-06 07:00:00,83,424017.925913,10
2023-04-06 06:00:00,83,424017.813106,10
2023-04-06 05:00:00,83,424017.702121,10
2023-04-06 04:00:00,83,424017.702121,10
2023-04-06 03:00:00,83,424017.702121,10
2023-04-06 02:00:00,83,424017.702121,10
2023-04-06 01:00:00,83,424017.702121,10
2023-04-06 00:00:00,83,424017.702121,10
2023-04-05 23:00:00,83,424017.702121,10
2023-04-05 22:00:00,83,424017.702121,10
2023-04-05 21:00:00,83,424017.702121,10
2023-04-05 20:00:00,83,424017.702121,10
2023-04-05 19:00:00,83,424017.702121,10
2023-04-05 18:00:00,83,424017.702121,10
2023-04-05 17:00:00,83,424017.702121,10
2023-04-05 16:00:00,83,424017.702121,10
2023-04-05 15:00:00,83,424017.702121,10
2023-04-05 14:00:00,83,424017.702121,10
2023-04-05 13:00:00,83,424015.802121,10
2023-04-05 12:00:00,83,424015.786132,10
2023-04-05 11:00:00,83,424015.648979,10
2023-04-05 10:00:00,83,424015.648979,10
2023-04-05 09:00:00,83,424015.648979,10
2023-04-05 08:00:00,83,424015.648979,10
2023-04-05 07:00:00,83,424015.648979,10
2023-04-05 06:00:00,83,424015.648979,10
2023-04-05 05:00:00,83,424015.648979,10
2023-04-05 04:00:00,83,424015.648979,10
2023-04-05 03:00:00,83,424015.648979,10
2023-04-05 02:00:00,83,424015.648979,10
2023-04-05 01:00:00,83,424015.648979,10
2023-04-05 00:00:00,83,424015.648979,10
2023-04-04 23:00:00,83,424015.648979,10
2023-04-04 22:00:00,83,424015.632058,10
2023-04-04 21:00:00,83,424015.632058,10
2023-04-04 20:00:00,83,424015.632058,10
2023-04-04 19:00:00,83,424015.632058,10
2023-04-04 18:00:00,83,424015.632058,10
2023-04-04 17:00:00,82,424015.632058,10
2023-04-04 16:00:00,82,424015.598208,10
2023-04-04 15:00:00,82,424015.598208,10
2023-04-04 14:00:00,82,424015.585621,10
2023-04-04 13:00:00,82,424015.585621,10
2023-04-04 12:00:00,82,424015.573774,10
2023-04-04 11:00:00,82,424015.572317,10
2023-04-04 10:00:00,82,424015.53576,10
2023-04-04 09:00:00,82,424015.498356,10
2023-04-04 08:00:00,82,424015.354752,10
2023-04-04 07:00:00,82,424015.354752,10
2023-04-04 06:00:00,82,424015.298018,10
2023-04-04 05:00:00,82,424015.245168,10
2023-04-04 04:00:00,82,424015.245168,10
2023-04-04 03:00:00,82,424015.245168,10
2023-04-04 02:00:00,82,424015.22083,10
2023-04-04 01:00:00,82,424015.22083,10
2023-04-04 00:00:00,82,424015.013411,10
2023-04-03 23:00:00,82,424015.013411,10
2023-04-03 22:00:00,82,424014.957,10
2023-04-03 21:00:00,82,424014.957,10
2023-04-03 20:00:00,82,424014.93417,10
2023-04-03 19:00:00,82,424014.93417,10
2023-04-03 18:00:00,82,424014.93417,10
2023-04-03 17:00:00,82,424014.93417,10
2023-04-03 16:00:00,82,424014.912319,10
2023-04-03 15:00:00,82,424014.368966,10
2023-04-03 14:00:00,82,424014.340429,10
2023-04-03 13:00:00,82,424014.251039,10
2023-04-03 12:00:00,82,424013.769918,10
2023-04-03 11:00:00,82,424013.764211,10
2023-04-03 10:00:00,82,424013.387547,10
2023-04-03 09:00:00,82,424013.359012,10
2023-04-03 08:00:00,82,424013.359012,10
2023-04-03 07:00:00,82,424013.347598,10
2023-04-03 06:00:00,82,424013.347598,10
2023-04-03 05:00:00,82,424013.310041,10
2023-04-03 04:00:00,82,424013.223685,10
2023-04-03 03:00:00,82,424013.196741,10
2023-04-03 02:00:00,82,424013.196741,10
2023-04-03 01:00:00,82,424013.177252,10
2023-04-03 00:00:00,82,424013.154695,10
2023-04-02 23:00:00,82,424013.154695,10
2023-04-02 22:00:00,82,424013.103333,10
2023-04-02 21:00:00,82,424013.09079,10
2023-04-02 20:00:00,82,424013.008173,10
2023-04-02 19:00:00,82,424012.520251,10
2023-04-02 18:00:00,82,424012.515571,10
2023-04-02 17:00:00,82,424012.359934,10
2023-04-02 16:00:00,82,424012.247442,10
2023-04-02 15:00:00,82,424012.247442,10
2023-04-02 14:00:00,82,424012.230323,10
2023-04-02 13:00:00,82,424012.229855,10
2023-04-02 12:00:00,82,424012.229855,10
2023-04-02 11:00:00,82,424012.227916,10
2023-04-02 10:00:00,82,424012.227916,10
2023-04-02 09:00:00,82,424012.219778,10
2023-04-02 08:00:00,82,424011.713493,10
2023-04-02 07:00:00,82,424011.675334,10
2023-04-02 06:00:00,82,424011.675334,10
2023-04-02 05:00:00,82,424011.672735,10
2023-04-02 04:00:00,82,424011.65847,10
2023-04-02 03:00:00,82,424011.51844,10
2023-04-02 02:00:00,82,424011.513876,10
2023-04-02 01:00:00,82,424011.508456,10
2023-04-02 00:00:00,82,424011.508456,10
2023-04-01 23:00:00,82,424011.326718,10
2023-04-01 22:00:00,82,424011.209744,10
2023-04-01 21:00:00,82,424011.178257,10
2023-04-01 20:00:00,82,424011.178257,10
2023-04-01 19:00:00,82,424011.154007,10
2023-04-01 18:00:00,82,424011.094113,10
2023-04-01 17:00:00,82,424011.094113,10
2023-04-01 16:00:00,82,424010.90867,10
2023-04-01 15:00:00,82,424010.901866,10
2023-04-01 14:00:00,82,424010.343642,10
2023-04-01 13:00:00,82,424010.343642,10
2023-04-01 12:00:00,82,424010.331662,10
2023-04-01 11:00:00,82,424010.285949,10
2023-04-01 10:00:00,82,424010.113225,10
2023-04-01 09:00:00,82,424010.096109,10
2023-04-01 08:00:00,82,424010.087031,10
2023-04-01 07:00:00,82,424010.087031,10
2023-04-01 06:00:00,82,424010.069345,10
2023-04-01 05:00:00,82,424010.066493,10
2023-04-01 04:00:00,82,424010.06441,10
2023-04-01 03:00:00,82,424010.037233,10
2023-04-01 02:00:00,82,424009.921001,10
2023-04-01 01:00:00,82,424009.908831,10
2023-04-01 00:00:00,82,424009.511454,10
2023-03-31 23:00:00,82,424009.511454,10
2023-03-31 22:00:00,82,424009.30036,10
2023-03-31 21:00:00,82,424009.165834,10
2023-03-31 20:00:00,82,424008.81968,10
2023-03-31 19:00:00,82,424008.581781,10
2023-03-31 18:00:00,82,424008.546922,10
2023-03-31 17:00:00,82,424007.809835,10
2023-03-31 16:00:00,82,424007.741952,10
2023-03-31 15:00:00,82,424007.693465,10
2023-03-31 14:00:00,82,424007.617638,10
2023-03-31 13:00:00,82,424007.608217,10
2023-03-31 12:00:00,82,424007.512799,10
2023-03-31 11:00:00,82,424007.226788,10
2023-03-31 10:00:00,82,423997.232988,10
2023-03-31 09:00:00,82,423983.423979,10
2023-03-31 08:00:00,82,423983.364085,10
2023-03-31 07:00:00,82,423982.979633,10
2023-03-31 06:00:00,82,423976.981089,10
2023-03-31 05:00:00,82,423976.812988,10
2023-03-31 04:00:00,82,423976.812988,10
2023-03-31 03:00:00,82,423976.728925,10
2023-03-31 02:00:00,82,423976.720365,10
2023-03-31 01:00:00,82,423976.690719,10
2023-03-31 00:00:00,82,423976.679317,10
2023-03-30 23:00:00,82,423976.679317,10
2023-03-30 22:00:00,82,423976.626057,10
2023-03-30 21:00:00,82,423976.556811,10
2023-03-30 20:00:00,82,423976.526026,10
2023-03-30 19:00:00,82,423976.489364,10
2023-03-30 18:00:00,82,423976.452628,10
2023-03-30 17:00:00,82,423976.405881,10
2023-03-30 16:00:00,82,423976.331893,10
2023-03-30 15:00:00,82,423976.322913,10
2023-03-30 14:00:00,82,423976.322913,10
2023-03-30 13:00:00,82,423976.073039,10
2023-03-30 12:00:00,82,423976.073039,10
2023-03-30 11:00:00,82,423976.052152,10
2023-03-30 10:00:00,82,423976.045198,10
2023-03-30 09:00:00,82,423976.028381,10
2023-03-30 08:00:00,82,423976.028381,10
2023-03-30 07:00:00,82,423975.866506,10
2023-03-30 06:00:00,82,423975.748735,10
2023-03-30 05:00:00,82,423975.748735,10
2023-03-30 04:00:00,82,423975.741736,10
2023-03-30 03:00:00,82,423975.731462,10
2023-03-30 02:00:00,82,423975.46261,10
2023-03-30 01:00:00,82,423975.46261,10
2023-03-30 00:00:00,82,423975.397639,10
2023-03-29 23:00:00,82,423975.397639,10
2023-03-29 22:00:00,82,423975.372836,10
2023-03-29 21:00:00,82,423975.310798,10
2023-03-29 20:00:00,82,423975.281157,10
2023-03-29 19:00:00,82,423974.931617,10
2023-03-29 18:00:00,82,423974.890605,10
2023-03-29 17:00:00,82,423974.440094,10
2023-03-29 16:00:00,82,423974.314385,10
2023-03-29 15:00:00,82,423973.193219,10
2023-03-29 14:00:00,82,423970.920421,10
2023-03-29 13:00:00,82,423970.287788,10
2023-03-29 12:00:00,82,423967.987036,10
2023-03-29 11:00:00,82,423967.987036,10
2023-03-29 10:00:00,82,423965.574187,10
2023-03-29 09:00:00,82,423965.574187,10
2023-03-29 08:00:00,82,423965.557895,10
2023-03-29 07:00:00,82,423965.543026,10
2023-03-29 06:00:00,82,423965.543026,10
2023-03-29 05:00:00,82,423965.47466,10
2023-03-29 04:00:00,82,423965.258171,10
2023-03-29 03:00:00,82,423965.252474,10
2023-03-29 02:00:00,82,423949.39153,10
2023-03-29 01:00:00,82,423949.387475,10
2023-03-29 00:00:00,82,423949.379364,10
2023-03-28 23:00:00,82,423949.373667,10
2023-03-28 22:00:00,82,423949.373667,10
2023-03-28 21:00:00,82,423949.36797,10
2023-03-28 20:00:00,82,423948.850483,10
2023-03-28 19:00:00,82,423948.850483,10
2023-03-28 18:00:00,82,423946.014124,10
2023-03-28 17:00:00,82,423945.019661,10
2023-03-28 16:00:00,82,423944.951321,10
2023-03-28 15:00:00,82,423944.931659,10
2023-03-28 14:00:00,82,423944.869642,10
2023-03-28 13:00:00,82,423944.865371,10
2023-03-28 12:00:00,82,423944.856209,10
2023-03-28 11:00:00,82,423944.856209,10
2023-03-28 10:00:00,82,423944.758845,10
2023-03-28 09:00:00,82,423944.742236,10
2023-03-28 08:00:00,82,423944.510765,10
2023-03-28 07:00:00,82,423944.510765,10
2023-03-28 06:00:00,82,423944.508454,10
2023-03-28 05:00:00,82,423944.508454,10
2023-03-28 04:00:00,82,423944.505591,10
2023-03-28 03:00:00,82,423944.469781,10
2023-03-28 02:00:00,82,423944.469781,10
2023-03-28 01:00:00,82,423944.413401,10
2023-03-28 00:00:00,82,423944.413401,10
2023-03-27 23:00:00,82,423944.368894,10
2023-03-27 22:00:00,82,423944.364617,10
2023-03-27 21:00:00,82,423944.354997,10
2023-03-27 20:00:00,82,423944.334599,10
2023-03-27 19:00:00,82,423944.334599,10
2023-03-27 18:00:00,82,423944.334599,10
2023-03-27 17:00:00,82,423944.217539,10
2023-03-27 16:00:00,82,423944.179168,10
2023-03-27 15:00:00,82,423944.179168,10
2023-03-27 14:00:00,82,423944.169863,10
2023-03-27 13:00:00,82,423944.156837,10
2023-03-27 12:00:00,82,423944.068324,10
2023-03-27 11:00:00,82,423944.05129,10
2023-03-27 10:00:00,82,423944.03626,10
2023-03-27 09:00:00,82,423943.974555,10
2023-03-27 08:00:00,82,423943.851999,10
2023-03-27 07:00:00,82,423943.824566,10
2023-03-27 06:00:00,82,423943.743101,10
2023-03-27 05:00:00,82,423943.604653,10
2023-03-27 04:00:00,82,423943.604653,10
2023-03-27 03:00:00,82,423943.604653,10
2023-03-27 02:00:00,82,423943.502636,10
2023-03-27 01:00:00,82,423943.490029,10
2023-03-27 00:00:00,82,423943.422181,10
2023-03-26 23:00:00,82,423943.407865,10
2023-03-26 22:00:00,82,423943.367777,10
2023-03-26 21:00:00,82,423943.333417,10
2023-03-26 20:00:00,82,423943.321335,10
2023-03-26 19:00:00,82,423943.321335,10
2023-03-26 18:00:00,82,423943.29497,10
2023-03-26 17:00:00,82,423943.12258,10
2023-03-26 16:00:00,82,423943.108893,10
2023-03-26 15:00:00,82,423943.104885,10
2023-03-26 14:00:00,82,423943.104885,10
2023-03-26 13:00:00,81,426489.73565,10
2023-03-26 12:00:00,81,426489.73489,10
2023-03-26 11:00:00,81,426489.643264,10
2023-03-26 10:00:00,81,426489.56347,10
2023-03-26 09:00:00,81,426489.04041,10
2023-03-26 08:00:00,81,426488.915003,10
2023-03-26 07:00:00,81,426488.915003,10
2023-03-26 06:00:00,81,426488.737003,10
2023-03-26 05:00:00,81,426488.736356,10
2023-03-26 04:00:00,81,426488.736356,10
2023-03-26 03:00:00,81,426488.736356,10
2023-03-26 02:00:00,81,426488.736356,10
