timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,88,415397.973951,5
2023-04-13 12:00:00,91,413451.276987,5
2023-04-13 00:00:00,91,411804.285646,5
2023-04-12 12:00:00,91,410483.257787,5
2023-04-12 00:00:00,91,410427.152379,5
2023-04-11 12:00:00,91,410206.339247,5
2023-04-11 08:00:00,91,410098.839877,5
2023-04-11 07:00:00,91,410098.839877,5
2023-04-11 06:00:00,91,410003.485116,5
2023-04-11 05:00:00,91,409995.776357,5
2023-04-11 04:00:00,91,409975.776357,5
2023-04-11 03:00:00,91,409975.776357,5
2023-04-11 02:00:00,91,409975.776357,5
2023-04-11 01:00:00,91,409892.091275,5
2023-04-11 00:00:00,92,409839.541275,5
2023-04-10 23:00:00,92,409831.191275,5
2023-04-10 22:00:00,91,410220.121488,5
2023-04-10 21:00:00,91,410220.109836,5
2023-04-10 20:00:00,91,410219.832396,5
2023-04-10 19:00:00,91,410216.824758,5
2023-04-10 18:00:00,91,410084.191912,5
2023-04-10 17:00:00,91,410076.136695,5
2023-04-10 16:00:00,91,410075.47664,5
2023-04-10 15:00:00,91,410071.531334,5
2023-04-10 14:00:00,91,410071.531334,5
2023-04-10 13:00:00,91,410014.874518,5
2023-04-10 12:00:00,91,410005.464908,5
2023-04-10 11:00:00,91,410011.464908,5
2023-04-10 10:00:00,91,410011.464908,5
2023-04-10 09:00:00,91,410011.464908,5
2023-04-10 08:00:00,91,410009.078252,5
2023-04-10 07:00:00,91,409993.472512,5
2023-04-10 06:00:00,91,409989.472512,5
2023-04-10 05:00:00,91,409978.538051,5
2023-04-10 04:00:00,91,409978.538051,5
2023-04-10 03:00:00,91,409978.532336,5
2023-04-10 02:00:00,91,409928.432336,5
2023-04-10 01:00:00,91,409917.179223,5
2023-04-10 00:00:00,91,409801.465597,5
2023-04-09 23:00:00,91,409800.819298,5
2023-04-09 22:00:00,91,409799.805427,5
2023-04-09 21:00:00,91,409798.289263,5
2023-04-09 20:00:00,91,409795.763941,5
2023-04-09 19:00:00,91,409771.307351,5
2023-04-09 18:00:00,91,409771.290706,5
2023-04-09 17:00:00,91,409742.1424,5
2023-04-09 16:00:00,91,409742.1424,5
2023-04-09 15:00:00,91,409790.7796,5
2023-04-09 14:00:00,91,409790.779595,5
2023-04-09 13:00:00,91,409790.779595,5
2023-04-09 12:00:00,91,409806.520603,5
2023-04-09 11:00:00,91,409806.496045,5
2023-04-09 10:00:00,91,409806.470664,5
2023-04-09 09:00:00,91,409806.468464,5
2023-04-09 08:00:00,91,409806.468464,5
2023-04-09 07:00:00,91,409805.184654,5
2023-04-09 06:00:00,91,409679.979994,5
2023-04-09 05:00:00,91,409679.947575,5
2023-04-09 04:00:00,91,409679.891791,5
2023-04-09 03:00:00,91,409679.891791,5
2023-04-09 02:00:00,91,409729.580635,5
2023-04-09 01:00:00,91,409722.580635,5
2023-04-09 00:00:00,91,409299.664213,5
2023-04-08 23:00:00,91,409299.31073,5
2023-04-08 22:00:00,91,409299.31073,5
2023-04-08 21:00:00,91,409299.301226,5
2023-04-08 20:00:00,91,409299.228702,5
2023-04-08 19:00:00,91,409276.836931,5
2023-04-08 18:00:00,91,409296.836585,5
2023-04-08 17:00:00,91,409258.684943,5
2023-04-08 16:00:00,91,409280.896314,5
2023-04-08 15:00:00,91,409279.857655,5
2023-04-08 14:00:00,91,409279.857655,5
2023-04-08 13:00:00,92,409228.021032,5
2023-04-08 12:00:00,92,409174.334415,5
2023-04-08 11:00:00,92,409170.277625,5
2023-04-08 10:00:00,92,409170.273483,5
2023-04-08 09:00:00,91,409320.684483,5
2023-04-08 08:00:00,91,409314.04059,5
2023-04-08 07:00:00,91,409287.639894,5
2023-04-08 06:00:00,91,409287.303788,5
2023-04-08 05:00:00,91,409352.264242,5
2023-04-08 04:00:00,91,409352.264242,5
2023-04-08 03:00:00,91,409352.264242,5
2023-04-08 02:00:00,91,409334.788751,5
2023-04-08 01:00:00,91,409320.030751,5
2023-04-08 00:00:00,92,407854.087238,5
2023-04-07 23:00:00,92,407853.087238,5
2023-04-07 22:00:00,92,407852.915918,5
2023-04-07 21:00:00,92,407811.368677,5
2023-04-07 20:00:00,92,407801.351112,5
2023-04-07 19:00:00,92,407862.497005,5
2023-04-07 18:00:00,92,409038.779608,5
2023-04-07 17:00:00,92,409038.686523,5
2023-04-07 16:00:00,92,408986.088982,5
2023-04-07 15:00:00,92,408983.088982,5
2023-04-07 14:00:00,92,408982.088982,5
2023-04-07 13:00:00,92,408958.55238,5
2023-04-07 12:00:00,91,409337.435664,5
2023-04-07 11:00:00,91,409335.987098,5
2023-04-07 10:00:00,91,409347.807098,5
2023-04-07 09:00:00,91,409347.807098,5
2023-04-07 08:00:00,91,409341.807098,5
2023-04-07 07:00:00,91,409326.147602,5
2023-04-07 06:00:00,91,409326.147602,5
2023-04-07 05:00:00,91,409356.223267,5
2023-04-07 04:00:00,92,409356.14555,5
2023-04-07 03:00:00,92,409344.957462,5
2023-04-07 02:00:00,92,409344.957462,5
2023-04-07 01:00:00,92,409191.114825,5
2023-04-07 00:00:00,92,409191.114825,5
2023-04-06 23:00:00,92,409191.114825,5
2023-04-06 22:00:00,92,409284.59349,5
2023-04-06 21:00:00,92,409284.024768,5
2023-04-06 20:00:00,92,409283.646876,5
2023-04-06 19:00:00,87,409252.082669,5
2023-04-06 18:00:00,87,409230.208026,5
2023-04-06 17:00:00,87,409291.319444,5
2023-04-06 16:00:00,87,409291.107163,5
2023-04-06 15:00:00,87,408777.738378,5
2023-04-06 14:00:00,87,408776.241218,5
2023-04-06 13:00:00,87,408283.38368,5
2023-04-06 12:00:00,87,408280.036564,5
2023-04-06 11:00:00,87,408280.036564,5
2023-04-06 10:00:00,87,408280.030775,5
2023-04-06 09:00:00,87,408280.014309,5
2023-04-06 08:00:00,87,408279.881905,5
2023-04-06 07:00:00,87,408079.328515,5
2023-04-06 06:00:00,87,408079.215742,5
2023-04-06 05:00:00,87,408079.104791,5
2023-04-06 04:00:00,87,408077.303791,5
2023-04-06 03:00:00,87,408633.285443,5
2023-04-06 02:00:00,87,408485.285443,5
2023-04-06 01:00:00,87,408407.505056,5
2023-04-06 00:00:00,87,408272.809752,5
2023-04-05 23:00:00,87,408272.765901,5
2023-04-05 22:00:00,87,408272.418156,5
2023-04-05 21:00:00,87,408252.244933,5
2023-04-05 20:00:00,87,408253.592926,5
2023-04-05 19:00:00,87,408253.592926,5
2023-04-05 18:00:00,87,408252.311847,5
2023-04-05 17:00:00,87,408231.391215,5
2023-04-05 16:00:00,87,408229.169006,5
2023-04-05 15:00:00,87,408229.081446,5
2023-04-05 14:00:00,87,408229.081446,5
2023-04-05 13:00:00,87,407884.518983,5
2023-04-05 12:00:00,87,407877.653781,5
2023-04-05 11:00:00,87,407877.040775,5
2023-04-05 10:00:00,87,407877.040775,5
2023-04-05 09:00:00,87,407866.870775,5
2023-04-05 08:00:00,87,407852.070775,5
2023-04-05 07:00:00,87,407526.945143,5
2023-04-05 06:00:00,87,407745.815143,5
2023-04-05 05:00:00,87,407744.0135,5
2023-04-05 04:00:00,87,407718.495184,5
2023-04-05 03:00:00,87,407718.495184,5
2023-04-05 02:00:00,87,407718.225028,5
2023-04-05 01:00:00,87,407435.90248,5
2023-04-05 00:00:00,87,407435.800883,5
2023-04-04 23:00:00,87,407435.800883,5
2023-04-04 22:00:00,87,407435.700849,5
2023-04-04 21:00:00,87,407435.700849,5
2023-04-04 20:00:00,87,407631.67911,5
2023-04-04 19:00:00,87,407559.926176,5
2023-04-04 18:00:00,87,407559.926176,5
2023-04-04 17:00:00,86,407536.689662,5
2023-04-04 16:00:00,85,407534.775823,5
2023-04-04 15:00:00,85,407534.759843,5
2023-04-04 14:00:00,85,407534.74726,5
2023-04-04 13:00:00,85,407534.74726,5
2023-04-04 12:00:00,85,407565.364931,5
2023-04-04 11:00:00,85,407565.363475,5
2023-04-04 10:00:00,85,407672.319822,5
2023-04-04 09:00:00,85,407669.302746,5
2023-04-04 08:00:00,85,407664.859189,5
2023-04-04 07:00:00,85,407642.5426,5
2023-04-04 06:00:00,85,407424.145459,5
2023-04-04 05:00:00,85,407425.002882,5
2023-04-04 04:00:00,85,407425.002882,5
2023-04-04 03:00:00,85,407425.002882,5
2023-04-04 02:00:00,85,407424.848505,5
2023-04-04 01:00:00,85,407229.128029,5
2023-04-04 00:00:00,85,407228.920675,5
2023-04-03 23:00:00,85,407276.259766,5
2023-04-03 22:00:00,85,407303.300492,5
2023-04-03 21:00:00,85,407296.775182,5
2023-04-03 20:00:00,85,407320.856376,5
2023-04-03 19:00:00,85,407295.479871,5
2023-04-03 18:00:00,85,407264.111449,5
2023-04-03 17:00:00,85,407263.381016,5
