timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,90,411785.086663,3
2023-04-13 12:00:00,90,413613.423251,3
2023-04-13 00:00:00,90,412705.263965,3
2023-04-12 12:00:00,90,412512.21572,3
2023-04-12 00:00:00,90,412110.344618,3
2023-04-11 12:00:00,90,412088.132434,3
2023-04-11 08:00:00,90,412136.444568,3
2023-04-11 07:00:00,90,412136.444568,3
2023-04-11 06:00:00,90,412135.418186,3
2023-04-11 05:00:00,90,412134.971051,3
2023-04-11 04:00:00,90,412134.373739,3
2023-04-11 03:00:00,90,412134.013914,3
2023-04-11 02:00:00,90,412132.531048,3
2023-04-11 01:00:00,90,412182.430804,3
2023-04-11 00:00:00,90,412180.898913,3
2023-04-10 23:00:00,90,412178.948655,3
2023-04-10 22:00:00,90,412178.748524,3
2023-04-10 21:00:00,90,412318.536795,3
2023-04-10 20:00:00,90,411210.637791,3
2023-04-10 19:00:00,90,411210.433561,3
2023-04-10 18:00:00,90,411209.184207,3
2023-04-10 17:00:00,90,411208.778706,3
2023-04-10 16:00:00,90,411207.177452,3
2023-04-10 15:00:00,90,411207.061685,3
2023-04-10 14:00:00,90,411206.961564,3
2023-04-10 13:00:00,90,411204.239101,3
2023-04-10 12:00:00,90,411194.423541,3
2023-04-10 11:00:00,90,411194.019621,3
2023-04-10 10:00:00,90,411193.237211,3
2023-04-10 09:00:00,90,411193.034608,3
2023-04-10 08:00:00,90,411148.399474,3
2023-04-10 07:00:00,90,411148.296335,3
2023-04-10 06:00:00,90,411148.296335,3
2023-04-10 05:00:00,90,411147.168946,3
2023-04-10 04:00:00,90,411146.862804,3
2023-04-10 03:00:00,90,411144.603492,3
2023-04-10 02:00:00,90,411144.101058,3
2023-04-10 01:00:00,90,411142.807713,3
2023-04-10 00:00:00,90,410835.499624,3
2023-04-09 23:00:00,90,410834.991055,3
2023-04-09 22:00:00,90,410834.849467,3
2023-04-09 21:00:00,90,410833.332378,3
2023-04-09 20:00:00,90,410833.128317,3
2023-04-09 19:00:00,90,410832.859384,3
2023-04-09 18:00:00,90,410825.644086,3
2023-04-09 17:00:00,90,410825.174875,3
2023-04-09 16:00:00,90,410824.907924,3
2023-04-09 15:00:00,90,410824.703958,3
2023-04-09 14:00:00,90,410824.403001,3
2023-04-09 13:00:00,90,411658.554191,3
2023-04-09 12:00:00,90,411638.015773,3
2023-04-09 11:00:00,90,411637.349438,3
2023-04-09 10:00:00,90,411637.123099,3
2023-04-09 09:00:00,90,411636.71642,3
2023-04-09 08:00:00,90,411636.543714,3
2023-04-09 07:00:00,90,411636.133923,3
2023-04-09 06:00:00,90,411634.578385,3
2023-04-09 05:00:00,90,411634.458169,3
2023-04-09 04:00:00,90,411634.202181,3
2023-04-09 03:00:00,90,411633.333378,3
2023-04-09 02:00:00,90,411625.313404,3
2023-04-09 01:00:00,90,411625.112818,3
2023-04-09 00:00:00,90,411624.812272,3
2023-04-08 23:00:00,90,411623.787107,3
2023-04-08 22:00:00,90,411623.586975,3
2023-04-08 21:00:00,90,411623.276065,3
2023-04-08 20:00:00,90,411673.072388,3
2023-04-08 19:00:00,90,411672.266968,3
2023-04-08 18:00:00,90,411664.783269,3
2023-04-08 17:00:00,90,411663.05459,3
2023-04-08 16:00:00,90,411647.4119,3
2023-04-08 15:00:00,90,411680.606677,3
2023-04-08 14:00:00,90,411679.721843,3
2023-04-08 13:00:00,90,411678.679624,3
2023-04-08 12:00:00,90,411660.126176,3
2023-04-08 11:00:00,90,411660.004898,3
2023-04-08 10:00:00,90,411659.699553,3
2023-04-08 09:00:00,90,411657.482477,3
2023-04-08 08:00:00,90,411656.7241,3
