timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,92,405293.532049,5
2023-04-13 12:00:00,93,403919.978896,5
2023-04-13 00:00:00,93,402785.594337,5
2023-04-12 12:00:00,93,401648.043338,5
2023-04-12 00:00:00,93,401469.554313,5
2023-04-11 12:00:00,93,401103.741366,5
2023-04-11 08:00:00,93,400978.787928,5
2023-04-11 07:00:00,93,400978.787928,5
2023-04-11 06:00:00,93,400910.717226,5
2023-04-11 05:00:00,93,400909.463466,5
2023-04-11 04:00:00,93,400909.062335,5
2023-04-11 03:00:00,93,400908.899003,5
2023-04-11 02:00:00,93,400908.697238,5
2023-04-11 01:00:00,93,400848.496665,5
2023-04-11 00:00:00,93,400848.059478,5
2023-04-10 23:00:00,93,400848.059478,5
2023-04-10 22:00:00,93,400702.292131,5
2023-04-10 21:00:00,93,400702.078404,5
2023-04-10 20:00:00,93,400701.500525,5
2023-04-10 19:00:00,93,400677.341094,5
2023-04-10 18:00:00,93,400592.725483,5
2023-04-10 17:00:00,93,400591.393465,5
2023-04-10 16:00:00,93,400587.49341,5
2023-04-10 15:00:00,93,400587.231472,5
2023-04-10 14:00:00,93,400582.231472,5
2023-04-10 13:00:00,93,402542.408378,5
2023-04-10 12:00:00,93,402532.89852,5
2023-04-10 11:00:00,93,402532.89852,5
2023-04-10 10:00:00,93,402528.745012,5
2023-04-10 09:00:00,93,402530.745012,5
2023-04-10 08:00:00,93,402528.999496,5
2023-04-10 07:00:00,93,402517.804681,5
2023-04-10 06:00:00,93,402517.596473,5
2023-04-10 05:00:00,93,402481.596056,5
2023-04-10 04:00:00,93,402481.495346,5
2023-04-10 03:00:00,93,402481.394814,5
2023-04-10 02:00:00,93,402480.708168,5
2023-04-10 01:00:00,93,402449.11196,5
2023-04-10 00:00:00,93,402366.588572,5
2023-04-09 23:00:00,93,402391.477758,5
2023-04-09 22:00:00,93,402391.11295,5
2023-04-09 21:00:00,93,402390.312545,5
2023-04-09 20:00:00,93,402390.202512,5
2023-04-09 19:00:00,93,402367.285107,5
2023-04-09 18:00:00,93,402367.063648,5
2023-04-09 17:00:00,93,402366.227564,5
2023-04-09 16:00:00,93,402366.227564,5
2023-04-09 15:00:00,93,402365.600354,5
2023-04-09 14:00:00,93,402365.600349,5
2023-04-09 13:00:00,93,402365.202502,5
2023-04-09 12:00:00,93,402331.547359,5
2023-04-09 11:00:00,93,402331.422325,5
2023-04-09 10:00:00,93,402331.396936,5
2023-04-09 09:00:00,93,402331.29412,5
2023-04-09 08:00:00,93,402330.94412,5
2023-04-09 07:00:00,93,402325.115308,5
2023-04-09 06:00:00,93,402180.128132,5
2023-04-09 05:00:00,93,402179.813339,5
2023-04-09 04:00:00,93,402179.556163,5
2023-04-09 03:00:00,93,402170.354545,5
2023-04-09 02:00:00,93,402170.141964,5
2023-04-09 01:00:00,93,402170.141964,5
2023-04-09 00:00:00,93,401868.533862,5
2023-04-08 23:00:00,93,401867.453757,5
2023-04-08 22:00:00,93,401867.453757,5
2023-04-08 21:00:00,93,401867.314798,5
2023-04-08 20:00:00,93,401867.214626,5
2023-04-08 19:00:00,93,401852.350173,5
2023-04-08 18:00:00,93,401852.349827,5
2023-04-08 17:00:00,93,401852.206734,5
2023-04-08 16:00:00,93,401852.133571,5
2023-04-08 15:00:00,93,401851.439632,5
2023-04-08 14:00:00,93,401851.192478,5
2023-04-08 13:00:00,93,401850.3556,5
2023-04-08 12:00:00,93,401806.343245,5
2023-04-08 11:00:00,93,401802.321968,5
2023-04-08 10:00:00,93,401802.217535,5
2023-04-08 09:00:00,93,401801.704901,5
2023-04-08 08:00:00,93,401800.253324,5
2023-04-08 07:00:00,93,401786.779949,5
2023-04-08 06:00:00,93,401786.641851,5
2023-04-08 05:00:00,93,401792.630349,5
2023-04-08 04:00:00,93,401792.150349,5
2023-04-08 03:00:00,93,401783.043676,5
2023-04-08 02:00:00,93,401782.981807,5
2023-04-08 01:00:00,93,401782.88156,5
2023-04-08 00:00:00,93,400734.296916,5
2023-04-07 23:00:00,93,400734.089869,5
2023-04-07 22:00:00,93,400730.192847,5
2023-04-07 21:00:00,93,400726.788542,5
2023-04-07 20:00:00,93,400726.788542,5
2023-04-07 19:00:00,93,400726.68719,5
2023-04-07 18:00:00,93,401568.575971,5
2023-04-07 17:00:00,93,401568.566874,5
2023-04-07 16:00:00,93,401779.27207,5
2023-04-07 15:00:00,93,401728.47207,5
2023-04-07 14:00:00,93,401728.47207,5
2023-04-07 13:00:00,93,401718.007621,5
2023-04-07 12:00:00,93,401765.931524,5
2023-04-07 11:00:00,93,401765.931524,5
2023-04-07 10:00:00,93,401765.931524,5
2023-04-07 09:00:00,93,401765.827577,5
2023-04-07 08:00:00,93,401752.726174,5
2023-04-07 07:00:00,93,401745.765827,5
2023-04-07 06:00:00,93,401745.765827,5
2023-04-07 05:00:00,93,401745.665332,5
2023-04-07 04:00:00,93,401745.099391,5
2023-04-07 03:00:00,93,401744.571388,5
2023-04-07 02:00:00,93,401744.470138,5
2023-04-07 01:00:00,93,401634.361913,5
2023-04-07 00:00:00,93,401634.153072,5
2023-04-06 23:00:00,93,401628.927692,5
2023-04-06 22:00:00,93,401628.821145,5
2023-04-06 21:00:00,93,401605.449916,5
2023-04-06 20:00:00,93,401608.399625,5
2023-04-06 19:00:00,114,253351.255355,5
2023-04-06 18:00:00,110,253351.203379,5
2023-04-06 17:00:00,110,253354.166915,5
2023-04-06 16:00:00,110,253353.530476,5
2023-04-06 15:00:00,110,253368.966481,5
2023-04-06 14:00:00,110,253368.923982,5
2023-04-06 13:00:00,110,253015.186206,5
2023-04-06 12:00:00,110,253011.404251,5
2023-04-06 11:00:00,110,253007.824025,5
2023-04-06 10:00:00,110,253007.068235,5
2023-04-06 09:00:00,110,253006.847603,5
2023-04-06 08:00:00,110,253006.835195,5
2023-04-06 07:00:00,110,252863.213046,5
2023-04-06 06:00:00,110,252863.071591,5
2023-04-06 05:00:00,110,252861.788617,5
2023-04-06 04:00:00,110,252861.286228,5
2023-04-06 03:00:00,110,252861.286228,5
2023-04-06 02:00:00,110,252861.286228,5
2023-04-06 01:00:00,110,252852.417937,5
2023-04-06 00:00:00,110,252648.655864,5
2023-04-05 23:00:00,110,252648.654864,5
2023-04-05 22:00:00,110,252648.252864,5
2023-04-05 21:00:00,110,252648.049138,5
2023-04-05 20:00:00,110,252647.999138,5
2023-04-05 19:00:00,110,252647.897383,5
2023-04-05 18:00:00,110,252611.88081,5
2023-04-05 17:00:00,110,252611.814234,5
2023-04-05 16:00:00,110,252594.411131,5
2023-04-05 15:00:00,110,252594.411131,5
2023-04-05 14:00:00,110,252591.13024,5
2023-04-05 13:00:00,110,252357.660744,5
2023-04-05 12:00:00,110,252353.593519,5
2023-04-05 11:00:00,110,252352.854123,5
2023-04-05 10:00:00,110,252352.651545,5
2023-04-05 09:00:00,110,252352.651545,5
2023-04-05 08:00:00,110,252352.441555,5
2023-04-05 07:00:00,110,252116.772694,5
2023-04-05 06:00:00,110,252116.672394,5
2023-04-05 05:00:00,110,252116.672394,5
2023-04-05 04:00:00,110,252116.672394,5
2023-04-05 03:00:00,110,252116.485756,5
2023-04-05 02:00:00,110,252116.411335,5
2023-04-05 01:00:00,110,251914.50328,5
2023-04-05 00:00:00,110,251914.50328,5
2023-04-04 23:00:00,110,251913.056657,5
2023-04-04 22:00:00,110,251902.573736,5
2023-04-04 21:00:00,110,251897.373569,5
2023-04-04 20:00:00,110,251895.82177,5
2023-04-04 19:00:00,110,251818.455266,5
2023-04-04 18:00:00,110,251818.449781,5
2023-04-04 17:00:00,109,251815.942791,5
2023-04-04 16:00:00,106,251815.202494,5
2023-04-04 15:00:00,106,251815.202494,5
2023-04-04 14:00:00,106,251812.96659,5
2023-04-04 13:00:00,106,251812.665413,5
2023-04-04 12:00:00,106,251796.931103,5
2023-04-04 11:00:00,106,251810.378466,5
2023-04-04 10:00:00,106,251810.341909,5
2023-04-04 09:00:00,106,251810.204271,5
2023-04-04 08:00:00,106,251810.060667,5
2023-04-04 07:00:00,106,251809.958164,5
2023-04-04 06:00:00,106,251641.284596,5
2023-04-04 05:00:00,106,251640.927904,5
2023-04-04 04:00:00,106,251639.821225,5
2023-04-04 03:00:00,106,251639.720987,5
2023-04-04 02:00:00,106,251639.696649,5
2023-04-04 01:00:00,106,251502.800467,5
2023-04-04 00:00:00,106,251499.572883,5
2023-04-03 23:00:00,106,251499.292883,5
2023-04-03 22:00:00,106,251499.134296,5
2023-04-03 21:00:00,105,251499.134296,5
2023-04-03 20:00:00,105,251519.733476,5
2023-04-03 19:00:00,104,251456.928214,5
2023-04-03 18:00:00,104,251456.10569,5
2023-04-03 17:00:00,104,251437.32929,5
2023-04-03 16:00:00,104,251437.105327,5
2023-04-03 15:00:00,104,251431.792543,5
2023-04-03 14:00:00,104,251431.764006,5
2023-04-03 13:00:00,105,251147.924614,5
2023-04-03 12:00:00,105,251133.941057,5
2023-04-03 11:00:00,105,251133.835119,5
2023-04-03 10:00:00,105,251133.35753,5
2023-04-03 09:00:00,105,251133.019488,5
2023-04-03 08:00:00,105,251107.919389,5
2023-04-03 07:00:00,105,251057.265371,5
2023-04-03 06:00:00,105,251057.265371,5
2023-04-03 05:00:00,105,251057.227814,5
2023-04-03 04:00:00,105,251056.257211,5
2023-04-03 03:00:00,105,251056.230267,5
2023-04-03 02:00:00,105,251055.636575,5
2023-04-03 01:00:00,105,251055.617086,5
2023-04-03 00:00:00,105,250933.264849,5
2023-04-02 23:00:00,105,250933.264849,5
2023-04-02 22:00:00,105,250932.909577,5
2023-04-02 21:00:00,105,250951.867144,5
2023-04-02 20:00:00,105,250950.796139,5
2023-04-02 19:00:00,105,250900.529538,5
