timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,95,349672.35554,10
2023-04-13 12:00:00,96,348623.256975,10
2023-04-13 00:00:00,96,347753.377193,10
2023-04-12 12:00:00,96,346888.379305,10
2023-04-12 00:00:00,96,346845.458395,10
2023-04-11 12:00:00,96,346579.006228,10
2023-04-11 08:00:00,96,346549.578939,10
2023-04-11 07:00:00,96,346549.578939,10
2023-04-11 06:00:00,96,346510.217477,10
2023-04-11 05:00:00,96,346510.068457,10
2023-04-11 04:00:00,96,346510.068457,10
2023-04-11 03:00:00,96,346510.068457,10
2023-04-11 02:00:00,96,346510.068457,10
2023-04-11 01:00:00,96,346464.225911,10
2023-04-11 00:00:00,96,346464.225911,10
2023-04-10 23:00:00,96,346464.225911,10
2023-04-10 22:00:00,96,346464.225911,10
2023-04-10 21:00:00,96,346464.214408,10
2023-04-10 20:00:00,96,346463.940529,10
2023-04-10 19:00:00,96,346463.940529,10
2023-04-10 18:00:00,96,346399.256968,10
2023-04-10 17:00:00,96,346399.254264,10
2023-04-10 16:00:00,96,346399.25421,10
2023-04-10 15:00:00,96,346394.253666,10
2023-04-10 14:00:00,96,346394.253666,10
2023-04-10 13:00:00,96,346364.002282,10
2023-04-10 12:00:00,96,346361.502282,10
2023-04-10 11:00:00,96,346361.502282,10
2023-04-10 10:00:00,96,346361.502282,10
2023-04-10 09:00:00,96,346361.502282,10
2023-04-10 08:00:00,96,346361.499544,10
2023-04-10 07:00:00,96,346352.949658,10
2023-04-10 06:00:00,96,346352.949658,10
2023-04-10 05:00:00,96,346411.023441,10
2023-04-10 04:00:00,96,346411.023441,10
2023-04-10 03:00:00,96,346411.023441,10
2023-04-10 02:00:00,96,346411.023441,10
2023-04-10 01:00:00,96,346406.204443,10
2023-04-10 00:00:00,96,346343.977894,10
2023-04-09 23:00:00,96,346343.977894,10
2023-04-09 22:00:00,96,346343.964201,10
2023-04-09 21:00:00,96,346343.174304,10
2023-04-09 20:00:00,96,346343.174304,10
2023-04-09 19:00:00,96,346329.764639,10
2023-04-09 18:00:00,96,346329.748208,10
2023-04-09 17:00:00,95,346329.745574,10
2023-04-09 16:00:00,95,346329.680685,10
2023-04-09 15:00:00,95,346329.680575,10
2023-04-09 14:00:00,95,346329.68057,10
2023-04-09 13:00:00,95,346329.68057,10
2023-04-09 12:00:00,95,346319.599952,10
2023-04-09 11:00:00,95,346319.575711,10
2023-04-09 10:00:00,95,346319.550658,10
2023-04-09 09:00:00,95,346319.548487,10
2023-04-09 08:00:00,95,346319.548487,10
2023-04-09 07:00:00,95,346319.544726,10
2023-04-09 06:00:00,95,346224.115707,10
2023-04-09 05:00:00,95,346224.103448,10
2023-04-09 04:00:00,95,346224.048385,10
2023-04-09 03:00:00,95,346224.048385,10
2023-04-09 02:00:00,95,346224.037373,10
2023-04-09 01:00:00,95,346223.93717,10
2023-04-09 00:00:00,95,345993.168935,10
2023-04-08 23:00:00,95,345993.166182,10
2023-04-08 22:00:00,95,345993.166182,10
2023-04-08 21:00:00,95,345993.156801,10
2023-04-08 20:00:00,95,345993.156801,10
2023-04-08 19:00:00,95,345981.889332,10
2023-04-08 18:00:00,95,345981.888991,10
2023-04-08 17:00:00,95,345981.880827,10
2023-04-08 16:00:00,95,345981.808632,10
2023-04-08 15:00:00,95,345981.428724,10
2023-04-08 14:00:00,95,345981.428724,10
2023-04-08 13:00:00,95,345980.602947,10
2023-04-08 12:00:00,95,345937.32372,10
2023-04-08 11:00:00,95,345937.307205,10
2023-04-08 10:00:00,95,345937.303117,10
2023-04-08 09:00:00,95,345937.303117,10
2023-04-08 08:00:00,95,345967.031243,10
2023-04-08 07:00:00,95,345956.792055,10
2023-04-08 06:00:00,95,345956.769942,10
2023-04-08 05:00:00,95,345956.73087,10
2023-04-08 04:00:00,95,345956.73087,10
2023-04-08 03:00:00,95,345956.73087,10
2023-04-08 02:00:00,95,345956.73087,10
2023-04-08 01:00:00,95,345956.73087,10
2023-04-08 00:00:00,95,345154.335891,10
2023-04-07 23:00:00,95,345154.335891,10
2023-04-07 22:00:00,95,345154.166809,10
2023-04-07 21:00:00,95,345154.166809,10
2023-04-07 20:00:00,95,345154.166809,10
2023-04-07 19:00:00,95,345154.166809,10
2023-04-07 18:00:00,95,345798.532433,10
2023-04-07 17:00:00,95,345798.532433,10
2023-04-07 16:00:00,95,345798.529868,10
2023-04-07 15:00:00,95,345798.529868,10
2023-04-07 14:00:00,95,345765.706323,10
2023-04-07 13:00:00,95,345757.774443,10
2023-04-07 12:00:00,95,345757.774443,10
2023-04-07 11:00:00,95,345757.774443,10
2023-04-07 10:00:00,95,345757.774443,10
2023-04-07 09:00:00,95,345757.774443,10
2023-04-07 08:00:00,95,345757.354443,10
2023-04-07 07:00:00,95,345747.667535,10
2023-04-07 06:00:00,95,345747.667535,10
2023-04-07 05:00:00,95,345747.667535,10
2023-04-07 04:00:00,95,345747.667535,10
2023-04-07 03:00:00,95,345747.667535,10
2023-04-07 02:00:00,95,345747.667535,10
2023-04-07 01:00:00,95,345663.392798,10
2023-04-07 00:00:00,95,345663.392798,10
2023-04-06 23:00:00,95,345663.392798,10
2023-04-06 22:00:00,95,345660.887295,10
2023-04-06 21:00:00,95,345660.325959,10
2023-04-06 20:00:00,95,345660.148102,10
2023-04-06 19:00:00,91,345653.149252,10
2023-04-06 18:00:00,170,103065.094704,10
2023-04-06 17:00:00,170,103064.171176,10
2023-04-06 16:00:00,170,103063.919134,10
2023-04-06 15:00:00,170,103063.89131,10
2023-04-06 14:00:00,170,103063.89131,10
2023-04-06 13:00:00,170,102793.904783,10
2023-04-06 12:00:00,170,102793.904783,10
2023-04-06 11:00:00,170,102793.304783,10
2023-04-06 10:00:00,170,102793.29907,10
2023-04-06 09:00:00,170,102793.28282,10
2023-04-06 08:00:00,170,102793.270579,10
2023-04-06 07:00:00,170,102683.407771,10
2023-04-06 06:00:00,170,102683.268653,10
2023-04-06 05:00:00,170,102683.18698,10
2023-04-06 04:00:00,170,102683.18698,10
2023-04-06 03:00:00,170,102683.18698,10
2023-04-06 02:00:00,170,102683.18698,10
2023-04-06 01:00:00,170,102683.18698,10
2023-04-06 00:00:00,170,102527.231374,10
2023-04-05 23:00:00,170,102527.231374,10
2023-04-05 22:00:00,170,102527.231374,10
2023-04-05 21:00:00,170,102526.244497,10
2023-04-05 20:00:00,170,102526.024497,10
2023-04-05 19:00:00,170,102526.024497,10
2023-04-05 18:00:00,170,102498.840789,10
2023-04-05 17:00:00,170,102498.838134,10
2023-04-05 16:00:00,170,102498.838134,10
2023-04-05 15:00:00,170,102498.838134,10
2023-04-05 14:00:00,170,102498.838134,10
2023-04-05 13:00:00,170,102320.221667,10
2023-04-05 12:00:00,170,102320.205893,10
2023-04-05 11:00:00,170,102319.754195,10
2023-04-05 10:00:00,170,102319.587291,10
2023-04-05 09:00:00,170,102319.587291,10
2023-04-05 08:00:00,170,102313.337291,10
2023-04-05 07:00:00,170,102135.234019,10
2023-04-05 06:00:00,170,102135.234019,10
2023-04-05 05:00:00,170,102134.834019,10
2023-04-05 04:00:00,170,102134.834019,10
2023-04-05 03:00:00,170,102134.834019,10
2023-04-05 02:00:00,170,102134.829855,10
2023-04-05 01:00:00,170,101978.44794,10
2023-04-05 00:00:00,170,101978.44794,10
2023-04-04 23:00:00,170,101978.44794,10
2023-04-04 22:00:00,170,101978.44794,10
2023-04-04 21:00:00,170,101978.44794,10
2023-04-04 20:00:00,170,101978.44794,10
2023-04-04 19:00:00,170,101940.104376,10
2023-04-04 18:00:00,170,101940.104376,10
2023-04-04 17:00:00,168,101940.102002,10
2023-04-04 16:00:00,167,101940.068617,10
2023-04-04 15:00:00,167,101940.007164,10
2023-04-04 14:00:00,167,101939.99475,10
2023-04-04 13:00:00,167,101939.99475,10
2023-04-04 12:00:00,167,101932.286108,10
2023-04-04 11:00:00,167,101932.205964,10
2023-04-04 10:00:00,167,101932.169909,10
2023-04-04 09:00:00,167,101932.133019,10
2023-04-04 08:00:00,167,101931.991399,10
2023-04-04 07:00:00,166,101931.991399,10
2023-04-04 06:00:00,166,101800.83466,10
2023-04-04 05:00:00,166,101800.782536,10
2023-04-04 04:00:00,166,101800.782536,10
2023-04-04 03:00:00,166,101800.782536,10
2023-04-04 02:00:00,166,101800.758532,10
2023-04-04 01:00:00,166,101696.057555,10
2023-04-04 00:00:00,166,101695.852985,10
2023-04-03 23:00:00,166,101695.852985,10
2023-04-03 22:00:00,166,101695.797384,10
2023-04-03 21:00:00,165,101695.797384,10
2023-04-03 20:00:00,165,101695.77488,10
2023-04-03 19:00:00,161,101647.782042,10
2023-04-03 18:00:00,159,101647.776621,10
2023-04-03 17:00:00,159,101647.776621,10
2023-04-03 16:00:00,159,101647.755082,10
2023-04-03 15:00:00,159,101656.231039,10
2023-04-03 14:00:00,159,101656.20291,10
2023-04-03 13:00:00,159,101439.966948,10
2023-04-03 12:00:00,159,101439.492712,10
2023-04-03 11:00:00,159,101439.487087,10
2023-04-03 10:00:00,159,101438.639077,10
2023-04-03 09:00:00,159,101438.610951,10
2023-04-03 08:00:00,159,101438.610951,10
2023-04-03 07:00:00,159,101399.917911,10
2023-04-03 06:00:00,159,101399.917911,10
2023-04-03 05:00:00,159,101399.880893,10
2023-04-03 04:00:00,159,101399.795775,10
2023-04-03 03:00:00,159,101399.769218,10
2023-04-03 02:00:00,159,101399.769218,10
2023-04-03 01:00:00,159,101399.750008,10
2023-04-03 00:00:00,159,101309.987538,10
2023-04-02 23:00:00,159,101309.987538,10
2023-04-02 22:00:00,159,101309.936913,10
2023-04-02 21:00:00,159,101309.924549,10
2023-04-02 20:00:00,159,101309.843117,10
2023-04-02 19:00:00,159,101271.494142,10
2023-04-02 18:00:00,159,101271.48953,10
2023-04-02 17:00:00,159,101271.33613,10
2023-04-02 16:00:00,159,101270.835731,10
2023-04-02 15:00:00,159,101269.735731,10
2023-04-02 14:00:00,159,101269.718858,10
2023-04-02 13:00:00,159,101223.271173,10
2023-04-02 12:00:00,159,101223.271173,10
2023-04-02 11:00:00,159,101223.269262,10
2023-04-02 10:00:00,159,101223.269262,10
2023-04-02 09:00:00,159,101223.261241,10
2023-04-02 08:00:00,159,101222.762243,10
2023-04-02 07:00:00,159,101222.724633,10
2023-04-02 06:00:00,160,101046.015146,10
2023-04-02 05:00:00,160,101046.012584,10
2023-04-02 04:00:00,160,101045.998524,10
2023-04-02 03:00:00,160,101045.86051,10
2023-04-02 02:00:00,160,101045.856011,10
2023-04-02 01:00:00,160,101045.850669,10
2023-04-02 00:00:00,161,100996.548846,10
2023-04-01 23:00:00,161,100996.369725,10
2023-04-01 22:00:00,161,100996.254437,10
2023-04-01 21:00:00,161,100996.223404,10
2023-04-01 20:00:00,161,100996.223404,10
2023-04-01 19:00:00,161,100880.546989,10
2023-04-01 18:00:00,161,100880.487958,10
2023-04-01 17:00:00,161,100880.487958,10
2023-04-01 16:00:00,161,100880.281296,10
2023-04-01 15:00:00,161,100879.912298,10
2023-04-01 14:00:00,161,100879.362134,10
2023-04-01 13:00:00,161,100824.951684,10
2023-04-01 12:00:00,162,100724.939876,10
2023-04-01 11:00:00,161,100774.924251,10
2023-04-01 10:00:00,161,100773.334024,10
2023-04-01 09:00:00,161,100773.317155,10
2023-04-01 08:00:00,161,100773.308207,10
2023-04-01 07:00:00,161,100773.308207,10
2023-04-01 06:00:00,162,100724.706088,10
2023-04-01 05:00:00,161,100724.703277,10
2023-04-01 04:00:00,161,100724.280765,10
2023-04-01 03:00:00,161,100724.253981,10
2023-04-01 02:00:00,161,100724.13943,10
2023-04-01 01:00:00,161,100724.127436,10
2023-04-01 00:00:00,162,99395.457552,10
2023-03-31 23:00:00,162,99395.457552,10
2023-03-31 22:00:00,162,99395.249514,10
2023-03-31 21:00:00,162,99395.116936,10
2023-03-31 20:00:00,162,99339.775801,10
2023-03-31 19:00:00,162,99317.119886,10
2023-03-31 18:00:00,162,99317.085532,10
2023-03-31 17:00:00,162,99316.356451,10
2023-03-31 16:00:00,162,99316.23788,10
2023-03-31 15:00:00,162,99316.190097,10
2023-03-31 14:00:00,161,99316.115373,10
2023-03-31 13:00:00,161,99311.851985,10
2023-03-31 12:00:00,161,99191.830385,10
2023-03-31 11:00:00,161,99191.548538,10
2023-03-31 10:00:00,161,99191.510877,10
2023-03-31 09:00:00,161,99191.340766,10
2023-03-31 08:00:00,161,99190.561745,10
2023-03-31 07:00:00,161,98913.017273,10
2023-03-31 06:00:00,161,98907.107217,10
2023-03-31 05:00:00,161,98896.941606,10
2023-03-31 04:00:00,161,98896.941606,10
2023-03-31 03:00:00,161,98896.927427,10
2023-03-31 02:00:00,161,98896.918994,10
2023-03-31 01:00:00,161,98862.683259,10
2023-03-31 00:00:00,161,98862.672026,10
2023-03-30 23:00:00,161,98862.672026,10
2023-03-30 22:00:00,161,98862.619556,10
2023-03-30 21:00:00,161,98862.551335,10
2023-03-30 20:00:00,161,98862.521007,10
2023-03-30 19:00:00,161,98743.002489,10
2023-03-30 18:00:00,161,98753.334341,10
2023-03-30 17:00:00,161,98753.285698,10
2023-03-30 16:00:00,161,98753.252555,10
2023-03-30 15:00:00,161,98753.243709,10
2023-03-30 14:00:00,161,98753.243709,10
2023-03-30 13:00:00,161,98319.712447,10
2023-03-30 12:00:00,161,98319.712447,10
2023-03-30 11:00:00,161,98319.091871,10
2023-03-30 10:00:00,161,98319.085021,10
2023-03-30 09:00:00,161,98319.068454,10
2023-03-30 08:00:00,161,98319.068454,10
2023-03-30 07:00:00,161,98318.908982,10
2023-03-30 06:00:00,161,98292.204595,10
2023-03-30 05:00:00,161,98291.721888,10
2023-03-30 04:00:00,161,98291.714993,10
