timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,97,340578.538859,10
2023-04-13 12:00:00,98,340578.272205,10
2023-04-13 00:00:00,98,340578.212348,10
2023-04-12 12:00:00,98,340438.201719,10
2023-04-12 00:00:00,98,340437.481326,10
2023-04-11 12:00:00,98,340437.35772,10
2023-04-11 08:00:00,98,340436.622324,10
2023-04-11 07:00:00,98,340436.622324,10
2023-04-11 06:00:00,98,340436.622324,10
2023-04-11 05:00:00,98,340436.471323,10
2023-04-11 04:00:00,98,340436.471323,10
2023-04-11 03:00:00,98,340436.471323,10
2023-04-11 02:00:00,98,340436.471323,10
2023-04-11 01:00:00,98,340436.471323,10
2023-04-11 00:00:00,98,340436.471323,10
2023-04-10 23:00:00,98,340436.471323,10
2023-04-10 22:00:00,98,340436.471323,10
2023-04-10 21:00:00,98,340436.459667,10
2023-04-10 20:00:00,98,340436.182144,10
2023-04-10 19:00:00,98,340436.182144,10
2023-04-10 18:00:00,98,340436.182144,10
2023-04-10 17:00:00,98,340436.182144,10
2023-04-10 16:00:00,98,340436.182089,10
2023-04-10 15:00:00,98,340431.181538,10
2023-04-10 14:00:00,98,340431.181538,10
2023-04-10 13:00:00,98,340431.173215,10
2023-04-10 12:00:00,98,340431.173215,10
2023-04-10 11:00:00,98,340431.173215,10
2023-04-10 10:00:00,98,340431.173215,10
2023-04-10 09:00:00,98,340431.173215,10
2023-04-10 08:00:00,98,340431.17044,10
2023-04-10 07:00:00,98,340431.167961,10
2023-04-10 06:00:00,98,340431.167961,10
2023-04-10 05:00:00,98,340431.167961,10
2023-04-10 04:00:00,98,340431.167961,10
2023-04-10 03:00:00,98,340431.167961,10
2023-04-10 02:00:00,98,340431.167961,10
2023-04-10 01:00:00,98,340431.167961,10
2023-04-10 00:00:00,98,340431.167961,10
2023-04-09 23:00:00,98,340431.167961,10
2023-04-09 22:00:00,98,340431.154085,10
2023-04-09 21:00:00,98,340430.35368,10
2023-04-09 20:00:00,98,340430.35368,10
2023-04-09 19:00:00,98,340430.342311,10
2023-04-09 18:00:00,98,340430.32566,10
2023-04-09 17:00:00,98,340430.32566,10
2023-04-09 16:00:00,98,340430.32566,10
2023-04-09 15:00:00,98,340430.32555,10
2023-04-09 14:00:00,98,340430.325545,10
2023-04-09 13:00:00,98,340430.325545,10
2023-04-09 12:00:00,98,340430.325545,10
2023-04-09 11:00:00,98,340430.300979,10
2023-04-09 10:00:00,98,340430.27559,10
2023-04-09 09:00:00,98,340430.27339,10
2023-04-09 08:00:00,98,340430.27339,10
2023-04-09 07:00:00,98,340430.269578,10
2023-04-09 06:00:00,98,340430.269578,10
2023-04-09 05:00:00,98,340430.257154,10
2023-04-09 04:00:00,98,340430.201353,10
2023-04-09 03:00:00,98,340430.201353,10
2023-04-09 02:00:00,98,340430.190193,10
2023-04-09 01:00:00,98,340430.190193,10
2023-04-09 00:00:00,98,340430.190193,10
2023-04-08 23:00:00,98,340430.187403,10
2023-04-08 22:00:00,98,340430.187403,10
2023-04-08 21:00:00,98,340430.177896,10
2023-04-08 20:00:00,98,340430.177896,10
2023-04-08 19:00:00,98,340430.14437,10
2023-04-08 18:00:00,98,340430.144024,10
2023-04-08 17:00:00,98,340430.138444,10
2023-04-08 16:00:00,98,340430.065281,10
2023-04-08 15:00:00,98,340429.680277,10
2023-04-08 14:00:00,98,340429.680277,10
2023-04-08 13:00:00,98,340428.843399,10
2023-04-08 12:00:00,98,340428.83782,10
2023-04-08 11:00:00,98,340428.821083,10
2023-04-08 10:00:00,98,340428.81694,10
2023-04-08 09:00:00,98,340428.81694,10
2023-04-08 08:00:00,98,340428.666738,10
2023-04-08 07:00:00,98,340428.307049,10
2023-04-08 06:00:00,98,340428.284726,10
2023-04-08 05:00:00,98,340428.245168,10
2023-04-08 04:00:00,98,340428.245168,10
2023-04-08 03:00:00,98,340428.245168,10
2023-04-08 02:00:00,98,340428.245168,10
2023-04-08 01:00:00,98,340428.245168,10
