timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,9,6842711.033554,2
2023-04-13 12:00:00,9,6842132.82521,2
2023-04-13 00:00:00,9,6872312.974764,2
2023-04-12 12:00:00,9,6873810.685444,2
2023-04-12 00:00:00,9,6833140.895676,2
2023-04-11 12:00:00,9,6830898.100604,2
2023-04-11 08:00:00,9,6829896.707066,2
2023-04-11 07:00:00,9,6829876.33362,2
2023-04-11 06:00:00,9,6829645.121854,2
2023-04-11 05:00:00,9,6828542.678488,2
2023-04-11 04:00:00,9,6828823.625698,2
2023-04-11 03:00:00,9,6800851.921809,2
2023-04-11 02:00:00,9,6800646.479227,2
2023-04-11 01:00:00,9,6800598.906266,2
2023-04-11 00:00:00,9,6800746.754747,2
2023-04-10 23:00:00,9,6800543.265999,2
2023-04-10 22:00:00,9,6800394.222805,2
2023-04-10 21:00:00,9,6800644.508704,2
2023-04-10 20:00:00,9,6800628.509282,2
2023-04-10 19:00:00,9,6800612.715377,2
2023-04-10 18:00:00,9,6800546.754379,2
2023-04-10 17:00:00,9,6801040.169923,2
2023-04-10 16:00:00,9,6801008.5419,2
2023-04-10 15:00:00,9,6801072.81544,2
2023-04-10 14:00:00,9,6801066.326524,2
2023-04-10 13:00:00,9,6801212.832376,2
2023-04-10 12:00:00,9,6800949.554688,2
2023-04-10 11:00:00,9,6800794.04058,2
2023-04-10 10:00:00,9,6800776.664851,2
2023-04-10 09:00:00,9,6800760.327708,2
2023-04-10 08:00:00,9,6783270.174292,2
2023-04-10 07:00:00,9,6783394.763564,2
2023-04-10 06:00:00,9,6783381.467658,2
2023-04-10 05:00:00,9,6783346.216601,2
2023-04-10 04:00:00,9,6783423.731703,2
2023-04-10 03:00:00,9,6783378.726501,2
2023-04-10 02:00:00,9,6783328.173617,2
2023-04-10 01:00:00,9,6783264.831321,2
2023-04-10 00:00:00,9,6783218.124225,2
2023-04-09 23:00:00,9,6783100.602722,2
2023-04-09 22:00:00,9,6782986.816276,2
2023-04-09 21:00:00,9,6782958.079462,2
2023-04-09 20:00:00,9,6782946.301252,2
2023-04-09 19:00:00,9,6782946.163677,2
2023-04-09 18:00:00,9,6783240.091688,2
2023-04-09 17:00:00,9,6781798.744803,2
2023-04-09 16:00:00,9,6781787.967047,2
2023-04-09 15:00:00,9,6781732.291932,2
2023-04-09 14:00:00,9,6781590.437019,2
2023-04-09 13:00:00,9,6781536.870141,2
2023-04-09 12:00:00,9,6781481.426554,2
2023-04-09 11:00:00,9,6781279.384319,2
2023-04-09 10:00:00,9,6781217.358866,2
2023-04-09 09:00:00,9,6781063.820439,2
2023-04-09 08:00:00,9,6781066.01842,2
2023-04-09 07:00:00,9,6780981.96955,2
2023-04-09 06:00:00,9,6780614.962824,2
2023-04-09 05:00:00,9,6780029.926126,2
2023-04-09 04:00:00,9,6779834.857646,2
2023-04-09 03:00:00,9,6779805.276956,2
2023-04-09 02:00:00,9,6780253.907797,2
2023-04-09 01:00:00,9,6780213.00628,2
2023-04-09 00:00:00,9,6780003.052794,2
2023-04-08 23:00:00,9,6779845.029775,2
2023-04-08 22:00:00,9,6779581.063054,2
2023-04-08 21:00:00,9,6779573.690407,2
2023-04-08 20:00:00,9,6779782.777758,2
2023-04-08 19:00:00,9,6779765.454537,2
2023-04-08 18:00:00,9,6779740.557659,2
2023-04-08 17:00:00,9,6779710.466582,2
2023-04-08 16:00:00,9,6779644.703095,2
2023-04-08 15:00:00,9,6779625.210071,2
2023-04-08 14:00:00,9,6779556.575044,2
2023-04-08 13:00:00,9,6779437.839826,2
2023-04-08 12:00:00,9,6779667.404344,2
2023-04-08 11:00:00,9,6779578.583402,2
2023-04-08 10:00:00,9,6779541.536658,2
2023-04-08 09:00:00,9,6779189.767394,2
2023-04-08 08:00:00,9,6779161.593529,2
2023-04-08 07:00:00,9,6779059.142591,2
2023-04-08 06:00:00,9,6779047.245874,2
2023-04-08 05:00:00,9,6778976.037984,2
2023-04-08 04:00:00,9,6778742.267348,2
2023-04-08 03:00:00,9,6777968.046951,2
2023-04-08 02:00:00,9,6777949.557232,2
2023-04-08 01:00:00,9,6777997.23631,2
2023-04-08 00:00:00,9,6777928.581394,2
2023-04-07 23:00:00,9,6777857.873234,2
2023-04-07 22:00:00,9,6777824.849112,2
2023-04-07 21:00:00,9,6777810.604307,2
2023-04-07 20:00:00,9,6777801.542741,2
2023-04-07 19:00:00,9,6777768.829808,2
2023-04-07 18:00:00,9,6777769.072555,2
2023-04-07 17:00:00,9,6777693.82287,2
2023-04-07 16:00:00,9,6777441.218891,2
2023-04-07 15:00:00,9,6777244.545076,2
2023-04-07 14:00:00,9,6776592.454818,2
2023-04-07 13:00:00,9,6776586.808051,2
2023-04-07 12:00:00,9,6776599.223632,2
2023-04-07 11:00:00,9,6776577.648514,2
2023-04-07 10:00:00,9,6776519.629935,2
2023-04-07 09:00:00,9,6776456.301539,2
2023-04-07 08:00:00,9,6776254.665859,2
2023-04-07 07:00:00,9,6776237.744188,2
2023-04-07 06:00:00,9,6776338.291349,2
2023-04-07 05:00:00,9,6776310.205714,2
2023-04-07 04:00:00,9,6776355.49903,2
2023-04-07 03:00:00,9,6776150.306971,2
2023-04-07 02:00:00,9,6775886.388387,2
2023-04-07 01:00:00,9,6775845.963814,2
2023-04-07 00:00:00,9,6775924.665267,2
2023-04-06 23:00:00,9,6775780.402145,2
2023-04-06 22:00:00,9,6775764.009439,2
2023-04-06 21:00:00,9,6775782.504549,2
2023-04-06 20:00:00,9,6775822.871528,2
2023-04-06 19:00:00,9,6775839.527485,2
2023-04-06 18:00:00,9,6775875.691293,2
2023-04-06 17:00:00,9,6775864.67759,2
2023-04-06 16:00:00,9,6775829.875195,2
2023-04-06 15:00:00,9,6775905.932001,2
2023-04-06 14:00:00,9,6776273.575886,2
2023-04-06 13:00:00,9,6775933.151708,2
2023-04-06 12:00:00,9,6775874.425909,2
2023-04-06 11:00:00,9,6775186.941065,2
2023-04-06 10:00:00,9,6775317.231125,2
2023-04-06 09:00:00,9,6775144.767489,2
2023-04-06 08:00:00,9,6772670.447225,2
2023-04-06 07:00:00,9,6772618.003308,2
2023-04-06 06:00:00,9,6772193.915776,2
2023-04-06 05:00:00,9,6772187.11146,2
2023-04-06 04:00:00,9,6772276.992755,2
2023-04-06 03:00:00,9,6772160.611931,2
2023-04-06 02:00:00,9,6772589.101866,2
2023-04-06 01:00:00,9,6772562.532476,2
2023-04-06 00:00:00,9,6772306.397609,2
2023-04-05 23:00:00,9,6772125.278158,2
2023-04-05 22:00:00,9,6771917.433777,2
2023-04-05 21:00:00,9,6771868.199572,2
2023-04-05 20:00:00,9,6771863.655084,2
2023-04-05 19:00:00,9,6771862.951446,2
2023-04-05 18:00:00,9,6771841.376127,2
2023-04-05 17:00:00,9,6771865.043775,2
2023-04-05 16:00:00,9,6772152.726685,2
2023-04-05 15:00:00,9,6774112.264801,2
2023-04-05 14:00:00,9,6774896.01595,2
2023-04-05 13:00:00,9,6776848.237003,2
2023-04-05 12:00:00,9,6777409.466568,2
2023-04-05 11:00:00,9,6777269.988602,2
2023-04-05 10:00:00,9,6777466.224714,2
2023-04-05 09:00:00,9,6777424.446977,2
2023-04-05 08:00:00,9,6777405.879139,2
2023-04-05 07:00:00,9,6777317.701673,2
2023-04-05 06:00:00,9,6776011.624482,2
2023-04-05 05:00:00,9,6775950.189253,2
2023-04-05 04:00:00,9,6776040.521592,2
2023-04-05 03:00:00,9,6776172.767277,2
2023-04-05 02:00:00,9,6776152.10712,2
2023-04-05 01:00:00,9,6776090.989124,2
2023-04-05 00:00:00,9,6775925.767327,2
