moduleType,moduleName,count,mean,std,min,25%,50%,75%,max
EXCHANGE,AscendEX #01,1300.0,22030092.0,0.0,22030092.0,22030092.0,22030092.0,22030092.0,22030092.0
EXCHANGE,Binance #01 (Deposit),1913.0,1653705661.3533716,12054597239.020588,1000.0,7760000.0,64313806.0,460228024.0,237763000000.0
EXCHANGE,Binance #02 (Deposit),2484.0,963364596.8482287,1578517817.2779682,9996950.0,201944662.75,484064678.0,852298559.0,9062240655.0
EXCHANGE,Binance #03 (Withdraw),2484.0,782617712925.946,419126506848.2945,53956241894.0,519227000000.0,659065500000.0,897358750000.0,2190690000000.0
EXCHANGE,Binance #04 (Staking),2484.0,9927383852657.004,802136357392.5018,8766480000000.0,9354920000000.0,9354920000000.0,10579100000000.0,11579100000000.0
EXCHANGE,Binance #05 (old),2484.0,102291766.0,0.0,102291766.0,102291766.0,102291766.0,102291766.0,102291766.0
EXCHANGE,Bitforex #01 (Deposit),2484.0,4795015220.673511,196740067.6700551,4359143744.0,4663298888.0,4718158895.0,4962514707.0,5201580782.0
EXCHANGE,Bithumb #01(Deposit),2484.0,31569414.140499193,410914790.8354572,1300.0,1300.0,1300.0,1300.0,10002434275.0
EXCHANGE,Bithumb #02 (Withdraw),2484.0,163455309940.33896,32226616475.85517,66628259592.0,152585000000.0,167703000000.0,179013000000.0,224891000000.0
EXCHANGE,Bithumb #03,2484.0,354748446859.9034,28379007436.61452,270989000000.0,363500000000.0,363500000000.0,364545000000.0,422029000000.0
EXCHANGE,Bithumb #04,103.0,1033996374.0,0.0,1033996374.0,1033996374.0,1033996374.0,1033996374.0,1033996374.0
EXCHANGE,Bithumb #05,245.0,113883303192.47346,64268588411.9319,4970884.0,150006000000.0,150006000000.0,150006000000.0,150006000000.0
EXCHANGE,Coinbase #01,2484.0,457372467469.0338,875592049699.3761,29548665601.0,124322000000.0,127011000000.0,188585000000.0,4605310000000.0
EXCHANGE,Coinbase #02,26.0,31252203716.192307,4211273316.322298,10604737546.0,32078102363.0,32078102363.0,32078102363.0,32078102363.0
EXCHANGE,Coinbase #03,2484.0,230789573141.46054,365846264105.6981,70650000.0,70712500.0,70727500.0,504782750000.0,3403580000000.0
EXCHANGE,Coinbase #04,26.0,2987685339.0384617,632922573.9177536,2863559010.0,2863559010.0,2863559010.0,2863559010.0,6090843565.0
EXCHANGE,Coinbase #05,2484.0,1072430.6272141708,2310161.1206281697,847.0,173572.0,517817.0,861034.0,10000847.0
EXCHANGE,Coinbase #06,2484.0,414148620969.17554,698267784637.879,227713490.0,316634750000.0,377147000000.0,421285750000.0,14545800000000.0
EXCHANGE,Coinbase #08,2484.0,543371553140.0966,38862338234.044846,480428000000.0,515864000000.0,535822000000.0,576510000000.0,637138000000.0
EXCHANGE,Coinone #01(Deposit),2478.0,13824931852.875706,11226007733.461393,103928.0,4037172558.75,11035994828.5,22426820570.0,46006113912.0
EXCHANGE,Digfinex #01 (Deposit),2484.0,523783101.35507244,107352331.61533415,431149324.0,431155124.0,442383957.0,656455798.0,658976098.0
EXCHANGE,Digfinex #02,327.0,1017851.9847094801,455227.3392827013,249900.0,999900.0,999900.0,999900.0,6954300.0
EXCHANGE,HitBTC #01 (Deposit),2484.0,17372354.159822866,233262002.80080247,100000.0,100000.0,100000.0,100000.0,8213524000.0
EXCHANGE,HitBTC #02,2484.0,8692142249.448067,8434848900.983047,1695748.0,1573994547.5,6243555929.0,13198271761.25,35725076376.0
EXCHANGE,Kraken #01,2484.0,6273530132850.241,1131759493225.7056,5155570000000.0,5469282500000.0,5666855000000.0,7316930000000.0,8710560000000.0
EXCHANGE,MEXC #01 (Deposit),2484.0,107181676292.4698,22192108981.930103,72735947649.0,87642668333.0,96656540587.5,124985500000.0,159138000000.0
EXCHANGE,OKK #01,2484.0,1452178128019.3237,164842801463.57556,1114440000000.0,1331392500000.0,1465405000000.0,1566072500000.0,1748790000000.0
EXCHANGE,Upbit #01 (Deposit),2484.0,28847083900.628826,31365044564.735085,8000.0,814058080.0,16173885749.0,50537816363.5,129963000000.0
EXCHANGE,Upbit #02 (Withdraw),2484.0,44317881279.64412,14436056394.742783,7148608461.0,35916031431.0,40586587212.0,49026735692.0,234831000000.0
EXCHANGE,Upbit #03,2484.0,61983.0,0.0,61983.0,61983.0,61983.0,61983.0,61983.0
EXCHANGE,Upbit #04 (old),2484.0,1741024053.0,0.0,1741024053.0,1741024053.0,1741024053.0,1741024053.0,1741024053.0
EXCHANGE,Upbit #05 (old),2484.0,27967.0,0.0,27967.0,27967.0,27967.0,27967.0,27967.0
EXCHANGE,Upbit #06 (old),2484.0,753183323.0,0.0,753183323.0,753183323.0,753183323.0,753183323.0,753183323.0
EXCHANGE,Upbit #10 (Validator),2484.0,257443446.49718195,145249357.74178925,15320771.0,111490170.0,309025178.0,365127523.0,489025427.0
EXCHANGE,Upbit #11 (Staking),2484.0,4947111.111111111,20684.937186097508,4913500.0,4927000.0,4947750.0,4968500.0,4975500.0
EXCHANGE,Upbit #12 (Staking),2484.0,13819293.07568438,403271801.9515752,4922500.0,4943500.0,4967000.0,4983500.0,20004975000.0
EXCHANGE,Upbit #13 (Staking),2484.0,4971801.127214171,9937.617682569291,4953000.0,4961000.0,4977500.0,4979500.0,4982000.0
EXCHANGE,Upbit #14 (Staking),2484.0,6153169.685990338,44858533.3785787,4903500.0,4929000.0,4947000.0,4967000.0,2004968500.0
EXCHANGE,Upbit #15 (Staking),2484.0,13805369.56521739,285087781.26475203,4910000.0,4929000.0,4950000.0,4968500.0,10004969000.0
EXCHANGE,Upbit #16 (Staking),2484.0,4965665.660225443,13624.961705669572,4936000.0,4953000.0,4966500.0,4979500.0,4982000.0
EXCHANGE,Upbit #17 (Staking),2484.0,5350025.362318841,20064731.859689854,4907500.0,4929000.0,4949000.0,4966500.0,1004968000.0
EXCHANGE,Upbit #18 (Staking),2484.0,5763778.784219001,40128548.513994604,4924000.0,4942875.0,4961500.0,4975500.0,2004955000.0
EXCHANGE,Upbit #19 (Staking),2484.0,4958310.185185186,14247.075461600656,4929000.0,4947000.0,4959000.0,4973000.0,4975000.0
EXCHANGE,Upbit #20 (Staking),2484.0,5766076.489533011,28369522.242498294,4939500.0,4949000.0,4962000.0,4973500.0,1004961500.0
FOUNDER,All in Bits,2484.0,310129.0,0.0,310129.0,310129.0,310129.0,310129.0,310129.0
FOUNDER,Ignite,2484.0,3124461143317.2305,2335045862806.373,704763000000.0,704763000000.0,1504760000000.0,5525820000000.0,5525820000000.0
FOUNDER,Interchain Foundation #01,2484.0,6423951289742.873,3103926634355.407,96515.0,7044630000000.0,8044630000000.0,8044630000000.0,8044630000000.0
FOUNDER,Interchain Foundation #02,2484.0,3547214530926.317,2459216539138.2705,18457.0,18457.0,5048480000000.0,5198480000000.0,5591480000000.0
MODULE,bonded_tokens_pool,2485.0,215110002816901.4,14406373222344.674,196410000000000.0,204116000000000.0,207471000000000.0,230100000000000.0,238796000000000.0
MODULE,distribution,2485.0,8188825766599.598,550228057914.5804,7174730000000.0,7830550000000.0,7982030000000.0,8634260000000.0,9394340000000.0
MODULE,fee_collector,2239.0,2755563.2657436356,4797847.587154995,43.0,6316.5,13250.0,71529.5,11402356.0
MODULE,gov,2298.0,930668978.4490862,448760250.1511941,12000.0,510079400.0,954385200.0,1253417480.0,2002673281.0
MODULE,not_bonded_tokens_pool,2485.0,8032780173038.2295,4696454467251.075,3462050000000.0,5349690000000.0,6107170000000.0,7173280000000.0,19029400000000.0
