moduleType,moduleName,count,mean,std,min,25%,50%,75%,max
CONTRACT,JUNO ATOM Pool,2475.0,90552235761.70181,6446627041.764836,79069947130.0,87016865396.0,88793866433.0,93093315340.0,108487000000.0
CONTRACT,JUNO NETA Pool,2475.0,6741780512.727273,210737522.25694114,6290504391.0,6595851213.0,6715860146.0,6869016476.0,7441467907.0
CONTRACT,JUNO OSMO Pool,2475.0,7603685819.782222,450087971.84247977,6737597354.0,7361172170.0,7459809728.0,7758900382.0,8729848817.0
CONTRACT,JUNO RAW Pool,2475.0,1392200156.7850504,187544513.28951815,1259085418.0,1282604299.0,1321257600.0,1429218043.0,2147781614.0
CONTRACT,Juno Incentives for Prop 14,1835.0,11977000000.0,0.0,11977000000.0,11977000000.0,11977000000.0,11977000000.0,11977000000.0
CONTRACT,Juno Unity Prop,2475.0,3105560000000.0,0.0,3105560000000.0,3105560000000.0,3105560000000.0,3105560000000.0,3105560000000.0
CONTRACT,Terra Developer Fund,2475.0,2120934818.1818182,8442045558.866613,1000.0,1000.0,1000.0,1000.0,35709601000.0
MODULE,bonded_tokens_pool,2475.0,48960092727272.73,1125752185937.3503,46875400000000.0,48119100000000.0,48544000000000.0,49943250000000.0,51066300000000.0
MODULE,distribution,2475.0,19434934262626.26,274512458111.2076,18977500000000.0,19220600000000.0,19430600000000.0,19591500000000.0,19977200000000.0
MODULE,fee_collector,2216.0,15045.391245487364,76298.56080701973,5.0,2705.5,6491.5,15379.5,3231940.0
MODULE,gov,2225.0,1436817917.1910112,1617293534.3379605,2000.0,201000000.0,1000308417.0,2004458621.0,7200000000.0
MODULE,not_bonded_tokens_pool,2475.0,1583245149494.9495,412427408461.351,942170000000.0,1256570000000.0,1567760000000.0,1738940000000.0,2485370000000.0
