chainName,fig1,fig2,corr,p_values
cosmos,capBTC,priceBTC,0.999960913,0
cosmos,priceBTC,capBTC,0.999960913,0
cosmos,cap,price,0.999750012,0
cosmos,price,cap,0.999750012,0
juno,capBTC,priceBTC,0.999693306,0
juno,priceBTC,capBTC,0.999693306,0
juno,cap,price,0.99883831,0
juno,price,cap,0.99883831,0
osmosis,capBTC,priceBTC,0.998428331,0
osmosis,priceBTC,capBTC,0.998428331,0
juno,price,high24h,0.995522686,0
juno,price,low24h,0.994584072,0
juno,cap,low24h,0.993815291,0
juno,cap,high24h,0.993559011,0
osmosis,cap,price,0.988829478,0
osmosis,price,cap,0.988829478,0
osmosis,price,high24h,0.986144814,0
osmosis,price,low24h,0.985555316,0
juno,priceBTC,inflation,0.981779195,0
juno,capBTC,inflation,0.979196209,0
cosmos,cap,high24h,0.977748516,0
cosmos,price,high24h,0.977389359,0
cosmos,cap,low24h,0.975799157,0
cosmos,capChange24h,capChangeRatio24H,0.995726247,0
cosmos,capChange24h,change24h,0.994519238,0
cosmos,capChange24h,changeRatio24H,0.990549984,0
cosmos,capChange24h,priceChangePercentage24H,0.990549987,0
cosmos,capChangeRatio24H,capChange24h,0.995726247,0
cosmos,capChangeRatio24H,change24h,0.990239051,0
cosmos,capChangeRatio24H,changeRatio24H,0.994736237,0
cosmos,capChangeRatio24H,priceChangePercentage24H,0.994736238,0
cosmos,change24h,capChange24h,0.994519238,0
cosmos,change24h,capChangeRatio24H,0.990239051,0
cosmos,change24h,changeRatio24H,0.99574121,0
cosmos,change24h,priceChangePercentage24H,0.995741212,0
cosmos,changeRatio24H,capChange24h,0.990549984,0
cosmos,changeRatio24H,capChangeRatio24H,0.994736237,0
cosmos,changeRatio24H,change24h,0.99574121,0
cosmos,changeRatio24H,priceChangePercentage24H,1,0
cosmos,high24h,cap,0.977748516,0
cosmos,high24h,low24h,0.97371804,0
cosmos,high24h,price,0.977389359,0
cosmos,high24h,priceChangePercentage14d,0.518682116,1.50E-168
cosmos,high24h,priceChangePercentage30D,0.708208093,0
cosmos,high24h,totalVolume,0.520941807,2.93E-170
cosmos,high24h,bondedTokens,-0.579949507,7.25E-220
cosmos,high24h,inflation,-0.692682246,0
