,_time,denom,moduleName,moduleType,amountValue,boxplot
7590,2023-01-27 17:00:00+00:00,uosmo,gov,MODULE,8400000000.0,3
7591,2023-01-27 18:00:00+00:00,uosmo,gov,MODULE,8801000000.0,3
7592,2023-01-27 19:00:00+00:00,uosmo,gov,MODULE,8801000000.0,3
7593,2023-01-27 20:00:00+00:00,uosmo,gov,MODULE,8801000000.0,3
7594,2023-01-27 21:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7595,2023-01-27 22:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7596,2023-01-27 23:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7597,2023-01-28 00:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7598,2023-01-28 01:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7599,2023-01-28 02:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7600,2023-01-28 03:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7601,2023-01-28 04:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7602,2023-01-28 05:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7603,2023-01-28 06:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7604,2023-01-28 07:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7605,2023-01-28 08:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7606,2023-01-28 09:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7607,2023-01-28 10:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7608,2023-01-28 11:00:00+00:00,uosmo,gov,MODULE,10401000000.0,4
7609,2023-01-28 12:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7610,2023-01-28 13:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7611,2023-01-28 14:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7612,2023-01-28 15:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7613,2023-01-28 16:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7614,2023-01-28 17:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7615,2023-01-28 18:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7616,2023-01-28 19:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7617,2023-01-28 20:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7618,2023-01-28 21:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
7619,2023-01-28 22:00:00+00:00,uosmo,gov,MODULE,11601000000.0,4
